mode,parent_run_id,pipe,side,scenario,mass_kg,mean_K,relative_heat_MWh
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,37,S,1,1147.6190476190477,351.90606120471693,0.011723393057426586
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,37,R,1,1147.6190476190477,307.2624465344352,0.018894997859993826
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,1,S,1,1147.6190476190477,363.7758022485558,0.027615657455010843
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,1,R,1,1147.6190476190477,317.90716409908464,0.03314709193266335
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,2,S,1,11476.190476190479,364.3390159129546,0.28369737972344844
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,2,R,1,11476.190476190479,313.57534785195685,0.2734727129067561
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,3,S,1,4590.476190476191,363.06723740846,0.10666787145419707
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,3,R,1,4590.476190476191,314.97608731402954,0.1168908231706916
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,4,S,1,3442.8571428571436,361.75498849061853,0.07473003710398445
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,4,R,1,3442.8571428571436,315.0370873343748,0.08791313412640547
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,5,S,1,1147.6190476190477,360.25572166129905,0.02290266066873931
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,5,R,1,1147.6190476190477,314.8890147111618,0.029106125252166642
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,6,S,1,1147.6190476190477,360.25572166129905,0.02290266066873931
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,6,R,1,1147.6190476190477,314.8890147111618,0.029106125252166642
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,7,S,1,5738.095238095239,363.10355022764077,0.1335779334683731
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,7,R,1,5738.095238095239,313.8457735372566,0.13854670617996803
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,8,S,1,4590.476190476191,361.882613970384,0.10032355481916769
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,8,R,1,4590.476190476191,314.3548833732379,0.11356393095445196
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,9,S,1,3442.8571428571436,360.8068622499442,0.07092173003727584
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,9,R,1,3442.8571428571436,314.3757510585918,0.08525676675201038
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,10,S,1,1147.6190476190477,359.4136704208744,0.02177524761905962
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,10,R,1,1147.6190476190477,314.14308791374464,0.02810741215118037
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,11,S,1,1147.6190476190477,359.4136704208744,0.02177524761905962
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,11,R,1,1147.6190476190477,314.14308791374464,0.02810741215118037
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,12,S,1,24404.761904761905,364.39226769907805,0.6048145664320844
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,12,R,1,24404.761904761905,307.7176800229105,0.4147742228745357
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,13,S,1,9180.952380952382,363.26809383367356,0.2154871383962373
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,13,R,1,9180.952380952382,312.8106626666416,0.21058754234047206
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,14,S,1,8033.333333333335,362.18335255231267,0.17838480975417526
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,14,R,1,8033.333333333335,313.2174485726015,0.1880765874554372
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,15,S,1,6885.714285714287,361.29865962355615,0.14579423230923477
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,15,R,1,6885.714285714287,313.7619732490172,0.16558285176710508
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,16,S,1,2295.2380952380954,360.2786373840077,0.04586668455050962
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,16,R,1,2295.2380952380954,314.3658651324306,0.056811372187953096
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,17,S,1,1147.6190476190477,358.87336686855537,0.021051841196232463
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,17,R,1,1147.6190476190477,313.7803102488,0.02762169316644894
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,18,S,1,3442.8571428571436,360.3798616237663,0.06920661085546155
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,18,R,1,3442.8571428571436,313.9878003021636,0.08369849788035716
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,19,S,1,2295.2380952380954,359.33700768900377,0.043345209478332446
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,19,R,1,2295.2380952380954,313.7700622643373,0.055215944507836554
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,20,S,1,1147.6190476190477,358.1162528888624,0.02003814970119909
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,20,R,1,1147.6190476190477,313.21381352651946,0.02686321699939551
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,21,S,1,14076.190476190477,363.3069933826462,0.33102262466167975
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,21,R,1,14076.190476190477,304.8358906198426,0.1919082926236371
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,22,S,1,12928.571428571431,362.30664053723274,0.2889459947699273
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,22,R,1,12928.571428571431,304.51071251856524,0.1713574138216925
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,23,S,1,11780.952380952383,361.52338281992917,0.2525319394250266
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,23,R,1,11780.952380952383,304.4193497436979,0.1548909514772708
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,24,S,1,10633.333333333336,360.82066081898444,0.21921436449329038
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,24,R,1,10633.333333333336,304.64071185000864,0.14254866422816298
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,25,S,1,1147.6190476190477,359.66655614942687,0.022113833511177086
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,25,R,1,1147.6190476190477,314.5580675415155,0.02866302376391807
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,26,S,1,8338.095238095239,360.1704998734837,0.16557164043594477
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,26,R,1,8338.095238095239,303.71624886206797,0.10278612087489487
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,27,S,1,6885.714285714287,353.99960187876906,0.08715846842611163
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,27,R,1,6885.714285714287,305.485142122821,0.09909230838666237
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,28,S,1,5738.095238095239,353.64367097804745,0.07024929738081771
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,28,R,1,5738.095238095239,306.7623105054918,0.09112685643954271
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,29,S,1,4590.476190476191,353.3223484308973,0.054478577152139114
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,29,R,1,4590.476190476191,307.6910449689516,0.07787537416705208
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,30,S,1,1147.6190476190477,352.64640829770053,0.012714635554143509
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,30,R,1,1147.6190476190477,308.0122116827521,0.019898850086351404
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,31,S,1,2295.2380952380954,352.88853858713566,0.0260776422166633
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,31,R,1,2295.2380952380954,307.8227139370341,0.03929026732028024
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,32,S,1,1147.6190476190477,352.1109855060901,0.011997763927598442
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,32,R,1,1147.6190476190477,307.4643194377135,0.019165283247160936
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,33,S,1,5738.095238095239,353.9769889623039,0.0724806761087569
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,33,R,1,5738.095238095239,305.65414541298315,0.08370830679247056
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,34,S,1,4590.476190476191,353.56658995418655,0.05578662619908811
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,34,R,1,4590.476190476191,306.5401552862611,0.07171172053308719
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,35,S,1,3442.8571428571436,353.163778349843,0.040222009705202906
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,35,R,1,3442.8571428571436,307.40865210415257,0.057272252618346155
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,36,S,1,2295.2380952380954,352.6813037108677,0.025522713270212567
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,36,R,1,2295.2380952380954,307.62044524635434,0.03874863671523783
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,37,S,1,1147.6190476190477,351.9060612047181,0.011723393057428207
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,37,R,1,1147.6190476190477,307.2624465344364,0.018894997859995374
