mode,stage,run_id,block,scope,formula,rows,maximum_normalized,raw_residual,tolerance,unit,all_pass
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,6-8/56/60,128,0.0,0.0,2.7877279102384292e-5,MW,true
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,6-83,608,0.0,0.0,2.7877279102384292e-5,MW,true
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,6-84,608,0.0,0.0,2.7877279102384292e-5,MW,true
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,R7-C1-load,608,0.0,0.0,2.7877279102384292e-5,MW,true
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,R7-C1-source,608,0.0,0.0,2.7877279102384292e-5,MW,true
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,R7-R1,47,0.0,0.0,1.0e-6,1,true
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,R7-R4,608,2.832459652802222e-11,1.7763568394002505e-15,6.271428571428571e-5,kg/s,true
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,R9-RE1-closed-component,47,0.0,0.0,1.0e-6,1,true
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,R9-RE1-energized,44,0.0,0.0,1.0e-6,1,true
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,R9-RE1-integer-energized,44,0.0,0.0,1.0e-6,1,true
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,R9-RE1-integer-live,47,0.0,0.0,1.0e-6,1,true
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,R9-RE1-live,47,0.0,0.0,1.0e-6,1,true
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,R9-RE1-live-product,47,0.0,0.0,1.0e-6,1,true
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,R9-RE2-live-root,44,0.0,0.0,1.0e-6,1,true
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,R9-RE2-root-available,704,0.0,0.0,1.0e-6,1,true
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,R9-RE3,752,1.0386656812411132e-10,1.0386656812411132e-16,1.0e-6,pu,true
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,R9-RE4-commitment,32,0.0,0.0,1.0e-6,1,true
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,R9-RE4-device-P,128,0.0,0.0,2.7877279102384292e-5,MW,true
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,R9-RE4-device-Q,128,0.0,0.0,2.7877279102384292e-5,Mvar,true
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,R9-RE4-served,704,2.8276014477196335e-10,7.882583474838611e-15,2.7877279102384292e-5,MW,true
economic,detailed-external_only,r7-transport-871767ae-0b9e-41da-8599-a1ef017bba4b,shared,adopted,R9-RL1-critical,704,0.0,0.0,2.7877279102384292e-5,MW,true
