mode,stage,run_id,time_h,t,critical_MW,chp_cap_MW,gt_cap_MW,pv_cap_MW,generation_upper_MW,unserved_lower_MW
penalty,detailed-single_1_2,r7-transport-33bb65e0-e0cb-440c-ad38-d669932df71a,11.25,6,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
penalty,detailed-single_1_2,r7-transport-33bb65e0-e0cb-440c-ad38-d669932df71a,11.5,7,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
penalty,detailed-single_1_2,r7-transport-33bb65e0-e0cb-440c-ad38-d669932df71a,11.75,8,13.199999999999998,6.0,2.0,3.072,11.072,2.1279999999999974
penalty,detailed-single_1_2,r7-transport-33bb65e0-e0cb-440c-ad38-d669932df71a,12.0,9,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
penalty,detailed-single_1_2,r7-transport-33bb65e0-e0cb-440c-ad38-d669932df71a,12.25,10,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
penalty,detailed-single_1_2,r7-transport-33bb65e0-e0cb-440c-ad38-d669932df71a,12.5,11,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
penalty,detailed-single_1_2,r7-transport-33bb65e0-e0cb-440c-ad38-d669932df71a,12.75,12,12.375,6.0,2.0,3.2,11.2,1.1749999999999998
penalty,detailed-single_1_2,r7-transport-33bb65e0-e0cb-440c-ad38-d669932df71a,13.0,13,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
penalty,detailed-single_1_2,r7-transport-33bb65e0-e0cb-440c-ad38-d669932df71a,13.25,14,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
penalty,detailed-single_1_2,r7-transport-33bb65e0-e0cb-440c-ad38-d669932df71a,13.5,15,11.962499999999999,6.0,2.0,3.04,11.04,0.9224999999999985
