record_id,run_id,component,amount_USD
quarter--highs,r5-dispatch-feed6868-b587-4b9e-939e-b1f67d77fe81,delivery_penalty,0.0
quarter--clarabel,r5-dispatch-6836763f-0c46-478f-8bc9-ee95d0d5f3e5,day_ahead_cost,3.55
quarter--clarabel,r5-dispatch-6836763f-0c46-478f-8bc9-ee95d0d5f3e5,device_cost,-2.897031422526263e-14
quarter--clarabel,r5-dispatch-6836763f-0c46-478f-8bc9-ee95d0d5f3e5,real_time_settlement,2.220446049250313e-14
quarter--clarabel,r5-dispatch-6836763f-0c46-478f-8bc9-ee95d0d5f3e5,delivery_penalty,2.220446049250313e-13
up--highs,r5-dispatch-59d34f08-3543-4444-a236-b9d7815fb4e6,day_ahead_cost,16.099999999999998
up--highs,r5-dispatch-59d34f08-3543-4444-a236-b9d7815fb4e6,device_cost,0.0
up--highs,r5-dispatch-59d34f08-3543-4444-a236-b9d7815fb4e6,real_time_settlement,-1.9999999999999991
up--highs,r5-dispatch-59d34f08-3543-4444-a236-b9d7815fb4e6,delivery_penalty,1.0408340855860843e-14
up--clarabel,r5-dispatch-81982829-6582-43bb-99ad-37d7d63792fe,day_ahead_cost,16.099999999999998
up--clarabel,r5-dispatch-81982829-6582-43bb-99ad-37d7d63792fe,device_cost,4.626318949425789e-15
up--clarabel,r5-dispatch-81982829-6582-43bb-99ad-37d7d63792fe,real_time_settlement,-1.9999999999999933
up--clarabel,r5-dispatch-81982829-6582-43bb-99ad-37d7d63792fe,delivery_penalty,6.591949208711867e-14
hand--gurobi,r5-dispatch-1032daaa-bdba-475d-b72a-af0a009af098,day_ahead_cost,14.2
hand--gurobi,r5-dispatch-1032daaa-bdba-475d-b72a-af0a009af098,device_cost,0.0
hand--gurobi,r5-dispatch-1032daaa-bdba-475d-b72a-af0a009af098,real_time_settlement,5.551115123125783e-15
hand--gurobi,r5-dispatch-1032daaa-bdba-475d-b72a-af0a009af098,delivery_penalty,5.551115123125783e-14
four_period--gurobi,r5-dispatch-9a2b24c1-b2ae-400a-9d11-ae7460419f32,day_ahead_cost,57.96
four_period--gurobi,r5-dispatch-9a2b24c1-b2ae-400a-9d11-ae7460419f32,device_cost,0.2113009802882762
four_period--gurobi,r5-dispatch-9a2b24c1-b2ae-400a-9d11-ae7460419f32,real_time_settlement,-0.600000000000001
four_period--gurobi,r5-dispatch-9a2b24c1-b2ae-400a-9d11-ae7460419f32,delivery_penalty,1.3877787807814457e-14
