stage,run_id,time_h,generation_MW,pcc_MW,critical_MW,critical_served_MW,critical_unserved_MW,heat_unserved_MW
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,10.5,10.719999999999999,0.0,13.750000000000002,10.720000000000018,3.029999999999984,1.5864166666666668
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,10.75,10.719999999999999,0.0,13.750000000000002,10.720000000000017,3.0299999999999843,0.0
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,11.0,11.072,0.0,13.199999999999998,11.07200000000002,2.127999999999978,1.4860000000000007
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,11.25,11.072,0.0,13.199999999999998,11.07200000000001,2.1279999999999872,0.18103627215601034
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,11.5,11.07200000000001,0.0,13.199999999999998,11.072000000000019,2.127999999999979,0.0
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,11.75,11.072,0.0,13.199999999999998,11.07200000000001,2.127999999999987,1.4860000000000007
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,12.0,11.2,0.0,12.375,11.20000000000002,1.1749999999999794,0.0
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,12.25,11.2,0.0,12.375,11.200000000000014,1.1749999999999865,0.0
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,12.5,11.2,0.0,12.375,11.20000000000002,1.1749999999999794,0.0
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,12.75,11.2,0.0,12.375,11.200000000000014,1.1749999999999865,0.0
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,13.0,11.040000000000001,0.0,11.962499999999999,11.04000000000001,0.9224999999999879,0.0
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,13.25,11.040000000000001,0.0,11.962499999999999,11.040000000000019,0.9224999999999799,0.0
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,13.5,11.040000000000008,0.0,11.962499999999999,11.040000000000019,0.9224999999999799,0.0
aggregate-external_only,r7-recovery-ac42bb26-eb32-41f9-98a1-15ba5718669c,13.75,11.040000000000001,0.0,11.962499999999999,11.040000000000019,0.9224999999999799,0.0
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,10.0,10.720000000000008,0.0,13.750000000000002,10.720000000000027,3.0299999999999754,1.5864166666666666
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,10.25,10.720000000000008,0.0,13.750000000000002,10.720000000000027,3.0299999999999754,0.0
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,10.5,10.720000000000008,0.0,13.750000000000002,10.720000000000027,3.0299999999999754,1.5864166666666668
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,10.75,10.719999999999999,0.0,13.750000000000002,10.720000000000027,3.0299999999999754,0.0
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,11.0,11.07200000000001,0.0,13.199999999999998,10.743485688729873,2.4565143112701255,0.0
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,11.25,11.07200000000001,0.0,13.199999999999998,10.743485688729873,2.4565143112701255,0.0
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,11.5,11.07200000000001,0.0,13.199999999999998,10.743485688729876,2.456514311270122,0.0
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,11.75,11.072,0.0,13.199999999999998,10.743485688729873,2.4565143112701255,1.4860000000000007
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,12.0,11.2,0.0,12.375,10.124735688729874,2.2502643112701253,1.385583333333334
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,12.25,11.2,0.0,12.375,10.124735688729874,2.2502643112701253,0.0
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,12.5,11.2,0.0,12.375,10.124735688729874,2.2502643112701253,1.385583333333334
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,12.75,11.2,0.0,12.375,10.124735688729874,2.2502643112701253,0.0
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,13.0,11.040000000000008,0.0,11.962499999999999,9.815360688729873,2.147139311270125,1.2851666666666675
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,13.25,11.040000000000008,0.0,11.962499999999999,9.815360688729873,2.147139311270125,1.2851666666666675
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,13.5,11.040000000000001,0.0,11.962499999999999,9.815360688729873,2.147139311270125,0.0
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,13.75,11.040000000000008,0.0,11.962499999999999,9.815360688729875,2.1471393112701245,1.2851666666666675
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,10.0,10.719999999999999,0.0,13.750000000000002,10.551290399522973,3.198709600477028,0.0
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,10.25,10.719999999999999,0.0,13.750000000000002,10.551290399522976,3.1987096004770255,0.0
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,10.5,10.719999999999999,0.0,13.750000000000002,10.55129039952296,3.198709600477042,0.0
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,10.75,10.719999999999999,0.0,13.750000000000002,10.551290399522962,3.1987096004770406,0.0
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,11.0,10.907787906976736,0.0,13.199999999999998,10.367957066189625,2.8320429338103725,0.0
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,11.25,10.367957066189625,0.0,13.199999999999998,10.367957066189625,2.832042933810372,0.0
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,11.5,10.907787906976738,0.0,13.199999999999998,10.367957066189627,2.832042933810371,0.0
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,11.75,10.367957066189632,0.0,13.199999999999998,10.367957066189634,2.832042933810363,0.0
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,12.0,11.2,0.0,12.375,10.092957066189626,2.282042933810374,0.0
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,12.25,11.105139892665486,0.0,12.375,10.092957066189634,2.2820429338103674,0.0
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,12.5,11.105139892665484,0.0,12.375,10.092957066189635,2.282042933810365,0.0
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,12.75,10.092957066189614,0.0,12.375,10.092957066189625,2.282042933810375,1.9876993492693096
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,13.0,10.933900465116283,0.0,11.962499999999999,9.955457066189624,2.007042933810374,0.0
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,13.25,11.040000000000001,0.0,11.962499999999999,9.955457066189624,2.0070429338103746,1.2851666666666675
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,13.5,11.040000000000001,0.0,11.962499999999999,9.955457066189624,2.007042933810374,1.2851666666666675
aggregate-author_event1,r7-recovery-2fa27847-1b8d-4705-a9b7-a9b358cbcc6b,13.75,10.933900465116281,0.0,11.962499999999999,9.955457066189625,2.0070429338103732,0.0
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,10.0,10.719999999999999,0.0,13.750000000000002,10.097572571581164,3.6524274284188376,0.0
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,10.25,10.719999999999999,0.0,13.750000000000002,10.117890377119245,3.6321096228807574,0.22311180546735243
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,10.5,10.719999999999999,0.0,13.750000000000002,10.150948936012801,3.5990510639872006,0.22456015286045172
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,10.75,10.719999999999999,0.0,13.750000000000002,10.171850050454337,3.578149949545665,0.5519761467054205
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,11.0,11.072,0.0,13.199999999999998,10.533852455183098,2.6661475448169005,0.7311905636656306
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,11.25,11.072,0.0,13.199999999999998,10.538869459453805,2.6611305405461927,0.9175071207853724
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,11.5,11.072,0.0,13.199999999999998,10.553043755868234,2.646956244131764,0.9128124410563883
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,11.75,11.072,0.0,13.199999999999998,10.564811034695815,2.635188965304182,1.0827655573792487
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,12.0,11.143460670433075,0.0,12.375,10.859245067241822,1.5157549327581776,1.0251889964116847
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,12.25,11.005991014912249,0.0,12.375,10.90144490455231,1.4735550954476904,0.9928201128582232
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,12.5,10.901197506239013,0.0,12.375,10.793018022408939,1.5819819775910613,0.7587120146997082
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,12.75,10.82301648426704,0.0,12.375,10.711480150978266,1.6635198490217333,0.46296614328158003
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,13.0,10.573445628929464,0.0,11.962499999999999,10.461734083315338,1.5007659166846594,0.4388828719575092
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,13.25,10.462387885134957,0.0,11.962499999999999,10.358006785851057,1.6044932141489427,0.28647071656509926
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,13.5,10.374785291818375,0.0,11.962499999999999,10.26611240760094,1.6963875923990586,0.13386403641351208
detailed-external_only,r7-transport-0e304a48-28bb-4bc6-9149-1d9be2691a18,13.75,10.09048942436132,0.0,11.962499999999999,9.984355443324485,1.9781445566755125,0.0
detailed-single_1_2,r7-transport-a2273f35-7e1b-47d7-86b8-a7b9a9a260e0,10.0,10.719999999999999,0.0,13.750000000000002,10.097572571581164,3.652427428418838,0.7938704809641655
detailed-single_1_2,r7-transport-a2273f35-7e1b-47d7-86b8-a7b9a9a260e0,10.25,10.719999999999999,0.0,13.750000000000002,10.117890377119252,3.6321096228807486,0.6934935227758069
detailed-single_1_2,r7-transport-a2273f35-7e1b-47d7-86b8-a7b9a9a260e0,10.5,10.719999999999999,0.0,13.750000000000002,10.2238920831195,3.5261079168805014,0.562305458386173
detailed-single_1_2,r7-transport-a2273f35-7e1b-47d7-86b8-a7b9a9a260e0,10.75,10.719999999999999,0.0,13.750000000000002,10.316344778468942,3.433655221531059,0.41695763800026253
detailed-single_1_2,r7-transport-a2273f35-7e1b-47d7-86b8-a7b9a9a260e0,11.0,11.072,0.0,13.199999999999998,10.73557262531628,2.4644273746837175,0.2702933983320533
detailed-single_1_2,r7-transport-a2273f35-7e1b-47d7-86b8-a7b9a9a260e0,11.25,11.072,0.0,13.199999999999998,10.743485688729889,2.4565143112701087,0.27723517706119166
detailed-single_1_2,r7-transport-a2273f35-7e1b-47d7-86b8-a7b9a9a260e0,11.5,11.072,0.0,13.199999999999998,10.743485688729889,2.4565143112701087,0.2225489474205496
detailed-single_1_2,r7-transport-a2273f35-7e1b-47d7-86b8-a7b9a9a260e0,11.75,11.072,0.0,13.199999999999998,10.743485688729889,2.4565143112701087,0.20764261024376354
detailed-single_1_2,r7-transport-a2273f35-7e1b-47d7-86b8-a7b9a9a260e0,12.0,10.535407494964156,0.0,12.375,10.124735688729896,2.2502643112701035,0.18066248111217356
detailed-single_1_2,r7-transport-a2273f35-7e1b-47d7-86b8-a7b9a9a260e0,12.25,10.542125464734255,0.0,12.375,10.124735688729896,2.2502643112701035,0.1898934600383504
