record_id,run_id,case,case_sha256,route,solver,status,model_pass,risk_pass,cost_pass,evidence_pass,cost_complete,full_stopping,restricted_stopping,upper_bound,full_lower_bound,full_relative_gap,final_bound_scope,final_scoped_lower,scoped_relative_gap,iterations,critical_count,cuts,cost_subproblems,diagnostic_subproblems,elapsed_sec,budget_sec,budget_overrun_sec,reference_run_id,reference_cost,reference_cost_complete,candidate_comparable,candidate_cost_difference,candidate_relative_difference,same_domain_certified_pair,A2_pass,reference_infeasible,infeasibility_scope
thermal_e030_r005--cuts--highs,r5-benders-2f17f033-c8cb-4e65-b084-017ff419bb28,thermal_e030_r005.toml,118d20de5f5c841e50844b03d0470e8ef7a88bf921ced8fbdc7b8c4b594133a7,cuts,highs,full_domain_gap,true,true,true,true,true,true,false,1.3664800000269874,1.366479999999767,1.9920121858513842e-11,full_risk_domain,1.366479999999767,1.9920121858513842e-11,6,0,11,18,4,4.53600001335144,600.0,0.0,r5-risk-df39ecaf-bd33-497b-bb65-8d2f95f9a7b8,1.3664800000271038,true,true,-1.163513729807164e-13,8.51467807640131e-14,true,true,false,not_proved
thermal_e030_r005--critical--highs,r5-benders-e79bcece-41ff-4f10-ba6f-a2ebad67c720,thermal_e030_r005.toml,118d20de5f5c841e50844b03d0470e8ef7a88bf921ced8fbdc7b8c4b594133a7,critical,highs,full_domain_gap,true,true,true,true,true,true,false,1.366480000027173,1.366479999999962,1.99132971165415e-11,full_risk_domain,1.366479999999962,1.99132971165415e-11,5,1,6,15,3,3.259999990463257,600.0,0.0,r5-risk-df39ecaf-bd33-497b-bb65-8d2f95f9a7b8,1.3664800000271038,true,true,6.927791673660977e-14,5.069808320299759e-14,true,true,false,not_proved
thermal_e030_r005--paper_critical--highs,r5-benders-a1abffcf-0b20-4634-9d45-7e54455d96c3,thermal_e030_r005.toml,118d20de5f5c841e50844b03d0470e8ef7a88bf921ced8fbdc7b8c4b594133a7,paper_critical,highs,restricted_domain_gap,true,true,true,true,false,false,true,1.3664800000271784,-Inf,Inf,restricted_comfort_domain,1.366479999999962,1.99171969690955e-11,4,1,4,12,3,2.635999917984009,600.0,0.0,r5-risk-df39ecaf-bd33-497b-bb65-8d2f95f9a7b8,1.3664800000271038,true,true,7.460698725481052e-14,5.4597935757074116e-14,false,false,false,not_proved
thermal_e100_r000--cuts--highs,r5-benders-ceb2fcbc-ce0c-4dad-9809-41c952e5aea3,thermal_e100_r000.toml,325503066e25e3a3d7db5a4c0e7e5320e06a9a1b9ffc44406e5c7692d05f9b12,cuts,highs,full_domain_gap,true,true,true,true,true,true,false,-0.18344999999785383,-0.1834500000002217,2.367883666920534e-12,full_risk_domain,-0.1834500000002217,2.367883666920534e-12,6,0,13,18,6,4.83299994468689,600.0,0.0,r5-risk-a39572d1-f325-44e8-97dd-f6a19919eb90,-0.1834499999977499,true,true,-1.0391687510491465e-13,1.0391687510491465e-13,true,true,false,not_proved
thermal_e100_r000--critical--highs,r5-benders-20f3297b-5b8f-460c-bda4-913f9677d6ee,thermal_e100_r000.toml,325503066e25e3a3d7db5a4c0e7e5320e06a9a1b9ffc44406e5c7692d05f9b12,critical,highs,full_domain_gap,true,true,true,true,true,true,false,-0.18344999999765665,-0.18345000000003964,2.382982700055436e-12,full_risk_domain,-0.18345000000003964,2.382982700055436e-12,5,1,7,15,3,3.802999973297119,600.0,0.0,r5-risk-a39572d1-f325-44e8-97dd-f6a19919eb90,-0.1834499999977499,true,true,9.325873406851315e-14,9.325873406851315e-14,true,true,false,not_proved
thermal_e100_r000--paper_critical--highs,r5-benders-4c8267a0-5703-468a-8909-881b2490e674,thermal_e100_r000.toml,325503066e25e3a3d7db5a4c0e7e5320e06a9a1b9ffc44406e5c7692d05f9b12,paper_critical,highs,restricted_domain_gap,true,true,true,true,false,false,true,1.06260000001451,-Inf,Inf,restricted_comfort_domain,1.062599999999966,1.3687108622615237e-11,4,1,4,12,3,2.494999885559082,600.0,0.0,r5-risk-a39572d1-f325-44e8-97dd-f6a19919eb90,-0.1834499999977499,true,true,1.2460500000122599,1.1726425748120128,false,false,false,not_proved
thermal_hard--cuts--highs,r5-benders-dab2c7f2-b075-4641-9346-63cee87d77e8,thermal_hard.toml,8442d30b3819ec7c8d87111fcc58f1b2c23e37fbc6ed2df6a0c934dd294e5f39,cuts,highs,full_domain_gap,true,true,true,true,true,true,false,2.0850000000290976,2.084999999999699,1.4100098653076195e-11,full_risk_domain,2.084999999999699,1.4100098653076195e-11,3,0,7,9,3,2.0850000381469727,600.0,0.0,r5-risk-823c8b42-28ad-42b0-b7eb-bfbfc65b6f59,2.08500000002922,true,true,-1.2256862191861728e-13,5.878590979227797e-14,true,true,false,not_proved
thermal_hard--critical--highs,r5-benders-01008f6c-ad7d-4dca-89c0-367d3406954d,thermal_hard.toml,8442d30b3819ec7c8d87111fcc58f1b2c23e37fbc6ed2df6a0c934dd294e5f39,critical,highs,full_domain_gap,true,true,true,true,true,true,false,2.085000000029285,2.084999999999959,1.4065167895082416e-11,full_risk_domain,2.084999999999959,1.4065167895082416e-11,3,1,4,9,3,2.2239999771118164,600.0,0.0,r5-risk-823c8b42-28ad-42b0-b7eb-bfbfc65b6f59,2.08500000002922,true,true,6.483702463810914e-14,3.109689431040694e-14,true,true,false,not_proved
thermal_hard--paper_critical--highs,r5-benders-a8f8c837-0b1c-41cf-9690-420ca4df9703,thermal_hard.toml,8442d30b3819ec7c8d87111fcc58f1b2c23e37fbc6ed2df6a0c934dd294e5f39,paper_critical,highs,restricted_domain_gap,true,true,true,true,false,false,true,2.085000000029276,-Inf,Inf,restricted_comfort_domain,2.084999999999952,1.4064315925375342e-11,3,1,4,9,3,1.931999921798706,600.0,0.0,r5-risk-823c8b42-28ad-42b0-b7eb-bfbfc65b6f59,2.08500000002922,true,true,5.595524044110789e-14,2.6837045774734872e-14,false,false,false,not_proved
hard_zero--critical--gurobi,r5-benders-2e984d3e-8539-4ebe-8af4-458123904d5f,hard_zero.toml,1b4689d803cbf0f9db573c8d56b9b7490fb7b62c7af5080d42033e72671f4f2b,critical,gurobi,untrusted_or_unresolved_subproblem,false,false,false,true,false,false,false,Inf,-88.0000000106,Inf,full_risk_domain,-88.0000000106,Inf,1,0,2,3,0,1.2690000534057617,600.0,0.0,r5-risk-2bd6d73b-e36e-4fd0-a816-4ecc435c6119,2.0850000000292352,true,false,NaN,NaN,false,false,false,not_proved
thermal_e030_r005--critical--gurobi,r5-benders-be5009f8-b8a7-41a0-b379-c3dabda7f476,thermal_e030_r005.toml,118d20de5f5c841e50844b03d0470e8ef7a88bf921ced8fbdc7b8c4b594133a7,critical,gurobi,untrusted_or_unresolved_subproblem,false,false,false,true,false,false,false,Inf,-88.0000000106,Inf,full_risk_domain,-88.0000000106,Inf,1,0,2,3,0,0.34800004959106445,600.0,0.0,r5-risk-df39ecaf-bd33-497b-bb65-8d2f95f9a7b8,1.3664800000271038,true,false,NaN,NaN,false,false,false,not_proved
future_e030_r005--critical--gurobi,r5-benders-dac03c80-7fb6-4f1d-9628-4e4bcef04afc,future_e030_r005.toml,e3a85ba4778e94f3bb4dbfe4c881e739e06bb66166e7a8de630f3afcf9748acf,critical,gurobi,untrusted_or_unresolved_subproblem,true,true,true,true,false,false,false,43.874202242524966,-413.49509815015176,1.1061057372597751,full_risk_domain,-413.49509815015176,1.1061057372597751,2,0,3,6,0,1.7910001277923584,600.0,0.0,r5-risk-3946ad7a-6184-4d39-9a7f-653eeba8b5c5,35.66961485077962,true,true,8.20458739174535,0.18700254300676658,false,false,false,not_proved
