run_id,case,policy,electric,actor,t,CHP_MW,PV_MW,HP_MW,EB_MW,charge_MW,discharge_MW,P_D_MW,H_D_MW
import--joint--socp,import,joint,socp,A,1,0.0,0.0,0.03577227201095588,0.0,0.0,0.05019990427221962,0.2119462049391143,0.10731681675931595
import--joint--socp,import,joint,socp,A,2,0.0,0.2699999988262647,0.043105554085117584,0.0,0.0,0.040048257371933245,0.2669427027855163,0.12931666871205394
import--joint--socp,import,joint,socp,A,3,0.0,0.3552733435426641,0.03652721730069858,0.0,0.09999999920664353,0.0,0.21874612753325196,0.10958165255230745
import--joint--socp,import,joint,socp,A,4,0.0,0.09000000000000001,0.035772995008709965,0.0,0.0,1.837639842919292e-6,0.21195286790752355,0.10731898574371872
import--joint--socp,import,joint,socp,B,1,0.14999999861948035,0.0,0.0,2.6444054617691106e-8,0.0,0.0,0.2669252830418911,0.21166667817643792
import--joint--socp,import,joint,socp,B,2,0.14999999861283897,0.0,0.0,0.0,0.0,0.0,0.31589542104008284,0.2716679166491717
import--joint--socp,import,joint,socp,B,3,0.15,0.0,0.0,2.3425278938837835e-9,0.0,0.0,0.26494752708391567,0.2133335810739447
import--joint--socp,import,joint,socp,B,4,0.14999999861689173,0.0,0.0,2.6698596805596608e-8,0.0,0.0,0.26693211098539893,0.2116666466398966
import--joint--exact,import,joint,exact,DSO,1,0.029388889042116558,0.0,0.0,0.0,0.0,0.0,0.0,0.0
import--joint--exact,import,joint,exact,DSO,2,0.07938888890357898,0.0,0.0,0.0,0.0,0.0,0.0,0.0
import--joint--exact,import,joint,exact,DSO,3,0.030777777713943532,0.0,0.0,0.0,0.0,0.0,0.0,0.0
import--joint--exact,import,joint,exact,DSO,4,0.029388889071122453,0.0,0.0,0.0,0.0,0.0,0.0,0.0
import--joint--exact,import,joint,exact,A,1,0.0,0.0,0.03577211548825138,0.0,0.0,0.05020211401280176,0.2119459038650261,0.10731634646475294
import--joint--exact,import,joint,exact,A,2,0.0,0.2699999999794147,0.043105448749005744,0.0,0.0,0.04004786442513714,0.2669424156622082,0.12931634646250795
import--joint--exact,import,joint,exact,A,3,0.0,0.35527386819965356,0.03652777709892213,0.0,0.1,0.0,0.21874609111668902,0.10958333129676637
import--joint--exact,import,joint,exact,A,4,0.0,0.089999999979395,0.035772836911570585,0.0,0.0,2.1562061099911498e-8,0.21195240686736921,0.10731851075948244
import--joint--exact,import,joint,exact,B,1,0.14999999905299502,0.0,0.0,9.470049709692232e-10,0.0,0.0,0.26692504215419655,0.21166666661378983
import--joint--exact,import,joint,exact,B,2,0.15,0.0,0.0,0.0,0.0,0.0,0.3158954569147235,0.27166666646880405
import--joint--exact,import,joint,exact,B,3,0.15,0.0,0.0,0.0,0.0,0.0,0.26494744431865846,0.2133333332567323
import--joint--exact,import,joint,exact,B,4,0.14999999901240144,0.0,0.0,9.87598544610613e-10,0.0,0.0,0.2669315778570197,0.21166666661367667
electric_bottleneck--fixed--socp,electric_bottleneck,fixed,socp,DSO,1,0.029388555770272044,0.0,0.0,3.9619512043637e-7,0.0,0.0,0.0,0.0
electric_bottleneck--fixed--socp,electric_bottleneck,fixed,socp,DSO,2,0.09078583350058703,0.0,0.0,2.5456210333130945e-9,0.0,0.0,0.0,0.0
electric_bottleneck--fixed--socp,electric_bottleneck,fixed,socp,DSO,3,0.030777894248730463,0.0,0.0,8.804259418415552e-9,0.0,0.0,0.0,0.0
electric_bottleneck--fixed--socp,electric_bottleneck,fixed,socp,DSO,4,0.02938839523643591,0.0,0.0,4.067733978260562e-7,0.0,0.0,0.0,0.0
electric_bottleneck--fixed--socp,electric_bottleneck,fixed,socp,A,1,0.0,0.0,0.03555591108933901,0.0,0.0,0.06167597885643351,0.20999554293032052,0.10666774323313645
electric_bottleneck--fixed--socp,electric_bottleneck,fixed,socp,A,2,0.0,0.26999999475239667,0.03833054755452926,0.0,0.0,0.03332336563741324,0.26499282364074145,0.12866718554345297
electric_bottleneck--fixed--socp,electric_bottleneck,fixed,socp,A,3,0.0,0.3552696461577421,0.036522942446982946,0.0,0.09999999398055309,0.0,0.21874671464766096,0.10956883211179623
