run_id,case,policy,electric,edge,from,to,t,u_E,a_E,P_MW,u_H,a_H,direction,H_in_MW,heat_loss_MW
import--fixed--exact,import,fixed,exact,1,1,2,1,1.0,0.0,0.31569891930306776,1.0,0.0,1.0,0.03526666571206486,0.001800000000000003
import--fixed--exact,import,fixed,exact,1,1,2,2,1.0,0.0,0.16662910046938714,1.0,0.0,1.0,0.09526666670002484,0.001799999999999996
import--fixed--exact,import,fixed,exact,1,1,2,3,1.0,0.0,0.11533624242405273,1.0,0.0,1.0,0.03693333325499749,0.001800000000000003
import--fixed--exact,import,fixed,exact,1,1,2,4,1.0,0.0,0.27567752165059956,1.0,0.0,1.0,0.03526666779644012,0.001800000000000003
import--fixed--exact,import,fixed,exact,2,2,3,1,1.0,0.0,0.1170922034870829,1.0,0.0,1.0,0.033466665712065614,0.001800000000000003
import--fixed--exact,import,fixed,exact,2,2,3,2,1.0,0.0,0.1662138521173734,1.0,0.0,1.0,0.09346666646794936,0.001799999999999996
import--fixed--exact,import,fixed,exact,2,2,3,3,1.0,0.0,0.11510888039745702,1.0,0.0,1.0,0.03513333325499754,0.0017999999216642068
import--fixed--exact,import,fixed,exact,2,2,3,4,1.0,0.0,0.11709862086129984,1.0,0.0,1.0,0.0334666677964402,0.001800000000000003
import--fixed--exact,import,fixed,exact,3,1,3,1,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
import--fixed--exact,import,fixed,exact,3,1,3,2,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
import--fixed--exact,import,fixed,exact,3,1,3,3,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
import--fixed--exact,import,fixed,exact,3,1,3,4,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
import--electric--socp,import,electric,socp,1,1,2,1,1.0,0.0,0.31569865716556594,1.0,0.0,1.0,0.03526664367278327,0.001800000000000003
import--electric--socp,import,electric,socp,1,1,2,2,1.0,0.0,0.1666297974162223,1.0,0.0,1.0,0.09526653173922754,0.001799999999999996
import--electric--socp,import,electric,socp,1,1,2,3,1.0,0.0,0.11533587860193402,1.0,0.0,1.0,0.03693333279712168,0.001800000000000003
import--electric--socp,import,electric,socp,1,1,2,4,1.0,0.0,0.2756772025202574,1.0,0.0,1.0,0.035266633827981765,0.001800000000000003
import--electric--socp,import,electric,socp,2,2,3,1,1.0,0.0,0.11709202203837549,1.0,0.0,1.0,0.033466642975831,0.001800000000000003
import--electric--socp,import,electric,socp,2,2,3,2,1.0,0.0,0.16621454559109836,1.0,0.0,1.0,0.09346652341786886,0.001799999999999996
import--electric--socp,import,electric,socp,2,2,3,3,1.0,0.0,0.11510851718534106,1.0,0.0,1.0,0.03513333217793963,0.001800000000000003
import--electric--socp,import,electric,socp,2,2,3,4,1.0,0.0,0.11709875663682937,1.0,0.0,1.0,0.03346663325777778,0.001800000000000003
import--electric--socp,import,electric,socp,3,1,3,1,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
import--electric--socp,import,electric,socp,3,1,3,2,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
import--electric--socp,import,electric,socp,3,1,3,3,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
import--electric--socp,import,electric,socp,3,1,3,4,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
