stage,name,equation,scope,entity,t,residual,unit,tolerance,pass
1,initialization,3-41,model,1,2,0.0,K,0.0001,true
1,initialization,3-41,model,1,2,0.0,K,0.0001,true
1,initialization,3-24,model,1,2,0.0,kPa,0.001,true
1,initialization,3-41,model,1,2,0.0,K,0.0001,true
1,initialization,3-41,model,1,2,0.0,K,0.0001,true
1,initialization,3-24,model,1,2,0.0,kPa,0.001,true
1,initialization,3-24-order,model,1,2,0.0,normalized,1.0e-6,true
1,initialization,3-21,model,1,3,0.0,kg/s,4.0e-6,true
1,initialization,3-43,model,1,3,0.0,kg/s,4.0e-6,true
1,initialization,3-17,physics,1,3,8.952480330393087e-6,MW,3.0e-6,false
1,initialization,3-17-original,physics,1,3,8.952480330393087e-6,MW,3.0e-6,false
1,initialization,3-42,model,1,3,0.0,MW,3.0e-6,true
1,initialization,3-19:20,model,1,3,2.2411683620049416e-11,MW,3.0e-6,true
1,initialization,3-37,model,1,3,0.0,K,0.0001,true
1,initialization,3-41,model,1,3,0.0,K,0.0001,true
1,initialization,3-41,model,1,3,0.0,K,0.0001,true
1,initialization,3-24,model,1,3,0.0,kPa,0.001,true
1,initialization,3-41,model,1,3,0.0,K,0.0001,true
1,initialization,3-41,model,1,3,0.0,K,0.0001,true
1,initialization,3-24,model,1,3,0.0,kPa,0.001,true
1,initialization,3-24-order,model,1,3,0.0,normalized,1.0e-6,true
1,initialization,3-21,model,1,4,0.0,kg/s,4.0e-6,true
1,initialization,3-43,model,1,4,0.0,kg/s,4.0e-6,true
1,initialization,3-17,physics,1,4,0.028825937850386812,MW,3.0e-6,false
1,initialization,3-17-original,physics,1,4,0.028825937850386812,MW,3.0e-6,false
1,initialization,3-42,model,1,4,0.0,MW,3.0e-6,true
1,initialization,3-19:20,model,1,4,7.39461269994024e-11,MW,3.0e-6,true
1,initialization,3-37,model,1,4,0.0,K,0.0001,true
1,initialization,3-41,model,1,4,0.0,K,0.0001,true
1,initialization,3-41,model,1,4,0.0,K,0.0001,true
1,initialization,3-24,model,1,4,0.0,kPa,0.001,true
1,initialization,3-41,model,1,4,0.0,K,0.0001,true
1,initialization,3-41,model,1,4,0.0,K,0.0001,true
1,initialization,3-24,model,1,4,0.0,kPa,0.001,true
1,initialization,3-24-order,model,1,4,0.0,normalized,1.0e-6,true
1,initialization,3-21,model,2,1,1.477402689076257e-8,kg/s,4.0e-6,true
1,initialization,3-43,model,2,1,0.0,kg/s,4.0e-6,true
1,initialization,3-17,physics,2,1,1.6840229627446135e-9,MW,3.0e-6,true
1,initialization,3-17-original,physics,2,1,1.6840229627446135e-9,MW,3.0e-6,true
1,initialization,3-42,model,2,1,1.684022962678e-9,MW,3.0e-6,true
1,initialization,3-19:20,model,2,1,7.818723446462172e-11,MW,3.0e-6,true
1,initialization,3-37,model,2,1,0.0,K,0.0001,true
1,initialization,3-41,model,2,1,0.0,K,0.0001,true
1,initialization,3-41,model,2,1,0.0,K,0.0001,true
1,initialization,3-24,model,2,1,0.0,kPa,0.001,true
1,initialization,3-41,model,2,1,0.0,K,0.0001,true
1,initialization,3-41,model,2,1,0.0,K,0.0001,true
1,initialization,3-24,model,2,1,0.0,kPa,0.001,true
1,initialization,3-24-order,model,2,1,0.0,normalized,1.0e-6,true
1,initialization,3-21,model,2,2,3.259648240216961e-8,kg/s,4.0e-6,true
1,initialization,3-43,model,2,2,0.0,kg/s,4.0e-6,true
1,initialization,3-17,physics,2,2,3.6331728042737765e-9,MW,3.0e-6,true
1,initialization,3-17-original,physics,2,2,3.6331728042737765e-9,MW,3.0e-6,true
1,initialization,3-42,model,2,2,3.6331728068716985e-9,MW,3.0e-6,true
1,initialization,3-19:20,model,2,2,2.2797111420835847e-11,MW,3.0e-6,true
1,initialization,3-37,model,2,2,0.0,K,0.0001,true
1,initialization,3-41,model,2,2,0.0,K,0.0001,true
1,initialization,3-41,model,2,2,0.0,K,0.0001,true
1,initialization,3-24,model,2,2,0.0,kPa,0.001,true
1,initialization,3-41,model,2,2,0.0,K,0.0001,true
1,initialization,3-41,model,2,2,0.0,K,0.0001,true
1,initialization,3-24,model,2,2,0.0,kPa,0.001,true
1,initialization,3-24-order,model,2,2,0.0,normalized,1.0e-6,true
1,initialization,3-21,model,2,3,3.759439959338806e-8,kg/s,4.0e-6,true
1,initialization,3-43,model,2,3,0.0,kg/s,4.0e-6,true
1,initialization,3-17,physics,2,3,4.108483719900136e-9,MW,3.0e-6,true
1,initialization,3-17-original,physics,2,3,4.108483719900136e-9,MW,3.0e-6,true
1,initialization,3-42,model,2,3,4.10848371643624e-9,MW,3.0e-6,true
1,initialization,3-19:20,model,2,3,2.278877087036335e-11,MW,3.0e-6,true
1,initialization,3-37,model,2,3,0.0,K,0.0001,true
1,initialization,3-41,model,2,3,0.0,K,0.0001,true
1,initialization,3-41,model,2,3,0.0,K,0.0001,true
1,initialization,3-24,model,2,3,0.0,kPa,0.001,true
1,initialization,3-41,model,2,3,0.0,K,0.0001,true
1,initialization,3-41,model,2,3,0.0,K,0.0001,true
1,initialization,3-24,model,2,3,0.0,kPa,0.001,true
1,initialization,3-24-order,model,2,3,0.0,normalized,1.0e-6,true
1,initialization,3-21,model,2,4,1.33874191732275e-8,kg/s,4.0e-6,true
1,initialization,3-43,model,2,4,0.0,kg/s,4.0e-6,true
1,initialization,3-17,physics,2,4,1.5822720772495913e-9,MW,3.0e-6,true
1,initialization,3-17-original,physics,2,4,1.5822720772495913e-9,MW,3.0e-6,true
1,initialization,3-42,model,2,4,1.5822720733638107e-9,MW,3.0e-6,true
1,initialization,3-19:20,model,2,4,7.829017989458009e-11,MW,3.0e-6,true
1,initialization,3-37,model,2,4,0.0,K,0.0001,true
1,initialization,3-41,model,2,4,0.0,K,0.0001,true
1,initialization,3-41,model,2,4,0.0,K,0.0001,true
1,initialization,3-24,model,2,4,0.0,kPa,0.001,true
1,initialization,3-41,model,2,4,0.0,K,0.0001,true
1,initialization,3-41,model,2,4,0.0,K,0.0001,true
1,initialization,3-24,model,2,4,0.0,kPa,0.001,true
1,initialization,3-24-order,model,2,4,0.0,normalized,1.0e-6,true
1,initialization,3-21,model,3,1,0.0,kg/s,4.0e-6,true
1,initialization,3-43,model,3,1,0.0,kg/s,4.0e-6,true
1,initialization,3-17,physics,3,1,0.018761493594106393,MW,3.0e-6,false
1,initialization,3-17-original,physics,3,1,0.018761493594106393,MW,3.0e-6,false
1,initialization,3-42,model,3,1,0.0,MW,3.0e-6,true
1,initialization,3-19:20,model,3,1,0.0,MW,3.0e-6,true
1,initialization,3-38,model,3,1,0.0,K,0.0001,true
1,initialization,R2-load-return,model,3,1,0.0,K,0.0001,true
1,initialization,3-41,model,3,1,0.0,K,0.0001,true
1,initialization,3-41,model,3,1,0.0,K,0.0001,true
1,initialization,3-24,model,3,1,0.0,kPa,0.001,true
1,initialization,3-41,model,3,1,0.0,K,0.0001,true
1,initialization,3-41,model,3,1,0.0,K,0.0001,true
1,initialization,3-24,model,3,1,0.0,kPa,0.001,true
1,initialization,3-24-order,model,3,1,0.0,normalized,1.0e-6,true
1,initialization,3-21,model,3,2,0.0,kg/s,4.0e-6,true
1,initialization,3-43,model,3,2,0.0,kg/s,4.0e-6,true
1,initialization,3-17,physics,3,2,0.02167041953826826,MW,3.0e-6,false
1,initialization,3-17-original,physics,3,2,0.02167041953826826,MW,3.0e-6,false
1,initialization,3-42,model,3,2,0.0,MW,3.0e-6,true
1,initialization,3-19:20,model,3,2,0.0,MW,3.0e-6,true
1,initialization,3-38,model,3,2,0.0,K,0.0001,true
1,initialization,R2-load-return,model,3,2,0.0,K,0.0001,true
1,initialization,3-41,model,3,2,0.0,K,0.0001,true
1,initialization,3-41,model,3,2,0.0,K,0.0001,true
1,initialization,3-24,model,3,2,0.0,kPa,0.001,true
1,initialization,3-41,model,3,2,0.0,K,0.0001,true
1,initialization,3-41,model,3,2,0.0,K,0.0001,true
1,initialization,3-24,model,3,2,0.0,kPa,0.001,true
1,initialization,3-24-order,model,3,2,0.0,normalized,1.0e-6,true
1,initialization,3-21,model,3,3,0.0,kg/s,4.0e-6,true
1,initialization,3-43,model,3,3,0.0,kg/s,4.0e-6,true
1,initialization,3-17,physics,3,3,0.03361097312380995,MW,3.0e-6,false
1,initialization,3-17-original,physics,3,3,0.03361097312380995,MW,3.0e-6,false
1,initialization,3-42,model,3,3,0.0,MW,3.0e-6,true
1,initialization,3-19:20,model,3,3,0.0,MW,3.0e-6,true
1,initialization,3-38,model,3,3,0.0,K,0.0001,true
1,initialization,R2-load-return,model,3,3,0.0,K,0.0001,true
