id,run_id,stage,formula,object,time,scenario,residual,tolerance,unit,pass
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,6-13-zero,CHP1,2,1,0.0,2.0e-6,MWh,true
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,6-13-zero,CHP1,2,2,0.0,2.0e-6,MWh,true
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,6-13-zero,CHP1,3,1,0.0,2.0e-6,MWh,true
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,6-13-zero,CHP1,3,2,0.0,2.0e-6,MWh,true
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,6-13-zero,CHP1,4,1,0.0,2.0e-6,MWh,true
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,6-13-zero,CHP1,4,2,0.0,2.0e-6,MWh,true
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,6-13-zero,CHP1,5,1,0.0,2.0e-6,MWh,true
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,6-13-zero,CHP1,5,2,0.0,2.0e-6,MWh,true
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,6-8:10,BES2,1,1,0.0,2.8e-6,MW,true
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,6-9,BES2,1,1,0.0,2.8e-6,Mvar,true
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,6-11,BES2,1,1,0.0,2.8e-6,MW,true
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,6-12-ch,BES2,1,1,0.0,2.8e-6,MW,true
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,6-12-dis,BES2,1,1,0.0,2.8e-6,MW,true
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,6-12,BES2,1,1,0.0,2.8e-6,MW,true
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,6-14,BES2,1,1,3.3861802251067274e-15,2.0e-6,MWh,true
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,6-8:10,BES2,1,2,0.0,2.8e-6,MW,true
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,6-9,BES2,1,2,0.0,2.8e-6,Mvar,true
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,6-11,BES2,1,2,0.0,2.8e-6,MW,true
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,6-12-ch,BES2,1,2,0.0,2.8e-6,MW,true
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,6-12-dis,BES2,1,2,0.0,2.8e-6,MW,true
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,6-12,BES2,1,2,0.0,2.8e-6,MW,true
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,6-14,BES2,1,2,0.0,2.0e-6,MWh,true
healthy_zero_loss_prescribed_highs,r7-flow-planning-786489ac-e014-4c7e-8d8d-483974a6bcf3,normal,6-8:10,BES2,2,1,0.0,2.8e-6,MW,true
