scheme,scenario,probability,worst_single_event,epsilon,individually_allowed
3B,train_000197,0.009,0.009,0.05,true
3B,train_001878,0.0085,0.0085,0.05,true
3B,train_001743,0.005,0.005,0.05,true
3B,train_000669,0.0095,0.0095,0.05,true
3B,train_000592,0.005,0.005,0.05,true
3B,train_001134,0.0075,0.0075,0.05,true
3B,train_000330,0.0135,0.0135,0.05,true
3B,train_001883,0.0105,0.0105,0.05,true
3B,train_001339,0.0135,0.0135,0.05,true
3B,train_001295,0.0145,0.0145,0.05,true
3B,train_000688,0.012,0.012,0.05,true
3B,train_001753,0.005,0.005,0.05,true
3B,train_000006,0.011,0.011,0.05,true
3B,train_000928,0.0085,0.0085,0.05,true
3B,train_000666,0.012,0.012,0.05,true
3B,train_001092,0.0105,0.0105,0.05,true
3B,train_000855,0.005,0.005,0.05,true
3B,train_001771,0.0115,0.0115,0.05,true
3B,train_001635,0.011,0.011,0.05,true
3B,train_001037,0.012,0.012,0.05,true
3B,train_001667,0.012,0.012,0.05,true
3B,train_000931,0.008,0.008,0.05,true
3B,train_001340,0.0175,0.0175,0.05,true
3B,train_001413,0.011,0.011,0.05,true
3B,train_000721,0.008,0.008,0.05,true
3B,train_000232,0.0055,0.0055,0.05,true
3B,train_000601,0.007,0.007,0.05,true
3B,train_001414,0.004,0.004,0.05,true
3B,train_000700,0.0095,0.0095,0.05,true
3B,train_000814,0.007,0.007,0.05,true
3B,train_001700,0.01,0.01,0.05,true
3B,train_000946,0.013,0.013,0.05,true
3B,train_000317,0.007,0.007,0.05,true
3B,train_000535,0.0135,0.0135,0.05,true
3B,train_001051,0.0095,0.0095,0.05,true
3B,train_000438,0.012,0.012,0.05,true
3B,train_000208,0.013,0.013,0.05,true
3B,train_000555,0.0115,0.0115,0.05,true
3B,train_000547,0.0085,0.0085,0.05,true
3B,train_000051,0.0055,0.0055,0.05,true
3B,train_000751,0.0125,0.0125,0.05,true
3B,train_001183,0.0055,0.0055,0.05,true
3B,train_001860,0.012,0.012,0.05,true
3B,train_000328,0.01,0.01,0.05,true
3C,train_000890,0.0155,0.0827605458068175,0.05,false
3C,train_001527,0.0085,0.06930917496354781,0.05,false
3C,train_001236,0.0115,0.06678709062632611,0.05,false
3C,train_001785,0.008,0.0680273029473701,0.05,false
3C,train_001372,0.0105,0.0633247571977551,0.05,false
3C,train_000158,0.003,0.050093813641048354,0.05,false
3C,train_000511,0.0165,0.07498762225550809,0.05,false
3C,train_001107,0.015,0.07327583156501066,0.05,false
3C,train_000274,0.0125,0.06866126594073309,0.05,false
3C,train_000961,0.001,0.046509784865738354,0.05,true
3C,train_001712,0.0105,0.0695460970453717,0.05,false
3C,train_001447,0.003,0.058256703255928,0.05,false
3C,train_000886,0.0075,0.06080093007114963,0.05,false
3C,train_000492,0.007,0.06193431352124007,0.05,false
3C,train_000959,0.013,0.0736215606378303,0.05,false
3C,train_000826,0.0165,0.07544766136136484,0.05,false
3C,train_000286,0.008,0.07171348615156406,0.05,false
3C,train_000787,0.005,0.06786905271613414,0.05,false
3C,train_000473,0.005,0.06163065926603964,0.05,false
3C,train_001184,0.004,0.05583886931089588,0.05,false
