stage,run_id,block,formula,rows,maximum_normalized,raw_residual,tolerance,unit,all_pass
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,6-85:86,32,3.9825372503093435e-12,1.1102230246251565e-16,2.7877279102384292e-5,MW,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,6-88,16,71979.64303332429,2.0065965985299723,2.7877279102384292e-5,MW,false
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,6-89,16,2.54882384019798e-10,7.105427357601002e-15,2.7877279102384292e-5,MW,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,R7-A3/90,2,0.0,0.0,1.1278250000000002e-5,MWh,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,R7-A4-R,16,9.843929906015175e-11,1.1102230246251565e-15,1.1278250000000002e-5,MWh,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,R7-A4-S,16,5.906357943609105e-11,6.661338147750939e-16,1.1278250000000002e-5,MWh,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,R7-C1-load,608,0.0,0.0,2.7877279102384292e-5,MW,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,R7-C1-source,608,6.37205960049495e-11,1.7763568394002505e-15,2.7877279102384292e-5,MW,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,R7-R1,47,0.0,0.0,1.0e-6,1,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,R7-R4,608,1.1329838611208888e-10,7.105427357601002e-15,6.271428571428571e-5,kg/s,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,R9-RE1-closed-component,47,0.0,0.0,1.0e-6,1,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,R9-RE1-energized,44,0.0,0.0,1.0e-6,1,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,R9-RE1-integer-energized,44,0.0,0.0,1.0e-6,1,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,R9-RE1-integer-live,47,0.0,0.0,1.0e-6,1,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,R9-RE1-live,47,0.0,0.0,1.0e-6,1,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,R9-RE1-live-product,47,0.0,0.0,1.0e-6,1,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,R9-RE2-live-root,44,0.0,0.0,1.0e-6,1,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,R9-RE2-root-available,704,0.0,0.0,1.0e-6,1,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,R9-RE3,752,9.29107051711453e-10,9.29107051711453e-16,1.0e-6,pu,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,R9-RE4-commitment,32,0.0,0.0,1.0e-6,1,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,R9-RE4-device-P,128,3.2656805452536615e-10,9.103828801926284e-15,2.7877279102384292e-5,MW,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,R9-RE4-device-Q,128,0.0,0.0,2.7877279102384292e-5,Mvar,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,R9-RE4-served,704,3.783410387793876e-10,1.0547118733938987e-14,2.7877279102384292e-5,MW,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,R9-RL1-critical,704,1.5133641551175503e-10,4.218847493575595e-15,2.7877279102384292e-5,MW,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,R9-RL1-ordinary,704,3.783410387793876e-10,1.0547118733938987e-14,2.7877279102384292e-5,MW,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,R9-RL1-split,704,1.1151104300866161e-10,3.1086244689504383e-15,2.7877279102384292e-5,MW,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,R9-RL2,1,0.0,0.0,9.88391793381035e-6,MWh,true
aggregate-single_1_2,r7-recovery-8c9e8839-fdcc-4332-9b49-d8dce511f00a,model,R9-RW1-off,36,0.0,0.0,1.0e-6,1,true
