equation,scope,entity,t,residual,unit,tolerance,pass
3-38,model,3,1,0.0,K,0.0001,true
R2-load-return,model,3,1,0.0,K,0.0001,true
3-41,model,3,1,0.0,K,0.0001,true
3-41,model,3,1,0.0,K,0.0001,true
3-24,model,3,1,0.0,kPa,0.001,true
3-41,model,3,1,0.0,K,0.0001,true
3-41,model,3,1,0.0,K,0.0001,true
3-24,model,3,1,0.0,kPa,0.001,true
3-24-order,model,3,1,0.0,normalized,1.0e-6,true
3-21,model,3,2,0.0,kg/s,4.0e-6,true
3-43,model,3,2,0.0,kg/s,4.0e-6,true
3-17,model,3,2,2.220446049250313e-16,MW,3.0e-6,true
3-17-original,physics,3,2,2.220446049250313e-16,MW,3.0e-6,true
3-19:20,model,3,2,0.0,MW,3.0e-6,true
3-38,model,3,2,0.0,K,0.0001,true
R2-load-return,model,3,2,0.0,K,0.0001,true
3-41,model,3,2,0.0,K,0.0001,true
3-41,model,3,2,0.0,K,0.0001,true
3-24,model,3,2,0.0,kPa,0.001,true
3-41,model,3,2,0.0,K,0.0001,true
3-41,model,3,2,0.0,K,0.0001,true
3-24,model,3,2,0.0,kPa,0.001,true
3-24-order,model,3,2,0.0,normalized,1.0e-6,true
3-21,model,3,3,0.0,kg/s,4.0e-6,true
3-43,model,3,3,0.0,kg/s,4.0e-6,true
3-17,model,3,3,0.0,MW,3.0e-6,true
3-17-original,physics,3,3,0.0,MW,3.0e-6,true
3-19:20,model,3,3,0.0,MW,3.0e-6,true
3-38,model,3,3,0.0,K,0.0001,true
R2-load-return,model,3,3,0.0,K,0.0001,true
3-41,model,3,3,0.0,K,0.0001,true
3-41,model,3,3,0.0,K,0.0001,true
3-24,model,3,3,0.0,kPa,0.001,true
3-41,model,3,3,0.0,K,0.0001,true
3-41,model,3,3,0.0,K,0.0001,true
3-24,model,3,3,0.0,kPa,0.001,true
3-24-order,model,3,3,0.0,normalized,1.0e-6,true
3-21,model,3,4,0.0,kg/s,4.0e-6,true
3-43,model,3,4,0.0,kg/s,4.0e-6,true
3-17,model,3,4,2.220446049250313e-16,MW,3.0e-6,true
3-17-original,physics,3,4,2.220446049250313e-16,MW,3.0e-6,true
3-19:20,model,3,4,0.0,MW,3.0e-6,true
3-38,model,3,4,0.0,K,0.0001,true
R2-load-return,model,3,4,0.0,K,0.0001,true
3-41,model,3,4,0.0,K,0.0001,true
3-41,model,3,4,0.0,K,0.0001,true
3-24,model,3,4,0.0,kPa,0.001,true
3-41,model,3,4,0.0,K,0.0001,true
3-41,model,3,4,0.0,K,0.0001,true
3-24,model,3,4,0.0,kPa,0.001,true
3-24-order,model,3,4,0.0,normalized,1.0e-6,true
3-35:36,model,S1,1,0.0,K,0.0001,true
mix-original,physics,S1,1,0.0,K,0.0001,true
3-35:36,model,S1,2,0.0,K,0.0001,true
mix-original,physics,S1,2,0.0,K,0.0001,true
3-35:36,model,S1,3,0.0,K,0.0001,true
mix-original,physics,S1,3,0.0,K,0.0001,true
3-35:36,model,S1,4,0.0,K,0.0001,true
mix-original,physics,S1,4,0.0,K,0.0001,true
3-35:36,physics,S2,1,0.6670878435683676,K,0.0001,false
mix-original,physics,S2,1,0.6670878435683676,K,0.0001,false
3-55,model,S2,1,0.0,1,1.0e-6,true
3-55-binary,model,S2/1,1,0.0,1,1.0e-6,true
3-53:54,model,S2,1,0.0,kg/s,4.0e-6,true
3-56:57,model,S2,1,0.0,K,0.0001,true
3-55-binary,model,S2/2,1,0.0,1,1.0e-6,true
3-53:54,model,S2,1,0.0,kg/s,4.0e-6,true
3-56:57,model,S2,1,0.0,K,0.0001,true
3-35:36,physics,S2,2,5.401452101039524,K,0.0001,false
mix-original,physics,S2,2,5.401452101039524,K,0.0001,false
3-55,model,S2,2,0.0,1,1.0e-6,true
3-55-binary,model,S2/1,2,0.0,1,1.0e-6,true
3-53:54,model,S2,2,0.0,kg/s,4.0e-6,true
3-56:57,model,S2,2,0.0,K,0.0001,true
3-55-binary,model,S2/2,2,0.0,1,1.0e-6,true
