run_id,node,t,source_temperature_K,heat_MW
roundoff_band_clarabel,15,20,343.1500000023247,0.17547769868580454
roundoff_band_clarabel,15,21,345.9713584737798,0.19380706389117872
roundoff_band_clarabel,15,22,361.79998259862566,0.8803115991796424
roundoff_band_clarabel,15,23,363.16693864523586,0.595902906925261
roundoff_band_clarabel,15,24,363.14376565288865,0.6460871602229606
roundoff_band_gurobi,1,1,343.20906373288096,3.4000010467417776
roundoff_band_gurobi,1,2,343.9578863403234,3.4000054454211477
roundoff_band_gurobi,1,3,348.5644537804929,4.26041078423216
roundoff_band_gurobi,1,4,347.6157735384873,4.379654635649223
roundoff_band_gurobi,1,5,343.15002187098,4.389907225723309
roundoff_band_gurobi,1,6,353.9622628939946,6.800000153389942
roundoff_band_gurobi,1,7,352.25014948773673,6.80000014967013
roundoff_band_gurobi,1,8,349.09502554839776,6.800000209558338
roundoff_band_gurobi,1,9,349.84086589384015,6.799999999045349
roundoff_band_gurobi,1,10,355.24773769689205,6.8000000312073485
roundoff_band_gurobi,1,11,362.43231304825144,6.800000039139218
roundoff_band_gurobi,1,12,368.14970363822476,6.800000022115137
roundoff_band_gurobi,1,13,372.7869971486949,6.799998163305274
roundoff_band_gurobi,1,14,373.14999988248445,6.584452703480234
roundoff_band_gurobi,1,15,373.1499992641805,6.2698467277373044
roundoff_band_gurobi,1,16,373.14999975943437,6.590777674263915
roundoff_band_gurobi,1,17,373.149999919553,6.799999894075698
roundoff_band_gurobi,1,18,373.14999994786706,6.799999970275932
roundoff_band_gurobi,1,19,373.1499999695502,6.799999992836778
roundoff_band_gurobi,1,20,365.8520210164004,6.799999974964681
roundoff_band_gurobi,1,21,362.9239603067989,6.800000019863734
roundoff_band_gurobi,1,22,363.24037833065734,4.397950856038079
roundoff_band_gurobi,1,23,363.13964852112093,5.534691897123917
roundoff_band_gurobi,1,24,363.1500000004472,5.502501297053602
roundoff_band_gurobi,15,1,373.1499980101904,1.0880185159918765
roundoff_band_gurobi,15,2,373.1499991968834,1.1496906270893523
roundoff_band_gurobi,15,3,373.14999914894196,1.1999998312506464
roundoff_band_gurobi,15,4,372.0766577951399,1.1999998960934393
roundoff_band_gurobi,15,5,366.70809420283166,1.1999999236581118
roundoff_band_gurobi,15,6,343.1500070189487,0.29703040328201474
roundoff_band_gurobi,15,7,343.1500059923131,0.32516642485994
roundoff_band_gurobi,15,8,343.15000421147676,0.36599454880035914
roundoff_band_gurobi,15,9,343.15000184356046,0.34147964567356237
roundoff_band_gurobi,15,10,343.15000186813234,0.3181340474780666
roundoff_band_gurobi,15,11,343.1500017343064,0.27809470344060166
roundoff_band_gurobi,15,12,343.15000174788736,0.23245572991371097
roundoff_band_gurobi,15,13,343.1500024449703,0.1872222068333025
roundoff_band_gurobi,15,14,343.15002217398154,0.14816364877205937
roundoff_band_gurobi,15,15,343.15001085333,0.13822915568456332
roundoff_band_gurobi,15,16,343.1500018647913,0.16446530361171896
roundoff_band_gurobi,15,17,343.15000206549024,0.17189398664593955
roundoff_band_gurobi,15,18,343.15000070567663,0.18491000045725858
roundoff_band_gurobi,15,19,343.150000371834,0.1866437378951428
roundoff_band_gurobi,15,20,343.1500006643729,0.17547770300169474
roundoff_band_gurobi,15,21,345.97136008810315,0.19380707607516778
roundoff_band_gurobi,15,22,361.7999822891157,0.8803115899428383
roundoff_band_gurobi,15,23,363.16693878911946,0.5959029084245101
roundoff_band_gurobi,15,24,363.143765658709,0.6460871602146862
