run_id,purpose,actor,carrier,t,peer_export_MW
import_fixed--p1--agnb--clarabel,agnb,3,P,1,7.209519026218913e-7
import_fixed--p1--agnb--clarabel,agnb,3,H,1,-1.3735902061995375e-5
import_fixed--p1--agnb--clarabel,agnb,3,P,2,8.53260026190128e-7
import_fixed--p1--agnb--clarabel,agnb,3,H,2,-1.39789364475007e-5
import_fixed--p1--agnb--clarabel,agnb,3,P,3,-6.087779475194566e-6
import_fixed--p1--agnb--clarabel,agnb,3,H,3,-1.3985714055309018e-5
import_fixed--p1--agnb--clarabel,agnb,3,P,4,7.358554512393312e-7
import_fixed--p1--agnb--clarabel,agnb,3,H,4,-1.3771996798084274e-5
import_fixed--p2--swm--clarabel,swm,2,P,1,-4.5915712121313845e-8
import_fixed--p2--swm--clarabel,swm,2,H,1,-7.50430118046097e-9
import_fixed--p2--swm--clarabel,swm,2,P,2,-4.2575361902663644e-8
import_fixed--p2--swm--clarabel,swm,2,H,2,-7.270458013408643e-9
import_fixed--p2--swm--clarabel,swm,2,P,3,-3.797162761998152e-8
import_fixed--p2--swm--clarabel,swm,2,H,3,-7.535351898013687e-9
import_fixed--p2--swm--clarabel,swm,2,P,4,-4.4355953576769025e-8
import_fixed--p2--swm--clarabel,swm,2,H,4,-7.507079402557792e-9
import_fixed--p2--swm--clarabel,swm,3,P,1,4.591569435774545e-8
import_fixed--p2--swm--clarabel,swm,3,H,1,7.504294075033613e-9
import_fixed--p2--swm--clarabel,swm,3,P,2,4.257534769180893e-8
import_fixed--p2--swm--clarabel,swm,3,H,2,7.270454460694964e-9
import_fixed--p2--swm--clarabel,swm,3,P,3,3.7971581434703694e-8
import_fixed--p2--swm--clarabel,swm,3,H,3,7.535359003441044e-9
import_fixed--p2--swm--clarabel,swm,3,P,4,4.4355953576769025e-8
import_fixed--p2--swm--clarabel,swm,3,H,4,7.507079402557792e-9
import_fixed--p2--agnb--clarabel,agnb,2,P,1,-2.3578014918257395e-7
import_fixed--p2--agnb--clarabel,agnb,2,H,1,5.893649181132332e-6
import_fixed--p2--agnb--clarabel,agnb,2,P,2,-2.6881979309223425e-7
import_fixed--p2--agnb--clarabel,agnb,2,H,2,6.103339096341642e-6
import_fixed--p2--agnb--clarabel,agnb,2,P,3,2.6504967749474417e-6
import_fixed--p2--agnb--clarabel,agnb,2,H,3,6.177137183982495e-6
import_fixed--p2--agnb--clarabel,agnb,2,P,4,-2.383567085928462e-7
import_fixed--p2--agnb--clarabel,agnb,2,H,4,5.9307559574506286e-6
import_fixed--p2--agnb--clarabel,agnb,3,P,1,3.4226792067215683e-7
import_fixed--p2--agnb--clarabel,agnb,3,H,1,-5.893505051091097e-6
import_fixed--p2--agnb--clarabel,agnb,3,P,2,3.784244420046434e-7
import_fixed--p2--agnb--clarabel,agnb,3,H,2,-6.103194202466966e-6
import_fixed--p2--agnb--clarabel,agnb,3,P,3,-2.6294581871866285e-6
import_fixed--p2--agnb--clarabel,agnb,3,H,3,-6.176987145778412e-6
import_fixed--p2--agnb--clarabel,agnb,3,P,4,3.4386954084197896e-7
import_fixed--p2--agnb--clarabel,agnb,3,H,4,-5.930610960547256e-6
open_flexible--p1--swm--gurobi,swm,2,P,1,4.2224783206332967e-5
open_flexible--p1--swm--gurobi,swm,2,H,1,-1.3391236051582843e-5
open_flexible--p1--swm--gurobi,swm,2,P,2,-2.9593440933180968e-5
open_flexible--p1--swm--gurobi,swm,2,H,2,-1.2526743238157295e-5
open_flexible--p1--swm--gurobi,swm,2,P,3,-2.957115289379094e-5
open_flexible--p1--swm--gurobi,swm,2,H,3,-1.2381361565736678e-5
open_flexible--p1--swm--gurobi,swm,2,P,4,-2.9526817175040666e-5
open_flexible--p1--swm--gurobi,swm,2,H,4,-1.2413332961297054e-5
open_flexible--p1--swm--gurobi,swm,3,P,1,-4.227006102837338e-5
open_flexible--p1--swm--gurobi,swm,3,H,1,1.338133732789334e-5
open_flexible--p1--swm--gurobi,swm,3,P,2,2.9606856482510816e-5
open_flexible--p1--swm--gurobi,swm,3,H,2,1.2493768003987026e-5
open_flexible--p1--swm--gurobi,swm,3,P,3,2.9582383052823743e-5
open_flexible--p1--swm--gurobi,swm,3,H,3,1.2347859488166602e-5
open_flexible--p1--swm--gurobi,swm,3,P,4,2.954145679082917e-5
open_flexible--p1--swm--gurobi,swm,3,H,4,1.2379688903538036e-5
import_flexible--p1--swm--gurobi,swm,2,P,1,5.736815536186993e-6
import_flexible--p1--swm--gurobi,swm,2,H,1,9.90907974641928e-7
import_flexible--p1--swm--gurobi,swm,2,P,2,-1.2652755029127969e-6
import_flexible--p1--swm--gurobi,swm,2,H,2,9.909789920677355e-7
import_flexible--p1--swm--gurobi,swm,2,P,3,-1.2916769134343516e-6
import_flexible--p1--swm--gurobi,swm,2,H,3,9.933512746016123e-7
import_flexible--p1--swm--gurobi,swm,2,P,4,-1.2891213021385556e-6
import_flexible--p1--swm--gurobi,swm,2,H,4,9.955378782560011e-7
import_flexible--p1--swm--gurobi,swm,3,P,1,-5.738755329300395e-6
import_flexible--p1--swm--gurobi,swm,3,H,1,-9.913706849146096e-7
import_flexible--p1--swm--gurobi,swm,3,P,2,1.263732154109519e-6
import_flexible--p1--swm--gurobi,swm,3,H,2,-9.914504689321562e-7
import_flexible--p1--swm--gurobi,swm,3,P,3,1.288664496237581e-6
import_flexible--p1--swm--gurobi,swm,3,H,3,-9.940167024502706e-7
import_flexible--p1--swm--gurobi,swm,3,P,4,1.287473256734261e-6
import_flexible--p1--swm--gurobi,swm,3,H,4,-9.954533408608703e-7
