run_id,purpose,equation,scope,entity,t,residual,tolerance,unit,pass
open_flexible--p1--swm--clarabel,swm,grid,model,1,1,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,reactive_grid,model,1,1,0.0,3.0e-6,Mvar,true
open_flexible--p1--swm--clarabel,swm,root_voltage,model,1,1,2.220446049250313e-16,1.0e-6,pu²,true
open_flexible--p1--swm--clarabel,swm,P_branch,model,1,1,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,Q_branch,model,1,1,0.0,3.0e-6,Mvar,true
open_flexible--p1--swm--clarabel,swm,ell,model,1,1,0.0,1.0e-6,pu²,true
open_flexible--p1--swm--clarabel,swm,voltage_drop,model,1,1,1.4718044491490723e-16,1.0e-6,pu²,true
open_flexible--p1--swm--clarabel,swm,branch_socp,model,1,1,0.0,1.0e-6,pu⁴,true
open_flexible--p1--swm--clarabel,swm,branch_equality,electric_original,1,1,2.513544155313685e-7,1.0e-6,pu⁴,true
open_flexible--p1--swm--clarabel,swm,P_branch,model,2,1,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,Q_branch,model,2,1,0.0,3.0e-6,Mvar,true
open_flexible--p1--swm--clarabel,swm,ell,model,2,1,0.0,1.0e-6,pu²,true
open_flexible--p1--swm--clarabel,swm,voltage_drop,model,2,1,1.63780596615197e-16,1.0e-6,pu²,true
open_flexible--p1--swm--clarabel,swm,branch_socp,model,2,1,0.0,1.0e-6,pu⁴,true
open_flexible--p1--swm--clarabel,swm,branch_equality,electric_original,2,1,2.7838765431385457e-7,1.0e-6,pu⁴,true
open_flexible--p1--swm--clarabel,swm,voltage,model,1,1,0.0,1.0e-6,pu²,true
open_flexible--p1--swm--clarabel,swm,electric_balance,model,1,1,1.1102230246251565e-16,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,reactive_balance,model,1,1,2.220446049250313e-16,3.0e-6,Mvar,true
open_flexible--p1--swm--clarabel,swm,mass_balance,heat,1,1,1.3010426069826053e-15,1.1e-5,kg/s,true
open_flexible--p1--swm--clarabel,swm,heat_balance,heat,1,1,7.178936264895519e-14,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,port_mass,heat,1,1,0.0,1.1e-5,kg/s,true
open_flexible--p1--swm--clarabel,swm,port_heat,heat,1,1,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,port_mass,heat,1,1,0.0,1.1e-5,kg/s,true
open_flexible--p1--swm--clarabel,swm,port_heat,heat,1,1,9.047535470267484e-15,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,voltage,model,2,1,0.0,1.0e-6,pu²,true
open_flexible--p1--swm--clarabel,swm,electric_balance,model,2,1,1.187700407467851e-7,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,reactive_balance,model,2,1,1.195897547656699e-12,3.0e-6,Mvar,true
open_flexible--p1--swm--clarabel,swm,mass_balance,heat,2,1,4.440892098500626e-16,1.1e-5,kg/s,true
open_flexible--p1--swm--clarabel,swm,heat_balance,heat,2,1,1.2843524910266524e-8,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,port_mass,heat,2,1,0.0,1.1e-5,kg/s,true
open_flexible--p1--swm--clarabel,swm,port_heat,heat,2,1,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,port_mass,heat,2,1,0.0,1.1e-5,kg/s,true
open_flexible--p1--swm--clarabel,swm,port_heat,heat,2,1,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,voltage,model,3,1,0.0,1.0e-6,pu²,true
open_flexible--p1--swm--clarabel,swm,electric_balance,model,3,1,1.3154758235489616e-7,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,reactive_balance,model,3,1,5.0266596440806666e-12,3.0e-6,Mvar,true
open_flexible--p1--swm--clarabel,swm,mass_balance,heat,3,1,4.440892098500626e-16,1.1e-5,kg/s,true
open_flexible--p1--swm--clarabel,swm,heat_balance,heat,3,1,1.2845052022036896e-8,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,port_mass,heat,3,1,0.0,1.1e-5,kg/s,true
open_flexible--p1--swm--clarabel,swm,port_heat,heat,3,1,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,port_mass,heat,3,1,0.0,1.1e-5,kg/s,true
open_flexible--p1--swm--clarabel,swm,port_heat,heat,3,1,0.0,3.0e-6,MW,true
open_flexible--p1--swm--clarabel,swm,R4-P4,heat,1,1,8.34193825127727e-14,3.0e-6,MW,true
