record_id,run_id,id,group,entity,t,residual,unit,tolerance,normalized,pass
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-24-R,heat,2,1,0.0,K,0.0001,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-18,heat,source,1,2.0816681711721685e-16,MW,2.0e-6,1.0408340855860843e-10,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,source-temperature,heat,source,1,0.0,K,0.0001,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-19,heat,building,1,6.938893903907228e-17,MW,2.0e-6,3.469446951953614e-11,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,heat-nonnegative,heat,building,1,0.0,MW,2.0e-6,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-31,electric,building,1,6.395319014218784e-17,MW,0.000101,6.331999023978994e-13,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,load-return,heat,building,1,0.0,K,0.0001,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,R5-D-building,comfort,building,1,0.0,K,0.0001,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,building-energy,comfort,building,1,6.938893903907228e-18,MWh,2.0e-6,3.469446951953614e-12,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-28,comfort,building,1,0.0,K,0.0001,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-25-26-S,heat,h12,1,0.0,K,0.0001,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,transport-weight-S,heat,h12,1,0.0,1,1.0e-6,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-25-26-R,heat,h12,1,0.0,K,0.0001,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,transport-weight-R,heat,h12,1,0.0,1,1.0e-6,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,R5-D-delivery,delivery,PCC,1,3.542534709374589e-15,MW,0.000101,3.507460108291672e-11,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-3-epigraph,delivery,PCC,1,3.6019625756629455e-15,MW,0.000101,3.5662995798643023e-11,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-3-exact,auxiliary,PCC,1,3.6019625756629455e-15,MW,0.000101,3.5662995798643023e-11,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,PCC-bound,electric,PCC,2,0.0,MW,0.000101,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,QCC-bound,electric,PCC,2,0.0,Mvar,0.000101,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-9-P,electric,EB,2,0.0,MW,0.000101,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-9-Q,electric,EB,2,5.321817309806539e-19,Mvar,0.000101,5.269126049313405e-15,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-9-P,electric,GT,2,0.0,MW,0.000101,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-9-Q,electric,GT,2,5.321817309806539e-19,Mvar,0.000101,5.269126049313405e-15,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-10,electric,GT,2,0.0,MW,0.000101,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-14,electric,1,2,3.197442310920451e-14,MW,0.000101,3.165784466257872e-10,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-15,electric,1,2,0.0,Mvar,0.000101,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-17,electric,1,2,0.0,pu,1.0e-6,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-14,electric,2,2,1.4215975414424136e-14,MW,0.000101,1.4075223182598154e-10,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-15,electric,2,2,1.734723475976807e-17,Mvar,0.000101,1.7175479960166406e-13,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,5-17,electric,2,2,0.0,pu,1.0e-6,0.0,true
market_no_call--clarabel,r5-dispatch-2ccba919-55a5-4a8f-8c32-d5a927778946,root-voltage,electric,1,2,0.0,pu,1.0e-6,0.0,true
