mode,run_id,device,time_h,commitment
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,10.5,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,10.75,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,11.0,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,11.25,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,11.5,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,11.75,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,12.0,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,12.25,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,12.5,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,12.75,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,13.0,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,13.25,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,13.5,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,13.75,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,14.0,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,14.25,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,14.5,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,14.75,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,15.0,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,15.25,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,15.5,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,15.75,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,16.0,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,16.25,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,16.5,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,16.75,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,17.0,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,17.25,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,17.5,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,17.75,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,18.0,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,18.25,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,18.5,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,18.75,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,19.0,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,19.25,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,19.5,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,19.75,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,20.0,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,20.25,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,20.5,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,20.75,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,21.0,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,21.25,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,21.5,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,21.75,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,22.0,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,22.25,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,22.5,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,22.75,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,23.0,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,23.25,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,23.5,1.0
economic,r9-preplan-cd0a1ca6-8bf7-4dbd-b5ff-5b9c9cbb5220-normal,CHP2,23.75,1.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,0.0,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,0.25,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,0.5,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,0.75,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,1.0,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,1.25,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,1.5,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,1.75,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,2.0,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,2.25,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,2.5,0.0
penalty,r9-preplan-b8b18020-b7af-437e-931c-a99e643fd825-normal,CHP1,2.75,0.0
