run_id,case,method,pattern,equation,scope,entity,t,residual,tolerance,unit,pass
open_flexible--distributed,open_flexible,distributed,10,R4-P2,model,3,1,5.986789478440717e-18,1.2e-6,MWh,true
open_flexible--distributed,open_flexible,distributed,10,devices,model,3,2,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,devices,model,3,2,4.9640578176201003e-17,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,devices,model,3,2,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,devices,model,3,2,8.829755032258399e-19,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,devices,model,3,2,4.795377080827578e-18,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,PV,model,3,2,3.989288473700025e-17,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,demand,model,3,2,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,dissatisfaction_epigraph,model,3,2,0.0,1.0e-6,MW²,true
open_flexible--distributed,open_flexible,distributed,10,demand,model,3,2,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,dissatisfaction_epigraph,model,3,2,0.0,1.0e-6,MW²,true
open_flexible--distributed,open_flexible,distributed,10,heat_conversion,model,3,2,2.7755575615628914e-17,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,R4-P2,model,3,2,9.231053244272668e-18,1.2e-6,MWh,true
open_flexible--distributed,open_flexible,distributed,10,devices,model,3,3,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,devices,model,3,3,4.5309717750549913e-17,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,devices,model,3,3,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,devices,model,3,3,1.5555784875752525e-18,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,devices,model,3,3,7.050085133846364e-18,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,PV,model,3,3,3.5975717998925996e-17,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,demand,model,3,3,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,dissatisfaction_epigraph,model,3,3,0.0,1.0e-6,MW²,true
open_flexible--distributed,open_flexible,distributed,10,demand,model,3,3,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,dissatisfaction_epigraph,model,3,3,0.0,1.0e-6,MW²,true
open_flexible--distributed,open_flexible,distributed,10,heat_conversion,model,3,3,4.163336342344337e-17,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,R4-P2,model,3,3,7.800570426277877e-18,1.2e-6,MWh,true
open_flexible--distributed,open_flexible,distributed,10,devices,model,3,4,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,devices,model,3,4,5.0712256384795174e-17,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,devices,model,3,4,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,devices,model,3,4,3.1755572450600532e-18,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,devices,model,3,4,8.557864488866577e-18,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,PV,model,3,4,3.348988440028366e-17,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,demand,model,3,4,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,dissatisfaction_epigraph,model,3,4,0.0,1.0e-6,MW²,true
open_flexible--distributed,open_flexible,distributed,10,demand,model,3,4,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,dissatisfaction_epigraph,model,3,4,0.0,1.0e-6,MW²,true
open_flexible--distributed,open_flexible,distributed,10,heat_conversion,model,3,4,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,R4-P2,model,3,4,5.1913876385445615e-18,1.2e-6,MWh,true
open_flexible--distributed,open_flexible,distributed,10,energy,model,3,1,5.9861897386405376e-18,1.2e-6,MWh,true
open_flexible--distributed,open_flexible,distributed,10,energy,model,3,2,2.280940667317121e-18,1.2e-6,MWh,true
open_flexible--distributed,open_flexible,distributed,10,energy,model,3,3,2.74117395678054e-18,1.2e-6,MWh,true
open_flexible--distributed,open_flexible,distributed,10,energy,model,3,4,1.6428025737078598e-18,1.2e-6,MWh,true
open_flexible--distributed,open_flexible,distributed,10,energy,model,3,5,5.190867579887869e-18,1.2e-6,MWh,true
open_flexible--distributed,open_flexible,distributed,10,initial,model,3,0,5.9861897386405376e-18,1.2e-6,MWh,true
open_flexible--distributed,open_flexible,distributed,10,terminal,model,3,4,5.190867579887869e-18,1.2e-6,MWh,true
open_flexible--distributed,open_flexible,distributed,10,grid,model,1,1,0.0,3.0e-6,MW,true
open_flexible--distributed,open_flexible,distributed,10,reactive_grid,model,1,1,0.0,3.0e-6,Mvar,true
