run_id,case,method,pattern,mode,status,raw_A1,model_A1,electric_original_A1,cost,central_cost,bound,gap,iterations,elapsed_sec
open_fixed--distributed,open_fixed,distributed,13,0011,consensus_converged,true,true,true,179.96865438198682,179.9683464111597,NaN,NaN,180,2.6510000228881836
open_fixed--distributed,open_fixed,distributed,14,1011,consensus_converged,true,true,true,179.72883129723488,179.72661769829176,NaN,NaN,180,2.8990001678466797
open_fixed--distributed,open_fixed,distributed,15,0111,consensus_converged,true,true,true,182.5918544195864,182.59183118926737,NaN,NaN,239,3.372999906539917
open_fixed--distributed,open_fixed,distributed,16,1111,consensus_converged,true,true,true,182.5929553189843,182.59183118898233,NaN,NaN,300,4.190000057220459
open_fixed--central_enumeration,open_fixed,central_enumeration,1,0000,solver_optimal,true,true,true,182.5918311850308,182.5918311850308,182.5918311538299,1.8408114046382133e-10,0,0.013000011444091797
open_fixed--central_enumeration,open_fixed,central_enumeration,2,1000,solver_optimal,true,true,true,181.00494869079338,181.00494869079338,181.0049486042019,5.170048668326958e-10,0,0.010999917984008789
open_fixed--central_enumeration,open_fixed,central_enumeration,3,0100,solver_optimal,true,true,true,182.5918311905128,182.5918311905128,182.5918311835541,4.174598088990114e-11,0,0.011999845504760742
open_fixed--central_enumeration,open_fixed,central_enumeration,4,1100,solver_optimal,true,true,true,182.59183118927353,182.59183118927353,182.59183117523912,8.264939006083119e-11,0,0.013000011444091797
open_fixed--central_enumeration,open_fixed,central_enumeration,5,0010,solver_optimal,true,true,true,181.90103368593674,181.90103368593674,181.90103361737908,4.051156503322623e-10,0,0.013000011444091797
open_fixed--central_enumeration,open_fixed,central_enumeration,6,1010,solver_optimal,true,true,true,180.93046795964213,180.93046795964213,180.93046791055207,2.925155460037864e-10,0,0.013000011444091797
open_fixed--central_enumeration,open_fixed,central_enumeration,7,0110,solver_optimal,true,true,true,182.59183118980224,182.59183118980224,182.59183117885573,6.494791241481965e-11,0,0.011999845504760742
open_fixed--central_enumeration,open_fixed,central_enumeration,8,1110,solver_optimal,true,true,true,182.59183118943218,182.59183118943218,182.5918311765678,7.573214553160505e-11,0,0.010999917984008789
open_fixed--central_enumeration,open_fixed,central_enumeration,9,0001,solver_optimal,true,true,true,180.00466254756975,180.00466254756975,180.00466251036627,2.2118464529988486e-10,0,0.013000011444091797
open_fixed--central_enumeration,open_fixed,central_enumeration,10,1001,solver_optimal,true,true,true,179.72661771492213,179.72661771492213,179.7266176771255,2.255848212081213e-10,0,0.012000083923339844
open_fixed--central_enumeration,open_fixed,central_enumeration,11,0101,solver_optimal,true,true,true,182.59183118871377,182.59183118871377,182.59183117160785,1.0063509751653118e-10,0,0.01100015640258789
open_fixed--central_enumeration,open_fixed,central_enumeration,12,1101,solver_optimal,true,true,true,182.59183118741458,182.59183118741458,182.5918311646422,1.3394851230268054e-10,0,0.013000011444091797
open_fixed--central_enumeration,open_fixed,central_enumeration,13,0011,solver_optimal,true,true,true,179.9683464111597,179.9683464111597,179.9683464024651,5.1921540745624123e-11,0,0.014000177383422852
open_fixed--central_enumeration,open_fixed,central_enumeration,14,1011,solver_optimal,true,true,true,179.72661769829176,179.72661769829176,179.72661758627012,6.687196013135401e-10,0,0.013000011444091797
open_fixed--central_enumeration,open_fixed,central_enumeration,15,0111,solver_optimal,true,true,true,182.59183118926737,182.59183118926737,182.59183117691026,7.393850911516455e-11,0,0.010999917984008789
open_fixed--central_enumeration,open_fixed,central_enumeration,16,1111,solver_optimal,true,true,true,182.59183118898233,182.59183118898233,182.59183117472426,8.370894773577449e-11,0,0.010999917984008789
import_flexible--distributed,import_flexible,distributed,1,0000,iteration_limit,false,false,false,197.6521350801272,197.6511992240641,NaN,NaN,1000,13.419999837875366
import_flexible--distributed,import_flexible,distributed,2,1000,consensus_converged,true,true,true,197.61835819926563,197.6143043409433,NaN,NaN,67,0.8359999656677246
import_flexible--distributed,import_flexible,distributed,3,0100,consensus_converged,true,true,true,197.65277339609503,197.65119920919108,NaN,NaN,133,1.7119998931884766
import_flexible--distributed,import_flexible,distributed,4,1100,consensus_converged,true,true,true,197.65245038233707,197.65119921034278,NaN,NaN,232,3.190999984741211
import_flexible--distributed,import_flexible,distributed,5,0010,consensus_converged,true,true,true,191.79413861473103,191.79273230880648,NaN,NaN,111,1.4099998474121094
import_flexible--distributed,import_flexible,distributed,6,1010,consensus_converged,true,true,true,191.80101578919067,191.80010240445927,NaN,NaN,956,12.615999937057495
import_flexible--distributed,import_flexible,distributed,7,0110,consensus_converged,true,true,true,192.5870139679227,192.58570637342262,NaN,NaN,592,8.073999881744385
