run_id,case,method,pattern,actor,t,CHP_MW,PV_MW,HP_MW,EB_MW,charge_MW,discharge_MW,electric_load_MW,heat_load_MW,energy_MWh
open_fixed--central_enumeration,open_fixed,central_enumeration,14,2,3,-1.130452360458238e-13,0.4500000000125016,0.07216311276886239,-1.2571338174834946e-11,6.832807090904084e-12,-1.5076215811996462e-13,0.20000000000047827,0.10000000000032572,0.005000383941549267
open_fixed--central_enumeration,open_fixed,central_enumeration,14,2,4,-1.4593154564226683e-13,0.09000000001103745,0.10000000000317125,-9.082055983068621e-12,0.09999959583766234,-5.720572484427348e-12,0.20000000000055793,0.10000000000025196,0.005000383948199129
open_fixed--central_enumeration,open_fixed,central_enumeration,14,3,1,0.0014999999934442072,1.2627514798931794e-11,5.581230504658165e-12,-4.51973691090149e-12,1.1932317803178843e-13,-5.8762306504504066e-12,0.2500000000007451,0.20000000000073337,-4.921849345430496e-14
open_fixed--central_enumeration,open_fixed,central_enumeration,14,3,2,0.1500000000055816,1.4640993542171218e-11,-4.995474792568911e-14,-1.2567468413904136e-11,-8.025642073226075e-12,2.2812212732612068e-12,0.3000000000007491,0.25000000000090694,6.197835533040233e-12
open_fixed--central_enumeration,open_fixed,central_enumeration,14,3,3,0.07109221810091074,1.3651881368325873e-11,-4.087978980277653e-14,-1.104778111545085e-11,-3.53760306016252e-12,-3.1479708398036306e-12,0.2500000000006766,0.2000000000007923,-3.902042064849425e-12
open_fixed--central_enumeration,open_fixed,central_enumeration,14,3,4,0.0014999999934282415,1.263204595783556e-11,5.5796375663414054e-12,-4.515491354704284e-12,-1.100195270182916e-12,-4.893988410145251e-12,0.250000000000745,0.2000000000007334,-4.012333553166018e-12
open_fixed--central_misocp,open_fixed,central_misocp,0,1,1,0.0014998851962484943,0.0,0.0,1.4891869837691211e-7,0.0,0.0,0.0,0.0,0.0
open_fixed--central_misocp,open_fixed,central_misocp,0,1,2,0.06783168512719294,0.0,0.0,1.429591878899894e-9,0.0,0.0,0.0,0.0,0.0
open_fixed--central_misocp,open_fixed,central_misocp,0,1,3,0.0015000006186397794,0.0,0.0,3.333566673564235e-9,0.0,0.0,0.0,0.0,0.0
open_fixed--central_misocp,open_fixed,central_misocp,0,1,4,0.001499885207117908,0.0,0.0,1.4876849688538218e-7,0.0,0.0,0.0,0.0,0.0
open_fixed--central_misocp,open_fixed,central_misocp,0,2,1,0.0,0.0,0.09999999815832097,0.0,0.012270270810513286,0.0,0.2,0.1,0.1
open_fixed--central_misocp,open_fixed,central_misocp,0,2,2,0.0,0.2699999989167683,0.037400659635823987,0.0,0.0,0.09999999566634753,0.25,0.12,0.11165675726998762
