owner,id,run_id,status,model_pass,kkt_pass,cost_complete,comfort_outcome,peak_excess_K,net_cost_CNY,called_energy_MWh,mismatch_MWh,trained_label,day_ahead_cost_CNY,device_cost_CNY,real_time_settlement_CNY,delivery_penalty_CNY,physical_max_normalized,lp_kkt_max_normalized,lp_gap_normalized,elapsed_sec,budget_overrun_sec
3B,test_000324,r9-day-b72a410f-825c-462e-afd9-d032f723c277,solver_optimal,true,true,true,pass,0.0,387765.73184405087,1.0651708037303304e-12,8.453029067849476e-14,0,292050.3464153371,95715.38542871331,2.2096457996667596e-10,1.6906058135698952e-10,1.0527401173021644e-6,1.415566677473336e-5,2.949443855508186e-10,1.4520001411437988,0.0
3B,test_000325,r9-day-f74b59d8-d463-4119-9b89-2c4fa6911c91,solver_optimal,true,true,true,pass,0.0,384648.7345179334,1.148697333202155e-12,1.0453581654544107e-13,0,292050.3464153371,92598.38810259635,-2.964625878121296e-10,2.0907163309088214e-10,1.000444171950221e-7,1.341352212373184e-6,1.0057654282098335e-10,1.5109999179840088,0.0
3B,test_000326,r9-day-fbeb7aef-4f6f-4e8b-8946-3331202ada3b,solver_optimal,true,true,true,pass,0.0,384194.0547469629,1.3760792770322003e-12,5.77572990086146e-14,0,292050.3464153371,92143.70833162517,5.279872539176722e-10,1.155145980172292e-10,9.72022462519817e-8,1.3023720831068268e-6,3.790231278991575e-11,1.434999942779541,0.0
3B,test_000327,r9-day-758bb10c-c031-474b-b65b-5c6d3a26823a,solver_optimal,true,true,true,pass,0.0,385101.4417254103,1.1919768149456165e-12,4.664512950598517e-14,0,292050.3464153371,93051.09531007335,-3.1571261160934226e-10,9.329025901197033e-11,3.097966327914037e-7,4.163676823686982e-6,1.4074765763785933e-10,1.5980000495910645,0.0
3B,test_000328,r9-day-3caf900c-8243-4ced-8103-32454aac043c,solver_optimal,true,true,true,pass,0.0,385547.7733969769,1.159293877208796e-12,4.8719305987328444e-14,0,292050.3464153371,93497.42698163952,8.91461127139337e-11,9.743861197465688e-11,6.532445695484057e-6,8.778981783744288e-5,8.88702915538966e-10,1.4869999885559082,0.0
3B,test_000329,r9-day-737e9471-e008-453d-8cc7-f93200ed8616,solver_optimal,true,true,true,pass,0.0,388130.06303299556,1.0243978487311644e-12,1.012249164922847e-13,0,292050.3464153371,96079.7166176579,3.308826990178204e-10,2.0244983298456942e-10,5.725269147660583e-6,7.696249687806872e-5,2.426336069309265e-9,1.503999948501587,0.0
3B,test_000330,r9-day-219effa1-7e7f-4ca0-819b-f1db71b6945b,solver_optimal,true,true,true,pass,0.0,386293.6617981597,1.200694005194007e-12,6.837550679396324e-14,0,292050.3464153371,94243.31538282264,-1.5883898640822737e-10,1.3675101358792648e-10,5.826450433232822e-7,7.828802987820046e-6,4.0454877614874634e-10,1.6520001888275146,0.0
3B,test_000331,r9-day-5d3dbd52-9e5b-4ac6-a5bd-1783ea2d6cc6,solver_optimal,true,true,true,pass,0.0,384999.79256604466,1.0407576150612916e-12,8.443407328192246e-14,0,292050.3464153371,92949.44615070723,9.626859309719294e-11,1.688681465638449e-10,3.013269633811433e-6,4.050360613612893e-5,5.761308997318801e-10,1.7059998512268066,0.0
3B,test_000332,r9-day-861f24b8-ddd6-4ffc-b496-993578894b66,solver_optimal,true,true,true,pass,0.0,384588.2779488853,1.1766608992956043e-12,5.986771661482125e-14,0,292050.3464153371,92537.93153354815,-1.1664269550237805e-10,1.197354332296425e-10,1.7621459846850485e-7,2.373927421087034e-6,1.603985877677969e-10,1.6759998798370361,0.0
3B,test_000333,r9-day-a8a3ce17-cedc-4713-80b5-7f78552ee2b4,solver_optimal,true,true,true,pass,0.0,384472.65041854774,1.1607484202065645e-12,6.04133602511052e-14,0,292050.3464153371,92422.30400321049,-2.5920599000528387e-12,1.208267205022104e-10,2.575006874394603e-7,3.4594341065974633e-6,3.5426307120288713e-10,1.559999942779541,0.0
