coordinate,free_column,numerator,denominator,approximate
35,1,0,1,0.0
35,2,0,1,0.0
35,25,0,1,0.0
35,26,0,1,0.0
35,27,0,1,0.0
35,28,0,1,0.0
35,29,0,1,0.0
35,30,0,1,0.0
35,31,0,1,0.0
35,32,0,1,0.0
35,33,0,1,0.0
35,34,0,1,0.0
35,35,1,1,1.0
35,36,0,1,0.0
35,37,0,1,0.0
35,38,0,1,0.0
36,1,0,1,0.0
36,2,0,1,0.0
36,25,0,1,0.0
36,26,0,1,0.0
36,27,0,1,0.0
36,28,0,1,0.0
36,29,0,1,0.0
36,30,0,1,0.0
36,31,0,1,0.0
36,32,0,1,0.0
36,33,0,1,0.0
36,34,0,1,0.0
36,35,0,1,0.0
36,36,1,1,1.0
36,37,0,1,0.0
36,38,0,1,0.0
37,1,0,1,0.0
37,2,0,1,0.0
37,25,0,1,0.0
37,26,0,1,0.0
37,27,0,1,0.0
37,28,0,1,0.0
37,29,0,1,0.0
37,30,0,1,0.0
37,31,0,1,0.0
37,32,0,1,0.0
37,33,0,1,0.0
37,34,0,1,0.0
37,35,0,1,0.0
37,36,0,1,0.0
37,37,1,1,1.0
37,38,0,1,0.0
38,1,0,1,0.0
38,2,0,1,0.0
38,25,0,1,0.0
38,26,0,1,0.0
38,27,0,1,0.0
38,28,0,1,0.0
38,29,0,1,0.0
38,30,0,1,0.0
38,31,0,1,0.0
38,32,0,1,0.0
38,33,0,1,0.0
38,34,0,1,0.0
38,35,0,1,0.0
38,36,0,1,0.0
38,37,0,1,0.0
38,38,1,1,1.0
39,1,0,1,0.0
39,2,0,1,0.0
39,25,0,1,0.0
39,26,0,1,0.0
39,27,0,1,0.0
39,28,0,1,0.0
39,29,0,1,0.0
39,30,0,1,0.0
39,31,0,1,0.0
39,32,0,1,0.0
39,33,0,1,0.0
39,34,0,1,0.0
39,35,0,1,0.0
39,36,0,1,0.0
39,37,0,1,0.0
39,38,0,1,0.0
40,1,0,1,0.0
40,2,0,1,0.0
40,25,0,1,0.0
40,26,0,1,0.0
40,27,0,1,0.0
40,28,0,1,0.0
40,29,0,1,0.0
40,30,0,1,0.0
40,31,0,1,0.0
40,32,0,1,0.0
40,33,0,1,0.0
40,34,0,1,0.0
40,35,0,1,0.0
40,36,0,1,0.0
40,37,0,1,0.0
40,38,0,1,0.0
41,1,0,1,0.0
41,2,0,1,0.0
41,25,0,1,0.0
41,26,0,1,0.0
41,27,0,1,0.0
41,28,0,1,0.0
41,29,0,1,0.0
41,30,0,1,0.0
41,31,0,1,0.0
41,32,0,1,0.0
