equation,scope,entity,t,residual,unit,tolerance,pass
3-29:32,model,1,1,0.0,1,1.0e-6,true
3-23,model,1,2,0.0,kg/s,4.0e-6,true
3-27,model,1,2,2.5202062658991053e-14,kg/s,4.0e-6,true
3-30,model,1,2,2.4424906541753444e-14,kg/s,4.0e-6,true
3-32,model,1,2,0.0,1,1.0e-6,true
3-28,model,1,2,5.064001867141359e-13,1,1.0e-6,true
3-29:32,model,1,2,0.0,1,1.0e-6,true
3-31,model,1,2,3.8824690886434287e-13,1,1.0e-6,true
3-29:32,model,1,2,0.0,1,1.0e-6,true
3-23,model,1,3,0.0,kg/s,4.0e-6,true
3-27,model,1,3,2.5938695635829845e-12,kg/s,4.0e-6,true
3-30,model,1,3,2.5939250747342157e-12,kg/s,4.0e-6,true
3-32,model,1,3,0.0,1,1.0e-6,true
3-28,model,1,3,4.349510008918478e-13,1,1.0e-6,true
3-29:32,model,1,3,0.0,1,1.0e-6,true
3-31,model,1,3,2.755162655569995e-13,1,1.0e-6,true
3-29:32,model,1,3,0.0,1,1.0e-6,true
3-23,model,1,4,0.0,kg/s,4.0e-6,true
3-27,model,1,4,1.0098183400586436e-10,kg/s,4.0e-6,true
3-30,model,1,4,1.0098177849471313e-10,kg/s,4.0e-6,true
3-32,model,1,4,0.0,1,1.0e-6,true
3-28,model,1,4,3.5520214373996646e-13,1,1.0e-6,true
3-29:32,model,1,4,0.0,1,1.0e-6,true
3-31,model,1,4,3.4742585953667736e-13,1,1.0e-6,true
3-29:32,model,1,4,0.0,1,1.0e-6,true
3-39:40,model,S1,1,0.0,K,0.0001,true
3-41,model,1,1,0.0,K,0.0001,true
3-41,model,1,1,0.0,K,0.0001,true
3-23-kappa,model,1,1,0.0,kPa,0.001,true
3-22,model,S1,1,0.0,normalized,1.0e-6,true
3-26,model,S1,1,0.0,normalized,1.0e-6,true
3-25,physics,S1,1,0.2249827650360597,normalized,1.0e-6,false
WMM-replay,physics,S1,1,2.9198986339906696e-8,K,0.0001,true
3-33:34,model,S1,1,2.9198986339906696e-8,K,0.0001,true
3-39:40,model,S1,2,0.0,K,0.0001,true
3-41,model,1,2,0.0,K,0.0001,true
3-41,model,1,2,0.0,K,0.0001,true
3-23-kappa,model,1,2,0.0,kPa,0.001,true
3-22,model,S1,2,0.0,normalized,1.0e-6,true
3-26,model,S1,2,0.0,normalized,1.0e-6,true
3-25,physics,S1,2,0.2249634479352778,normalized,1.0e-6,false
WMM-replay,physics,S1,2,5.03632691106759e-11,K,0.0001,true
3-33:34,model,S1,2,5.03632691106759e-11,K,0.0001,true
3-39:40,model,S1,3,0.0,K,0.0001,true
3-41,model,1,3,0.0,K,0.0001,true
3-41,model,1,3,0.0,K,0.0001,true
3-23-kappa,model,1,3,0.0,kPa,0.001,true
3-22,model,S1,3,0.0,normalized,1.0e-6,true
3-26,model,S1,3,0.0,normalized,1.0e-6,true
3-25,physics,S1,3,0.2252839794032473,normalized,1.0e-6,false
WMM-replay,physics,S1,3,3.688057859108085e-9,K,0.0001,true
3-33:34,model,S1,3,3.688057859108085e-9,K,0.0001,true
3-39:40,model,S1,4,0.0,K,0.0001,true
3-41,model,1,4,0.0,K,0.0001,true
3-41,model,1,4,0.0,K,0.0001,true
3-23-kappa,model,1,4,0.0,kPa,0.001,true
3-22,model,S1,4,0.0,normalized,1.0e-6,true
3-26,model,S1,4,0.0,normalized,1.0e-6,true
3-25,physics,S1,4,0.2253987443369113,normalized,1.0e-6,false
WMM-replay,physics,S1,4,1.533370550532709e-7,K,0.0001,true
3-33:34,model,S1,4,1.533370550532709e-7,K,0.0001,true
3-39:40,model,R1,1,0.0,K,0.0001,true
3-41,model,1,1,0.0,K,0.0001,true
3-41,model,1,1,0.0,K,0.0001,true
3-23-kappa,model,1,1,0.0,kPa,0.001,true
3-22,model,R1,1,0.0,normalized,1.0e-6,true
3-26,model,R1,1,0.0,normalized,1.0e-6,true
3-25,physics,R1,1,0.22498276503615697,normalized,1.0e-6,false
WMM-replay,physics,R1,1,2.6547638753982028e-8,K,0.0001,true
3-33:34,model,R1,1,2.6547638753982028e-8,K,0.0001,true
3-39:40,model,R1,2,0.0,K,0.0001,true
3-41,model,1,2,0.0,K,0.0001,true
3-41,model,1,2,0.0,K,0.0001,true
3-23-kappa,model,1,2,0.0,kPa,0.001,true
3-22,model,R1,2,0.0,normalized,1.0e-6,true
3-26,model,R1,2,0.0,normalized,1.0e-6,true
3-25,physics,R1,2,0.22496344793420106,normalized,1.0e-6,false
WMM-replay,physics,R1,2,2.5636381906224415e-11,K,0.0001,true
3-33:34,model,R1,2,2.5636381906224415e-11,K,0.0001,true
3-39:40,model,R1,3,0.0,K,0.0001,true
3-41,model,1,3,0.0,K,0.0001,true
3-41,model,1,3,0.0,K,0.0001,true
3-23-kappa,model,1,3,0.0,kPa,0.001,true
3-22,model,R1,3,0.0,normalized,1.0e-6,true
3-26,model,R1,3,0.0,normalized,1.0e-6,true
3-25,physics,R1,3,0.22528397940324169,normalized,1.0e-6,false
WMM-replay,physics,R1,3,3.2122784432431217e-9,K,0.0001,true
3-33:34,model,R1,3,3.2122784432431217e-9,K,0.0001,true
3-39:40,model,R1,4,0.0,K,0.0001,true
3-41,model,1,4,0.0,K,0.0001,true
3-41,model,1,4,0.0,K,0.0001,true
3-23-kappa,model,1,4,0.0,kPa,0.001,true
3-22,model,R1,4,0.0,normalized,1.0e-6,true
3-26,model,R1,4,0.0,normalized,1.0e-6,true
3-25,physics,R1,4,0.225398744336912,normalized,1.0e-6,false
WMM-replay,physics,R1,4,1.3217294281275827e-7,K,0.0001,true
3-33:34,model,R1,4,1.3217294281275827e-7,K,0.0001,true
3-23,model,2,1,0.0,kg/s,4.0e-6,true
3-27,model,2,1,3.2751579226442118e-15,kg/s,4.0e-6,true
3-30,model,2,1,0.0,kg/s,4.0e-6,true
3-32,model,2,1,0.0,1,1.0e-6,true
3-28,model,2,1,0.0,1,1.0e-6,true
3-29:32,model,2,1,0.0,1,1.0e-6,true
3-31,model,2,1,0.0,1,1.0e-6,true
3-29:32,model,2,1,0.0,1,1.0e-6,true
3-23,model,2,2,0.0,kg/s,4.0e-6,true
3-27,model,2,2,1.1102230246251565e-16,kg/s,4.0e-6,true
3-30,model,2,2,0.0,kg/s,4.0e-6,true
3-32,model,2,2,0.0,1,1.0e-6,true
3-28,model,2,2,0.0,1,1.0e-6,true
3-29:32,model,2,2,0.0,1,1.0e-6,true
3-31,model,2,2,0.0,1,1.0e-6,true
3-29:32,model,2,2,0.0,1,1.0e-6,true
3-23,model,2,3,0.0,kg/s,4.0e-6,true
3-27,model,2,3,1.1102230246251565e-16,kg/s,4.0e-6,true
3-30,model,2,3,1.1102230246251565e-16,kg/s,4.0e-6,true
3-32,model,2,3,0.0,1,1.0e-6,true
3-28,model,2,3,0.0,1,1.0e-6,true
3-29:32,model,2,3,0.0,1,1.0e-6,true
3-31,model,2,3,0.0,1,1.0e-6,true
3-29:32,model,2,3,0.0,1,1.0e-6,true
3-23,model,2,4,0.0,kg/s,4.0e-6,true
3-27,model,2,4,0.0,kg/s,4.0e-6,true
3-30,model,2,4,0.0,kg/s,4.0e-6,true
