equation,scope,entity,t,residual,unit,tolerance,pass
3-39:40,model,R2,13,0.0,K,0.0001,true
3-41,model,2,13,0.0,K,0.0001,true
3-41,model,2,13,0.0,K,0.0001,true
3-23-kappa,model,2,13,0.0,kPa,0.005199261864978687,true
3-22,model,R2,13,0.0,normalized,1.0e-6,true
3-26,model,R2,13,0.0,normalized,1.0e-6,true
3-25,physics,R2,13,0.0,normalized,1.0e-6,true
WMM-replay,physics,R2,13,5.684341886080802e-14,K,0.0001,true
3-33:34,model,R2,13,5.684341886080802e-14,K,0.0001,true
3-39:40,model,R2,14,0.0,K,0.0001,true
3-41,model,2,14,0.0,K,0.0001,true
3-41,model,2,14,0.0,K,0.0001,true
3-23-kappa,model,2,14,0.0,kPa,0.005199261864978687,true
3-22,model,R2,14,0.0,normalized,1.0e-6,true
3-26,model,R2,14,0.0,normalized,1.0e-6,true
3-25,physics,R2,14,0.0,normalized,1.0e-6,true
WMM-replay,physics,R2,14,0.0,K,0.0001,true
3-33:34,model,R2,14,0.0,K,0.0001,true
3-39:40,model,R2,15,0.0,K,0.0001,true
3-41,model,2,15,0.0,K,0.0001,true
3-41,model,2,15,0.0,K,0.0001,true
3-23-kappa,model,2,15,0.0,kPa,0.005199261864978687,true
3-22,model,R2,15,0.0,normalized,1.0e-6,true
3-26,model,R2,15,0.0,normalized,1.0e-6,true
3-25,physics,R2,15,0.0,normalized,1.0e-6,true
WMM-replay,physics,R2,15,1.1368683772161603e-13,K,0.0001,true
3-33:34,model,R2,15,1.1368683772161603e-13,K,0.0001,true
3-39:40,model,R2,16,1.4779288903810084e-12,K,0.0001,true
3-41,model,2,16,0.0,K,0.0001,true
3-41,model,2,16,0.0,K,0.0001,true
3-23-kappa,model,2,16,0.0,kPa,0.005199261864978687,true
3-22,model,R2,16,0.0,normalized,1.0e-6,true
3-26,model,R2,16,0.0,normalized,1.0e-6,true
3-25,physics,R2,16,0.0,normalized,1.0e-6,true
WMM-replay,physics,R2,16,2.2737367544323206e-13,K,0.0001,true
3-33:34,model,R2,16,2.2737367544323206e-13,K,0.0001,true
3-39:40,model,R2,17,1.2107648217352107e-11,K,0.0001,true
3-41,model,2,17,0.0,K,0.0001,true
3-41,model,2,17,0.0,K,0.0001,true
3-23-kappa,model,2,17,0.0,kPa,0.005199261864978687,true
3-22,model,R2,17,0.0,normalized,1.0e-6,true
3-26,model,R2,17,0.0,normalized,1.0e-6,true
3-25,physics,R2,17,0.0,normalized,1.0e-6,true
WMM-replay,physics,R2,17,3.319655661471188e-11,K,0.0001,true
3-33:34,model,R2,17,3.319655661471188e-11,K,0.0001,true
3-39:40,model,R2,18,9.379164112033322e-12,K,0.0001,true
3-41,model,2,18,0.0,K,0.0001,true
3-41,model,2,18,0.0,K,0.0001,true
3-23-kappa,model,2,18,0.0,kPa,0.005199261864978687,true
3-22,model,R2,18,0.0,normalized,1.0e-6,true
3-26,model,R2,18,0.0,normalized,1.0e-6,true
3-25,physics,R2,18,0.0,normalized,1.0e-6,true
WMM-replay,physics,R2,18,6.053824108676054e-11,K,0.0001,true
3-33:34,model,R2,18,6.053824108676054e-11,K,0.0001,true
