method,side,edge,from,to,t,on,action,initial
equipment-fixed-central-socp,electric,12,12,25,11,1.0,0.0,1
equipment-fixed-central-socp,electric,12,12,25,12,1.0,0.0,1
equipment-fixed-central-socp,electric,12,12,25,13,1.0,0.0,1
equipment-fixed-central-socp,electric,12,12,25,14,1.0,0.0,1
equipment-fixed-central-socp,electric,12,12,25,15,1.0,0.0,1
equipment-fixed-central-socp,electric,12,12,25,16,1.0,0.0,1
equipment-fixed-central-socp,electric,12,12,25,17,1.0,0.0,1
equipment-fixed-central-socp,electric,12,12,25,18,1.0,0.0,1
equipment-fixed-central-socp,electric,12,12,25,19,1.0,0.0,1
equipment-fixed-central-socp,electric,12,12,25,20,1.0,0.0,1
equipment-fixed-central-socp,electric,12,12,25,21,1.0,0.0,1
equipment-fixed-central-socp,electric,12,12,25,22,1.0,0.0,1
equipment-fixed-central-socp,electric,12,12,25,23,1.0,0.0,1
equipment-fixed-central-socp,electric,12,12,25,24,1.0,0.0,1
equipment-fixed-central-socp,electric,13,12,10,1,1.0,0.0,1
equipment-fixed-central-socp,electric,13,12,10,2,1.0,0.0,1
equipment-fixed-central-socp,electric,13,12,10,3,1.0,0.0,1
equipment-fixed-central-socp,electric,13,12,10,4,1.0,0.0,1
equipment-fixed-central-socp,electric,13,12,10,5,1.0,0.0,1
equipment-fixed-central-socp,electric,13,12,10,6,1.0,0.0,1
equipment-fixed-central-socp,electric,13,12,10,7,1.0,0.0,1
equipment-fixed-central-socp,electric,13,12,10,8,1.0,0.0,1
equipment-fixed-central-socp,electric,13,12,10,9,1.0,0.0,1
equipment-fixed-central-socp,electric,13,12,10,10,1.0,0.0,1
equipment-fixed-central-socp,electric,13,12,10,11,1.0,0.0,1
equipment-fixed-central-socp,electric,13,12,10,12,1.0,0.0,1
equipment-fixed-central-socp,electric,13,12,10,13,1.0,0.0,1
equipment-fixed-central-socp,electric,13,12,10,14,1.0,0.0,1
equipment-fixed-central-socp,electric,13,12,10,15,1.0,0.0,1
equipment-fixed-central-socp,electric,13,12,10,16,1.0,0.0,1
equipment-fixed-central-socp,electric,13,12,10,17,1.0,0.0,1
equipment-fixed-central-socp,electric,13,12,10,18,1.0,0.0,1
equipment-fixed-central-socp,electric,13,12,10,19,1.0,0.0,1
equipment-fixed-central-socp,electric,13,12,10,20,1.0,0.0,1
equipment-fixed-central-socp,electric,13,12,10,21,1.0,0.0,1
equipment-fixed-central-socp,electric,13,12,10,22,1.0,0.0,1
equipment-fixed-central-socp,electric,13,12,10,23,1.0,0.0,1
equipment-fixed-central-socp,electric,13,12,10,24,1.0,0.0,1
equipment-fixed-central-socp,electric,14,10,11,1,1.0,0.0,1
equipment-fixed-central-socp,electric,14,10,11,2,1.0,0.0,1
equipment-fixed-central-socp,electric,14,10,11,3,1.0,0.0,1
equipment-fixed-central-socp,electric,14,10,11,4,1.0,0.0,1
equipment-fixed-central-socp,electric,14,10,11,5,1.0,0.0,1
equipment-fixed-central-socp,electric,14,10,11,6,1.0,0.0,1
equipment-fixed-central-socp,electric,14,10,11,7,1.0,0.0,1
equipment-fixed-central-socp,electric,14,10,11,8,1.0,0.0,1
equipment-fixed-central-socp,electric,14,10,11,9,1.0,0.0,1
equipment-fixed-central-socp,electric,14,10,11,10,1.0,0.0,1
equipment-fixed-central-socp,electric,14,10,11,11,1.0,0.0,1
equipment-fixed-central-socp,electric,14,10,11,12,1.0,0.0,1
equipment-fixed-central-socp,electric,14,10,11,13,1.0,0.0,1
equipment-fixed-central-socp,electric,14,10,11,14,1.0,0.0,1
equipment-fixed-central-socp,electric,14,10,11,15,1.0,0.0,1
equipment-fixed-central-socp,electric,14,10,11,16,1.0,0.0,1
equipment-fixed-central-socp,electric,14,10,11,17,1.0,0.0,1
equipment-fixed-central-socp,electric,14,10,11,18,1.0,0.0,1
equipment-fixed-central-socp,electric,14,10,11,19,1.0,0.0,1
equipment-fixed-central-socp,electric,14,10,11,20,1.0,0.0,1
equipment-fixed-central-socp,electric,14,10,11,21,1.0,0.0,1
equipment-fixed-central-socp,electric,14,10,11,22,1.0,0.0,1
equipment-fixed-central-socp,electric,14,10,11,23,1.0,0.0,1
equipment-fixed-central-socp,electric,14,10,11,24,1.0,0.0,1
equipment-fixed-central-socp,electric,15,1,13,1,1.0,0.0,1
