candidate,method,day_id,run_id,t,time_end_h,dt_h,trained_label,representative,device,kind,P_MW,Q_Mvar
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,2,2.0,1.0,0,training_mean_zero_call,PV,PV,0.0,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,3,3.0,1.0,0,training_mean_zero_call,EB,EB,0.025953838872831474,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,3,3.0,1.0,0,training_mean_zero_call,GT,GT,0.0,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,3,3.0,1.0,0,training_mean_zero_call,CHP,CHP,0.0,0.03
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,3,3.0,1.0,0,training_mean_zero_call,PV,PV,0.0,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,4,4.0,1.0,0,training_mean_zero_call,EB,EB,0.044801997633350125,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,4,4.0,1.0,0,training_mean_zero_call,GT,GT,0.0,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,4,4.0,1.0,0,training_mean_zero_call,CHP,CHP,0.0,0.03
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,4,4.0,1.0,0,training_mean_zero_call,PV,PV,0.0,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,5,5.0,1.0,0,training_mean_zero_call,EB,EB,0.04122770571849457,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,5,5.0,1.0,0,training_mean_zero_call,GT,GT,0.0,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,5,5.0,1.0,0,training_mean_zero_call,CHP,CHP,0.0,0.03
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,5,5.0,1.0,0,training_mean_zero_call,PV,PV,0.0,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,6,6.0,1.0,0,training_mean_zero_call,EB,EB,0.044801997633350125,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,6,6.0,1.0,0,training_mean_zero_call,GT,GT,0.0,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,6,6.0,1.0,0,training_mean_zero_call,CHP,CHP,0.0,0.03
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,6,6.0,1.0,0,training_mean_zero_call,PV,PV,0.0,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,7,7.0,1.0,0,training_mean_zero_call,EB,EB,0.0,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,7,7.0,1.0,0,training_mean_zero_call,GT,GT,0.0,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,7,7.0,1.0,0,training_mean_zero_call,CHP,CHP,0.0,0.03
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,7,7.0,1.0,0,training_mean_zero_call,PV,PV,0.0,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,8,8.0,1.0,0,training_mean_zero_call,EB,EB,0.010000000000000009,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,8,8.0,1.0,0,training_mean_zero_call,GT,GT,0.0,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,8,8.0,1.0,0,training_mean_zero_call,CHP,CHP,0.0,0.03
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,8,8.0,1.0,0,training_mean_zero_call,PV,PV,0.0,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,9,9.0,1.0,0,training_mean_zero_call,EB,EB,0.0,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,9,9.0,1.0,0,training_mean_zero_call,GT,GT,0.0,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,9,9.0,1.0,0,training_mean_zero_call,CHP,CHP,0.0,0.03
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,9,9.0,1.0,0,training_mean_zero_call,PV,PV,0.0,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,10,10.0,1.0,0,training_mean_zero_call,EB,EB,0.03,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,10,10.0,1.0,0,training_mean_zero_call,GT,GT,0.0,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,10,10.0,1.0,0,training_mean_zero_call,CHP,CHP,0.0,0.03
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,10,10.0,1.0,0,training_mean_zero_call,PV,PV,0.0,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,11,11.0,1.0,0,training_mean_zero_call,EB,EB,0.0015789473684220678,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,11,11.0,1.0,0,training_mean_zero_call,GT,GT,0.0,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,11,11.0,1.0,0,training_mean_zero_call,CHP,CHP,0.0,0.03
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,11,11.0,1.0,0,training_mean_zero_call,PV,PV,0.0,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,12,12.0,1.0,0,training_mean_zero_call,EB,EB,0.01999999999999999,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,12,12.0,1.0,0,training_mean_zero_call,GT,GT,0.0,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,12,12.0,1.0,0,training_mean_zero_call,CHP,CHP,0.0,0.03
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,12,12.0,1.0,0,training_mean_zero_call,PV,PV,0.0,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,13,13.0,1.0,0,training_mean_zero_call,EB,EB,0.0,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,13,13.0,1.0,0,training_mean_zero_call,GT,GT,0.0,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,13,13.0,1.0,0,training_mean_zero_call,CHP,CHP,0.0,0.03
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,13,13.0,1.0,0,training_mean_zero_call,PV,PV,0.0,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,14,14.0,1.0,0,training_mean_zero_call,EB,EB,0.03,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,14,14.0,1.0,0,training_mean_zero_call,GT,GT,0.0,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,14,14.0,1.0,0,training_mean_zero_call,CHP,CHP,0.0,0.03
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,14,14.0,1.0,0,training_mean_zero_call,PV,PV,0.0,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,15,15.0,1.0,0,training_mean_zero_call,EB,EB,0.00789473684210637,0.0
D,D,zero_pv_sustained_down,r6-support-day-ea7bf78d-a7b6-464d-9c27-2756da3c7da5,15,15.0,1.0,0,training_mean_zero_call,GT,GT,0.0,0.0
