core_cost,cost,diagnostic,id,mode,stage,tail_cost,update
180.22756731487175,180.22756731487175,NaN,two-source-box50-normalized,dispatch,95,0.0,6
NaN,NaN,0.0332634166534314,two-source-box75-physical,diagnostic,2,NaN,0
NaN,NaN,0.015955869986159013,two-source-box75-physical,diagnostic,4,NaN,1
187.48422019241065,187.48422019241065,NaN,two-source-box75-physical,dispatch,7,0.0,2
186.45053515856995,186.45053515856995,NaN,two-source-box75-physical,dispatch,15,0.0,3
186.32087095134239,186.32087095134239,NaN,two-source-box75-physical,dispatch,29,0.0,4
186.2559936756025,186.2559936756025,NaN,two-source-box75-physical,dispatch,45,0.0,5
186.23976932453826,186.23976932453826,NaN,two-source-box75-physical,dispatch,65,0.0,6
186.23165613519947,186.23165613519947,NaN,two-source-box75-physical,dispatch,87,0.0,7
186.22759401005044,186.22759401005044,NaN,two-source-box75-physical,dispatch,111,0.0,8
NaN,NaN,0.0332634166534314,two-source-box75-normalized,diagnostic,2,NaN,0
NaN,NaN,0.0159562220571309,two-source-box75-normalized,diagnostic,4,NaN,1
187.48535249434866,187.48535249434866,NaN,two-source-box75-normalized,dispatch,7,0.0,2
186.45745333979582,186.45745333979582,NaN,two-source-box75-normalized,dispatch,15,0.0,3
186.32854956465556,186.32854956465556,NaN,two-source-box75-normalized,dispatch,29,0.0,4
186.26405600338472,186.26405600338472,NaN,two-source-box75-normalized,dispatch,45,0.0,5
186.24792860406336,186.24792860406336,NaN,two-source-box75-normalized,dispatch,65,0.0,6
186.23986437999076,186.23986437999076,NaN,two-source-box75-normalized,dispatch,87,0.0,7
186.23784827883344,186.23784827883344,NaN,two-source-box75-normalized,dispatch,113,0.0,8
NaN,NaN,0.0012767299145820547,two-source-legacy_tail-physical,diagnostic,2,NaN,0
NaN,NaN,0.00014598328729013713,two-source-legacy_tail-physical,diagnostic,4,NaN,1
NaN,NaN,0.0012767299145820547,two-source-legacy_tail-normalized,diagnostic,2,NaN,0
NaN,NaN,0.0001462911724594071,two-source-legacy_tail-normalized,diagnostic,4,NaN,1
NaN,NaN,0.0011302592108561795,two-source-bounded_return_tail-physical,diagnostic,2,NaN,0
68.52258003835007,457.45322223583787,NaN,two-source-bounded_return_tail-physical,dispatch,3,388.9306421974878,1
67.23872157954702,456.1556674830411,NaN,two-source-bounded_return_tail-physical,dispatch,7,388.91694590349414,2
NaN,NaN,0.0011302592108561795,two-source-bounded_return_tail-normalized,diagnostic,2,NaN,0
68.52271513631254,457.45335774777936,NaN,two-source-bounded_return_tail-normalized,dispatch,3,388.93064261146685,1
67.39205666692146,456.32475614697097,NaN,two-source-bounded_return_tail-normalized,dispatch,7,388.93269948004956,2
NaN,NaN,0.0011302592022971781,two-source-core_only-physical,diagnostic,2,NaN,0
68.52258003882194,68.52258003882194,NaN,two-source-core_only-physical,dispatch,3,0.0,1
67.1191028829449,67.1191028829449,NaN,two-source-core_only-physical,dispatch,7,0.0,2
NaN,NaN,0.0011302592022971781,two-source-core_only-normalized,diagnostic,2,NaN,0
68.52271438850178,68.52271438850178,NaN,two-source-core_only-normalized,dispatch,3,0.0,1
67.27249885549818,67.27249885549818,NaN,two-source-core_only-normalized,dispatch,7,0.0,2
NaN,NaN,0.007753055026080744,two-source-schpd-step001,diagnostic,2,NaN,0
NaN,NaN,0.00496956593623506,two-source-schpd-step001,diagnostic,4,NaN,1
NaN,NaN,0.0021844853563945887,two-source-schpd-step001,diagnostic,8,NaN,2
186.26051502318919,186.26051502318919,NaN,two-source-schpd-step001,dispatch,11,0.0,3
185.63088404977458,185.63088404977458,NaN,two-source-schpd-step001,dispatch,15,0.0,4
185.29232838065533,185.29232838065533,NaN,two-source-schpd-step001,dispatch,19,0.0,5
184.64684729157494,184.64684729157494,NaN,two-source-schpd-step001,dispatch,23,0.0,6
184.00595959464212,184.00595959464212,NaN,two-source-schpd-step001,dispatch,27,0.0,7
183.38663489960175,183.38663489960175,NaN,two-source-schpd-step001,dispatch,31,0.0,8
183.13900261545515,183.13900261545515,NaN,two-source-schpd-step001,dispatch,35,0.0,9
182.2608318590363,182.2608318590363,NaN,two-source-schpd-step001,dispatch,39,0.0,10
182.00487304326208,182.00487304326208,NaN,two-source-schpd-step001,dispatch,43,0.0,11
181.2399792522778,181.2399792522778,NaN,two-source-schpd-step001,dispatch,47,0.0,12
NaN,NaN,0.007753055026080744,two-source-schpd-step100,diagnostic,2,NaN,0
NaN,NaN,0.0017072069422640597,two-source-schpd-step100,diagnostic,8,NaN,1
179.98667355613685,179.98667355613685,NaN,two-source-schpd-step100,dispatch,17,0.0,2
