record_id,run_id,scenario,building,t,dt_h,room_K,heat_MW,import_MW,delivered_MW,requested_MW
competitive_future_e030_r005-minimum_norm,r5-delivery-bca1dcad-e72a-4d40-931b-e3bfb0f0c202,down,building,2,1.0,294.15,0.03299999999999972,0.04999999990021272,-0.049999999896640036,-0.049999999896640036
competitive_future_e030_r005-minimum_norm,r5-delivery-bca1dcad-e72a-4d40-931b-e3bfb0f0c202,down,building,3,1.0,294.15,0.02999999999999949,0.04999999990185672,-0.049999999898299105,-0.049999999898299105
competitive_future_e030_r005-minimum_norm,r5-delivery-bca1dcad-e72a-4d40-931b-e3bfb0f0c202,down,building,4,1.0,293.15,0.003999999999999773,0.049999999902162695,-0.049999999898608184,-0.049999999898608184
merit_strategic-saved_selected,r5-delivery-b86f34aa-c2be-4af2-b16c-dac7d41e270a,none,building,1,1.0,293.15,0.041999999999999885,0.1,0.0,0.0
merit_strategic-saved_selected,r5-delivery-b86f34aa-c2be-4af2-b16c-dac7d41e270a,up,building,1,1.0,293.15,0.041999999999999885,0.1,0.0,0.0
merit_strategic-saved_selected,r5-delivery-b86f34aa-c2be-4af2-b16c-dac7d41e270a,down,building,1,1.0,293.15,0.041999999999999885,0.1,0.0,0.0
merit_strategic-saved_independent,r5-delivery-52bada26-3368-42a2-bb22-788b2dd8d36d,none,building,1,1.0,293.15,0.041999999999999885,0.0,0.0,0.0
merit_strategic-saved_independent,r5-delivery-52bada26-3368-42a2-bb22-788b2dd8d36d,up,building,1,1.0,293.15,0.041999999999999885,0.0,0.0,0.0
merit_strategic-saved_independent,r5-delivery-52bada26-3368-42a2-bb22-788b2dd8d36d,down,building,1,1.0,293.15,0.041999999999999885,0.0,0.0,0.0
merit_strategic-minimum_norm,r5-delivery-d3835d0f-1122-4fc5-88ad-11fa06e86580,none,building,1,1.0,293.15,0.041999999999999885,0.0,5.404212577186668e-12,0.0
merit_strategic-minimum_norm,r5-delivery-d3835d0f-1122-4fc5-88ad-11fa06e86580,up,building,1,1.0,293.15,0.041999999999999885,0.0,5.404212577186668e-12,1.042302278371949e-16
merit_strategic-minimum_norm,r5-delivery-d3835d0f-1122-4fc5-88ad-11fa06e86580,down,building,1,1.0,293.15,0.041999999999999885,0.0,5.404212577186668e-12,-6.83739948590309e-17
merit_fixed_bid-saved_selected,r5-delivery-0cf229dd-0c64-4af9-8c17-d02be6d21135,none,building,1,1.0,293.15,0.041999999999999885,0.14200000000000004,0.0,0.0
merit_fixed_bid-saved_selected,r5-delivery-0cf229dd-0c64-4af9-8c17-d02be6d21135,up,building,1,1.0,293.15,0.041999999999999885,0.14200000000000004,0.0,0.0
merit_fixed_bid-saved_selected,r5-delivery-0cf229dd-0c64-4af9-8c17-d02be6d21135,down,building,1,1.0,293.15,0.041999999999999885,0.14200000000000004,0.0,0.0
merit_fixed_bid-minimum_norm,r5-delivery-e5dc7609-f039-4cc7-8866-e780e0ef221f,none,building,1,1.0,293.15,0.041999999999999885,0.10000000000825389,0.0,0.0
merit_fixed_bid-minimum_norm,r5-delivery-e5dc7609-f039-4cc7-8866-e780e0ef221f,up,building,1,1.0,293.15,0.041999999999999885,0.10000000000825389,0.0,1.9038847548251263e-18
merit_fixed_bid-minimum_norm,r5-delivery-e5dc7609-f039-4cc7-8866-e780e0ef221f,down,building,1,1.0,293.15,0.041999999999999885,0.10000000000825389,0.0,-2.185430840779749e-18
scarcity_unbounded_price-preset_minimum_norm,r5-delivery-01305269-cf50-4c5c-a893-055791499381,none,building,1,1.0,293.15,0.041999999999999885,0.08000000000008929,0.0,0.0
scarcity_unbounded_price-preset_minimum_norm,r5-delivery-01305269-cf50-4c5c-a893-055791499381,up,building,1,1.0,293.15,0.041999999999999885,0.0,0.08000000000008929,0.07999999999999996
scarcity_unbounded_price-preset_minimum_norm,r5-delivery-01305269-cf50-4c5c-a893-055791499381,down,building,1,1.0,293.15,0.041999999999999885,0.12999999999274467,-0.04999999999265538,-0.04999999999265538
