run_id,case,policy,loss,node,t,H_src_MW,H_D_MW,P_CHP_MW,P_HP_MW,P_EB_MW,P_PV_MW,source_mass_kg_s,load_mass_kg_s,S_K,R_K
import--fixed--reference,import,fixed,reference,2,3,0.10958332335195306,0.10958332344573232,0.0,0.03652777445065102,0.0,0.35527386329240596,0.8368773680453876,0.8434533101242273,349.2977552918883,317.9642439853944
import--fixed--reference,import,fixed,reference,2,4,0.10731669744973879,0.10731669744973879,0.0,0.035772232483246263,0.0,0.08999999991380465,0.8392224323887195,0.8392224323887195,348.44621353867655,317.8537864613234
import--fixed--reference,import,fixed,reference,3,1,0.211493688288073,0.211493688288073,0.14999999986332965,0.0,0.03315125100218674,0.0,1.6579405562540919,1.6579405562540919,348.4088631584562,317.89113684154376
import--fixed--reference,import,fixed,reference,3,2,0.17999999987916865,0.2716666657238915,0.149999999856845,0.0,0.0,0.0,1.4046190715108557,2.105623382051987,348.34956058673265,317.4836299332359
import--fixed--reference,import,fixed,reference,3,3,0.1799999999761412,0.2133333330725714,0.14999999985515364,0.0,1.578493155539877e-10,0.0,1.4160840532478813,1.6775566915864137,348.06980106130146,317.6465773281111
import--fixed--reference,import,fixed,reference,3,4,0.21150057425932628,0.21150057425932628,0.14999999986285623,0.0,0.033158499393577706,0.0,1.6579855664199086,1.6579855664199086,348.4089457145494,317.89105428545054
import--fixed--exponential,import,fixed,exponential,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.15,303.15
import--fixed--exponential,import,fixed,exponential,1,2,0.09456058725090635,0.0,0.0788004893757553,0.0,0.0,0.0,0.5607548014646105,0.0,343.61253571817,303.27020497309627
import--fixed--exponential,import,fixed,exponential,1,3,0.03626846642834686,0.0,0.030223722023623098,0.0,0.0,0.0,0.21343997192618167,0.0,344.372814265186,303.72124996000895
import--fixed--exponential,import,fixed,exponential,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.15,303.15
import--fixed--exponential,import,fixed,exponential,2,1,0.10731453036730867,0.10731453036730884,0.0,0.03577151012243623,0.0,0.0,0.8392082942470525,0.8392082942470398,348.4461623471516,317.85383765284837
import--fixed--exponential,import,fixed,exponential,2,2,0.12931447739832108,0.12931447761444895,0.0,0.04310482579944036,0.0,0.27,0.763067703796258,0.7734120249029149,343.6212616731184,303.4253194920243
import--fixed--exponential,import,fixed,exponential,2,3,0.10958309246491989,0.10958309248716816,0.0,0.03652769748830663,0.0,0.3552737885147921,0.6435871600935128,0.6554012973998025,344.4452317781635,304.14050674583257
import--fixed--exponential,import,fixed,exponential,2,4,0.10731669836349159,0.10731669836349184,0.0,0.03577223278783053,0.0,0.09000000000000001,0.8392224383478589,0.8392224383478555,348.4462135603017,317.85378643969824
import--fixed--exponential,import,fixed,exponential,3,1,0.21149368855734013,0.211493688557341,0.15,0.0,0.03315125111298454,0.0,1.6638357289263568,1.663835728926356,348.35478916684315,317.94520083315615
import--fixed--exponential,import,fixed,exponential,3,2,0.17999999999999755,0.27166722372202823,0.15,0.0,0.0,0.0,1.0765732745801349,1.6269837549380737,343.25348590462795,303.3070867361797
import--fixed--exponential,import,fixed,exponential,3,3,0.17999999999999994,0.21334796776237797,0.15,0.0,0.0,0.0,1.0792190612346015,1.2808448958545107,343.4305749215292,303.5817447159587
import--fixed--exponential,import,fixed,exponential,3,4,0.21150057448377158,0.21150057448377163,0.15,0.0,0.03315849945660184,0.0,1.6637241814042998,1.6637241814042982,348.35630367936875,317.94368631826234
import--joint--reference,import,joint,reference,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.15,303.15
import--joint--reference,import,joint,reference,1,2,0.0952666666884557,0.0,0.07938888890704641,0.0,0.0,0.0,0.710640090502135,0.0,349.76687685067645,317.6956935746927
import--joint--reference,import,joint,reference,1,3,0.03693328130253273,0.0,0.030777734418777278,0.0,0.0,0.0,0.28063172688821003,0.0,349.6954176839124,318.21033462418484
import--joint--reference,import,joint,reference,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.15,303.15
import--joint--reference,import,joint,reference,2,1,0.10732272333958119,0.10732272333958119,0.0,0.03577424111319373,0.0,0.0,0.8392617453074089,0.8392617453074089,348.4463558797542,317.85364412024575
import--joint--reference,import,joint,reference,2,2,0.1293227230687913,0.12932272328218747,0.0,0.04310757435626377,0.0,0.26999999997935664,0.9926182386079583,1.0003716883227414,349.16979818150764,317.8774826471052
import--joint--reference,import,joint,reference,2,3,0.1095829518691509,0.10958295196291847,0.0,0.0365276506230503,0.0,0.3552758984864667,0.8612750621785279,0.8726173228753753,348.9893583920893,318.6706767398239
import--joint--reference,import,joint,reference,2,4,0.10732487156077267,0.10732487156077267,0.0,0.03577495718692422,0.0,0.08999999997933697,0.839275760234217,0.839275760234217,348.44640662225305,317.8535933777469
import--joint--reference,import,joint,reference,3,1,0.21152753524239903,0.21152753524239903,0.15,0.0,0.033186879202525305,0.0,1.265116837574157,1.265116837574157,343.15,303.15
import--joint--reference,import,joint,reference,3,2,0.1799999999711368,0.27166666644619636,0.15,0.0,0.0,0.0,1.4103318029369167,2.1132184437242687,348.29628055574506,317.54128423314137
import--joint--reference,import,joint,reference,3,3,0.17999999997614036,0.21333328118490927,0.14999999985517082,0.0,1.578306448179146e-10,0.0,1.4588994450803061,1.7281889112716686,347.78886587080797,318.25698436927956
import--joint--reference,import,joint,reference,3,4,0.21152753524239273,0.21152753524239273,0.15,0.0,0.03318687920251867,0.0,1.265116837574119,1.265116837574119,343.15,303.15
import--joint--exponential,import,joint,exponential,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.15,303.15
import--joint--exponential,import,joint,exponential,1,2,0.0945605873705373,0.0,0.07880048947544775,0.0,0.0,0.0,0.5607549037795733,0.0,343.6125356334509,303.27021219817124
