record_id,run_id,scenario,probability,z,actual_event,raw_event,comfort_excess_K,recourse_cost,epigraph_cost,cost_worst_probability,risk_worst_probability,actual_worst_probability
thermal_e030_r005--highs,r5-risk-df39ecaf-bd33-497b-bb65-8d2f95f9a7b8,down,0.25,1.0,1,1,1.0,5.982399999999931,5.982399999999931,0.2000000000082208,0.30000000002822946,0.30000000002822946
thermal_e030_r005--clarabel,r5-risk-enum-fa91afde-59fb-4835-9dc8-1db610f17136,none,0.5,0.0,0,0,0.0,8.060000000009808,8.060000000009738,0.49999999997548833,0.46849212493580894,0.46849212493580894
thermal_e030_r005--clarabel,r5-risk-enum-fa91afde-59fb-4835-9dc8-1db610f17136,up,0.25,0.0,0,0,0.0,12.060000000007413,12.060000000005717,0.30000000001629035,0.23150787503596168,0.23150787503596168
thermal_e030_r005--clarabel,r5-risk-enum-fa91afde-59fb-4835-9dc8-1db610f17136,down,0.25,1.0,1,1,0.999999999999261,5.982400000008095,5.982400000005317,0.2000000000082211,0.30000000002822946,0.30000000002822946
thermal_e100_r000--highs,r5-risk-a39572d1-f325-44e8-97dd-f6a19919eb90,none,0.5,1.0,1,1,1.0000000000000568,6.398599999999888,6.398599999999888,0.49999999999065503,0.5000000000023562,0.5000000000023562
thermal_e100_r000--highs,r5-risk-a39572d1-f325-44e8-97dd-f6a19919eb90,up,0.25,1.0,1,1,1.0000000000000568,10.398599999999888,10.398599999999886,0.25000000006250894,0.24999999999882178,0.24999999999882178
thermal_e100_r000--highs,r5-risk-a39572d1-f325-44e8-97dd-f6a19919eb90,down,0.25,1.0,1,1,1.0,5.982399999999931,5.982399999999931,0.2499999999468341,0.24999999999882183,0.24999999999882183
thermal_e100_r000--clarabel,r5-risk-enum-f86afcc5-1af2-4b7b-9189-8354b2b5818b,none,0.5,1.0,1,1,0.9999999999994884,6.398600000013344,6.398600000013303,0.4999999999906551,0.5000000000023562,0.5000000000023562
thermal_e100_r000--clarabel,r5-risk-enum-f86afcc5-1af2-4b7b-9189-8354b2b5818b,up,0.25,1.0,1,1,0.9999999999998863,10.398600000008818,10.398600000007804,0.25000000006250894,0.24999999999882178,0.24999999999882178
thermal_e100_r000--clarabel,r5-risk-enum-f86afcc5-1af2-4b7b-9189-8354b2b5818b,down,0.25,1.0,1,1,0.9999999999997158,5.982400000008756,5.982400000007409,0.24999999994683422,0.24999999999882183,0.24999999999882183
thermal_hard--highs,r5-risk-823c8b42-28ad-42b0-b7eb-bfbfc65b6f59,none,0.5,0.0,0,0,0.0,8.059999999999889,8.059999999999889,0.4999999999955194,0.5000000000023562,0.5000000000023562
thermal_hard--highs,r5-risk-823c8b42-28ad-42b0-b7eb-bfbfc65b6f59,up,0.25,0.0,0,0,0.0,12.059999999999887,12.059999999999887,0.2500000000068097,0.2499999999988219,0.2499999999988219
thermal_hard--highs,r5-risk-823c8b42-28ad-42b0-b7eb-bfbfc65b6f59,down,0.25,0.0,0,0,0.0,4.959999999999932,4.959999999999932,0.24999999999767075,0.2499999999988219,0.2499999999988219
thermal_hard--clarabel,r5-risk-enum-124e3514-accd-4a57-8dbd-9ffa4f994a37,none,0.5,0.0,0,1,5.684341886080802e-14,8.060000000037613,8.060000000037542,0.49999999999551914,0.5000000000023562,0.5000000000023562
thermal_hard--clarabel,r5-risk-enum-124e3514-accd-4a57-8dbd-9ffa4f994a37,up,0.25,0.0,0,1,5.684341886080802e-14,12.060000000028802,12.060000000022912,0.2500000000068097,0.2499999999988219,0.2499999999988219
thermal_hard--clarabel,r5-risk-enum-124e3514-accd-4a57-8dbd-9ffa4f994a37,down,0.25,0.0,0,1,5.684341886080802e-14,4.960000000033858,4.960000000023152,0.24999999999767053,0.2499999999988219,0.2499999999988219
hard_zero--gurobi,r5-risk-b1767fa5-00cd-4141-a1f2-f4bce05eba28,none,0.5,0.0,0,0,0.0,8.059999999999997,8.059999999999997,0.4999999999955195,0.5000000000023562,0.5000000000023562
hard_zero--gurobi,r5-risk-b1767fa5-00cd-4141-a1f2-f4bce05eba28,up,0.25,0.0,0,0,0.0,12.059999999999999,12.059999999999999,0.2500000000068096,0.2499999999988219,0.2499999999988219
hard_zero--gurobi,r5-risk-b1767fa5-00cd-4141-a1f2-f4bce05eba28,down,0.25,0.0,0,0,0.0,4.959999999999997,4.959999999999997,0.24999999999767078,0.2499999999988219,0.2499999999988219
thermal_e030_r005--gurobi,r5-risk-2999aa21-f3b5-47fd-b9d0-c6a935abc002,none,0.5,0.0,0,0,0.0,8.05999999999991,8.05999999999991,0.49999999997548844,0.46849212493580894,0.46849212493580894
thermal_e030_r005--gurobi,r5-risk-2999aa21-f3b5-47fd-b9d0-c6a935abc002,up,0.25,0.0,0,0,0.0,12.059999999999857,12.059999999999857,0.3000000000162905,0.23150787503596168,0.23150787503596168
thermal_e030_r005--gurobi,r5-risk-2999aa21-f3b5-47fd-b9d0-c6a935abc002,down,0.25,1.0,1,1,1.0,5.982399999999959,5.982399999999945,0.20000000000822102,0.30000000002822946,0.30000000002822946
future_e030_r005--gurobi,r5-risk-dee19458-e00f-49b8-80ab-b85668162b01,none,0.5,0.0,0,0,0.0,7.702972259456658,7.70297225945666,0.4999999999950305,0.46849212494730064,0.46849212494730064
future_e030_r005--gurobi,r5-risk-dee19458-e00f-49b8-80ab-b85668162b01,up,0.25,1.0,1,1,1.0,14.40871519117669,14.408715191176691,0.3000000000125682,0.30000000002822946,0.30000000002822946
future_e030_r005--gurobi,r5-risk-dee19458-e00f-49b8-80ab-b85668162b01,down,0.25,-0.0,0,0,0.0,5.382972259456661,5.382972259456661,0.1999999999924011,0.23150787502446998,0.23150787502446998
