record_id,run_id,scenario,building,t,dt_h,room_K,comfort_lower_K,comfort_upper_K,heat_MW,import_MW,request_MW,delivered_MW,mismatch_MW
hard_r020--clarabel,r5-risk-enum-4d231a10-791d-4fa4-be38-ce2e8b9db297,none,building,1,1.0,293.15,293.15,293.15,0.04199999999999941,0.07999999999998424,0.0,-2.7755575615628914e-17,2.7755575615628914e-17
hard_r020--clarabel,r5-risk-enum-4d231a10-791d-4fa4-be38-ce2e8b9db297,up,building,1,1.0,293.15,293.15,293.15,0.041999999999999496,7.976509290785547e-16,0.07999999999998389,0.07999999999998342,4.718447854656915e-16
hard_r020--clarabel,r5-risk-enum-4d231a10-791d-4fa4-be38-ce2e8b9db297,down,building,1,1.0,293.15,293.15,293.15,0.04199999999999929,0.141999999999998,-0.06200000000001556,-0.06200000000001378,1.7763568394002505e-15
hard_r100--highs,r5-risk-e7fb4feb-bca3-4521-8709-fae2c82d2087,none,building,1,1.0,293.15,293.15,293.15,0.041999999999999885,0.06200000000000003,0.0,0.0,0.0
hard_r100--highs,r5-risk-e7fb4feb-bca3-4521-8709-fae2c82d2087,up,building,1,1.0,293.15,293.15,293.15,0.041999999999999885,0.0,0.06200000000000003,0.06200000000000003,0.0
hard_r100--highs,r5-risk-e7fb4feb-bca3-4521-8709-fae2c82d2087,down,building,1,1.0,293.15,293.15,293.15,0.041999999999999885,0.14200000000000004,-0.08,-0.08000000000000002,1.3877787807814457e-17
hard_r100--clarabel,r5-risk-enum-fe72dfa0-9cb7-47ab-9aeb-63330fb78432,none,building,1,1.0,293.1499999999999,293.15,293.15,0.04199999999999987,0.06200000000001291,0.0,1.0408340855860843e-16,1.0408340855860843e-16
hard_r100--clarabel,r5-risk-enum-fe72dfa0-9cb7-47ab-9aeb-63330fb78432,up,building,1,1.0,293.1499999999999,293.15,293.15,0.04199999999999988,9.25364554493576e-15,0.06200000000001002,0.06200000000000376,6.25888230132432e-15
hard_r100--clarabel,r5-risk-enum-fe72dfa0-9cb7-47ab-9aeb-63330fb78432,down,building,1,1.0,293.1499999999999,293.15,293.15,0.041999999999999905,0.14199999999999793,-0.07999999999998887,-0.07999999999998492,3.95516952522712e-15
hard_zero--highs,r5-risk-2bd6d73b-e36e-4fd0-a816-4ecc435c6119,none,building,1,1.0,293.15,293.15,293.15,0.041999999999999885,0.08,0.0,0.0,0.0
hard_zero--highs,r5-risk-2bd6d73b-e36e-4fd0-a816-4ecc435c6119,up,building,1,1.0,293.15,293.15,293.15,0.041999999999999885,0.0,0.08,0.08,0.0
hard_zero--highs,r5-risk-2bd6d73b-e36e-4fd0-a816-4ecc435c6119,down,building,1,1.0,293.15,293.15,293.15,0.041999999999999885,0.14200000000000004,-0.06200000000000004,-0.06200000000000004,0.0
hard_zero--clarabel,r5-risk-enum-e19a12e5-6fb1-490a-9f0c-97013cac8a15,none,building,1,1.0,293.15,293.15,293.15,0.04199999999999958,0.07999999999973,0.0,-5.551115123125783e-17,5.551115123125783e-17
hard_zero--clarabel,r5-risk-enum-e19a12e5-6fb1-490a-9f0c-97013cac8a15,up,building,1,1.0,293.15,293.15,293.15,0.041999999999999475,6.749499512304739e-15,0.07999999999972937,0.0799999999997232,6.175615574477433e-15
hard_zero--clarabel,r5-risk-enum-e19a12e5-6fb1-490a-9f0c-97013cac8a15,down,building,1,1.0,293.15,293.15,293.15,0.04199999999999951,0.14199999999999954,-0.06200000000028409,-0.0620000000002696,1.4488410471358293e-14
quarter--highs,r5-risk-10f35733-3ccf-46e1-883a-89d7a8d5a506,none,building,1,0.25,293.15,293.15,293.15,0.042000000000000454,0.08,0.0,0.0,0.0
quarter--highs,r5-risk-10f35733-3ccf-46e1-883a-89d7a8d5a506,up,building,1,0.25,293.15,293.15,293.15,0.042000000000000454,0.0,0.08,0.08,0.0
