method,equation,scope,entity,t,residual,unit,tolerance,pass
fixed-mip-central,ch04-032,model,27,13,2.4230730337232616e-13,pu²,1.0e-6,true
fixed-mip-central,R9-T4-grid,model,27,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-original-grid,electric_original,27,13,2.1513227126384454e-11,pu²,1.0e-6,true
fixed-mip-central,R9-T4-P,model,28,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-Q,model,28,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-ell,model,28,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-032,model,28,13,1.5194924040794894e-17,pu²,1.0e-6,true
fixed-mip-central,R9-T4-grid,model,28,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-original-grid,electric_original,28,13,1.0824927244726737e-11,pu²,1.0e-6,true
fixed-mip-central,R9-T4-P,model,29,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-Q,model,29,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-ell,model,29,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-032,model,29,13,4.489757022651912e-13,pu²,1.0e-6,true
fixed-mip-central,R9-T4-grid,model,29,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-original-grid,electric_original,29,13,7.752803390589924e-11,pu²,1.0e-6,true
fixed-mip-central,R9-T4-P,model,30,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-Q,model,30,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-ell,model,30,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-032,model,30,13,2.918706129648868e-17,pu²,1.0e-6,true
fixed-mip-central,R9-T4-grid,model,30,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-original-grid,electric_original,30,13,1.078643348007306e-11,pu²,1.0e-6,true
fixed-mip-central,R9-T4-P,model,31,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-Q,model,31,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-ell,model,31,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-032,model,31,13,2.0378895618139277e-13,pu²,1.0e-6,true
fixed-mip-central,R9-T4-grid,model,31,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-original-grid,electric_original,31,13,4.982116004470516e-10,pu²,1.0e-6,true
fixed-mip-central,R9-T4-P,model,32,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-Q,model,32,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-ell,model,32,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-032,model,32,13,3.1954053237372463e-17,pu²,1.0e-6,true
fixed-mip-central,R9-T4-grid,model,32,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-original-grid,electric_original,32,13,1.0051730290130956e-9,pu²,1.0e-6,true
fixed-mip-central,R9-T4-P,model,33,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-Q,model,33,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-ell,model,33,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-032,model,33,13,3.7440725500948076e-13,pu²,1.0e-6,true
fixed-mip-central,R9-T4-grid,model,33,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-original-grid,electric_original,33,13,2.6982900549338273e-10,pu²,1.0e-6,true
fixed-mip-central,R9-T4-P,model,34,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-Q,model,34,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-ell,model,34,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-032,model,34,13,3.7364502191870787e-13,pu²,1.0e-6,true
fixed-mip-central,R9-T4-grid,model,34,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-original-grid,electric_original,34,13,1.167529926904276e-10,pu²,1.0e-6,true
fixed-mip-central,R9-T4-P,model,35,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-Q,model,35,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-ell,model,35,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-032,model,35,13,2.791820594150174e-18,pu²,1.0e-6,true
fixed-mip-central,R9-T4-grid,model,35,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-original-grid,electric_original,35,13,6.074962321384048e-11,pu²,1.0e-6,true
fixed-mip-central,R9-T4-P,model,36,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-Q,model,36,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-ell,model,36,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-032,model,36,13,1.3887822806193321e-12,pu²,1.0e-6,true
fixed-mip-central,R9-T4-grid,model,36,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-original-grid,electric_original,36,13,4.203045515251656e-11,pu²,1.0e-6,true
fixed-mip-central,R9-T4-P,model,37,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-Q,model,37,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-ell,model,37,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-032,model,37,13,2.783011451498729e-17,pu²,1.0e-6,true
fixed-mip-central,R9-T4-grid,model,37,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-original-grid,electric_original,37,13,3.431113763740319e-11,pu²,1.0e-6,true
fixed-mip-central,R9-T4-P,model,38,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-Q,model,38,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-ell,model,38,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-032,model,38,13,9.119013773329948e-15,pu²,1.0e-6,true
fixed-mip-central,R9-T4-grid,model,38,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-original-grid,electric_original,38,13,1.7084231820028994e-9,pu²,1.0e-6,true
fixed-mip-central,R9-T4-P,model,39,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-Q,model,39,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-ell,model,39,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-032,model,39,13,9.212186603434533e-15,pu²,1.0e-6,true
fixed-mip-central,R9-T4-grid,model,39,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-original-grid,electric_original,39,13,3.1245096568637692e-9,pu²,1.0e-6,true
fixed-mip-central,R9-T4-P,model,40,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-Q,model,40,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-ell,model,40,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-032,model,40,13,7.948451297915948e-18,pu²,1.0e-6,true
fixed-mip-central,R9-T4-grid,model,40,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-original-grid,electric_original,40,13,1.2484375759742872e-9,pu²,1.0e-6,true
fixed-mip-central,R9-T4-P,model,41,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-Q,model,41,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-ell,model,41,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-032,model,41,13,3.99553911549326e-17,pu²,1.0e-6,true
fixed-mip-central,R9-T4-grid,model,41,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-original-grid,electric_original,41,13,2.7203138802970803e-11,pu²,1.0e-6,true
fixed-mip-central,R9-T4-P,model,42,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-Q,model,42,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-ell,model,42,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-032,model,42,13,2.0746878150054932e-14,pu²,1.0e-6,true
fixed-mip-central,R9-T4-grid,model,42,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-original-grid,electric_original,42,13,9.22392367401579e-10,pu²,1.0e-6,true
fixed-mip-central,R9-T4-P,model,43,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-Q,model,43,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-ell,model,43,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-032,model,43,13,2.2244779260792436e-17,pu²,1.0e-6,true
fixed-mip-central,R9-T4-grid,model,43,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-original-grid,electric_original,43,13,8.81806640944463e-10,pu²,1.0e-6,true
fixed-mip-central,R9-T4-P,model,44,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-Q,model,44,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-ell,model,44,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-032,model,44,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-grid,model,44,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-original-grid,electric_original,44,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-P,model,45,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-Q,model,45,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-ell,model,45,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-032,model,45,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-grid,model,45,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-original-grid,electric_original,45,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-P,model,46,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-Q,model,46,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-ell,model,46,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-032,model,46,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-grid,model,46,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-original-grid,electric_original,46,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-P,model,47,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-Q,model,47,13,0.0,pu,1.0e-6,true
fixed-mip-central,R9-T4-ell,model,47,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-032,model,47,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-grid,model,47,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-original-grid,electric_original,47,13,0.0,pu²,1.0e-6,true
fixed-mip-central,R9-T4-voltage,model,1,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-030:031-P,model,1,13,4.497735517361434e-12,MW,7.599999999999999e-5,true
fixed-mip-central,ch04-030:031-Q,model,1,13,2.2506441155201173e-12,Mvar,7.599999999999999e-5,true
fixed-mip-central,R9-T4-voltage,model,2,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-030:031-P,model,2,13,1.1377565556358604e-12,MW,7.599999999999999e-5,true
fixed-mip-central,ch04-030:031-Q,model,2,13,5.520028878436278e-13,Mvar,7.599999999999999e-5,true
fixed-mip-central,R9-T4-voltage,model,3,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-030:031-P,model,3,13,2.2433166435575913e-12,MW,7.599999999999999e-5,true
fixed-mip-central,ch04-030:031-Q,model,3,13,1.0925704785336166e-12,Mvar,7.599999999999999e-5,true
fixed-mip-central,R9-T4-voltage,model,4,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-030:031-P,model,4,13,2.4003021792395884e-13,MW,7.599999999999999e-5,true
fixed-mip-central,ch04-030:031-Q,model,4,13,1.078026556911027e-13,Mvar,7.599999999999999e-5,true
fixed-mip-central,R9-T4-voltage,model,5,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-030:031-P,model,5,13,8.1556983388964e-13,MW,7.599999999999999e-5,true
fixed-mip-central,ch04-030:031-Q,model,5,13,3.8219427622721014e-13,Mvar,7.599999999999999e-5,true
fixed-mip-central,R9-T4-voltage,model,6,13,0.0,pu²,1.0e-6,true
fixed-mip-central,ch04-030:031-P,model,6,13,0.0,MW,7.599999999999999e-5,true
