record_id,run_id,t,energy_bid,up_bid,down_bid,energy_price,up_price,down_price,P_DA_MW,R_up_MW,R_down_MW
RO,r5-strategic-51e79424-a4a7-4607-8001-577e73c2f109,13,90.0,100.0,100.0,90.0,100.0,100.0,0.08,0.08,0.08
RO,r5-strategic-51e79424-a4a7-4607-8001-577e73c2f109,14,90.0,100.0,100.0,90.0,100.0,100.0,0.08,0.08,0.08
RO,r5-strategic-51e79424-a4a7-4607-8001-577e73c2f109,15,95.0,100.0,100.0,95.0,100.0,100.0,0.08,0.08,0.08
RO,r5-strategic-51e79424-a4a7-4607-8001-577e73c2f109,16,110.0,100.0,100.0,110.0,100.0,100.0,0.08,0.08,0.08
RO,r5-strategic-51e79424-a4a7-4607-8001-577e73c2f109,17,130.0,100.0,100.0,130.0,100.0,100.0,0.08125013119615104,0.08,0.08
RO,r5-strategic-51e79424-a4a7-4607-8001-577e73c2f109,18,150.0,100.0,100.0,150.0,100.0,100.0,0.08,0.08,0.08
RO,r5-strategic-51e79424-a4a7-4607-8001-577e73c2f109,19,150.0,100.0,100.0,150.0,100.0,100.0,0.08,0.08,0.08
RO,r5-strategic-51e79424-a4a7-4607-8001-577e73c2f109,20,140.0,100.0,100.0,140.0,100.0,100.0,0.08,0.08,0.08
RO,r5-strategic-51e79424-a4a7-4607-8001-577e73c2f109,21,120.0,100.0,100.0,120.0,100.0,100.0,0.18322132840089228,0.08,0.08
RO,r5-strategic-51e79424-a4a7-4607-8001-577e73c2f109,22,100.0,100.0,100.0,100.0,100.0,100.0,0.16092804473919264,0.08,0.08
RO,r5-strategic-51e79424-a4a7-4607-8001-577e73c2f109,23,85.0,100.0,100.0,85.0,100.0,100.0,0.17942005973512193,0.08,0.08
RO,r5-strategic-51e79424-a4a7-4607-8001-577e73c2f109,24,75.0,100.0,100.0,75.0,100.0,100.0,0.1665167384875445,0.08,0.08
DRO,r5-strategic-ec421d3c-a08b-4704-af7e-196e2a419188,1,70.0,100.0,100.0,70.0,100.0,100.0,0.08660391052617888,0.08,0.08
DRO,r5-strategic-ec421d3c-a08b-4704-af7e-196e2a419188,2,65.0,100.0,100.0,65.0,100.0,100.0,0.08,0.08,0.08
DRO,r5-strategic-ec421d3c-a08b-4704-af7e-196e2a419188,3,65.0,100.0,100.0,65.0,100.0,100.0,0.08,0.08,0.08
DRO,r5-strategic-ec421d3c-a08b-4704-af7e-196e2a419188,4,65.0,100.0,100.0,65.0,100.0,100.0,0.08,0.08,0.08
DRO,r5-strategic-ec421d3c-a08b-4704-af7e-196e2a419188,5,70.0,100.0,100.0,70.0,100.0,100.0,0.08,0.08,0.08
DRO,r5-strategic-ec421d3c-a08b-4704-af7e-196e2a419188,6,80.0,100.0,100.0,80.0,100.0,100.0,0.08,0.08,0.08
DRO,r5-strategic-ec421d3c-a08b-4704-af7e-196e2a419188,7,100.0,100.0,100.0,100.0,100.0,100.0,0.08,0.08,0.08
DRO,r5-strategic-ec421d3c-a08b-4704-af7e-196e2a419188,8,120.0,100.0,100.0,120.0,100.0,100.0,0.08,0.08,0.08
DRO,r5-strategic-ec421d3c-a08b-4704-af7e-196e2a419188,9,110.0,100.0,100.0,110.0,100.0,100.0,0.08,0.08,0.08
DRO,r5-strategic-ec421d3c-a08b-4704-af7e-196e2a419188,10,100.0,100.0,100.0,100.0,100.0,100.0,0.08,0.08,0.08
DRO,r5-strategic-ec421d3c-a08b-4704-af7e-196e2a419188,11,95.0,100.0,100.0,95.0,100.0,100.0,0.08,0.08,0.08
DRO,r5-strategic-ec421d3c-a08b-4704-af7e-196e2a419188,12,90.0,100.0,100.0,90.0,100.0,100.0,0.08,0.08,0.08
DRO,r5-strategic-ec421d3c-a08b-4704-af7e-196e2a419188,13,90.0,100.0,100.0,90.0,100.0,100.0,0.08,0.08,0.08
DRO,r5-strategic-ec421d3c-a08b-4704-af7e-196e2a419188,14,90.0,100.0,100.0,90.0,100.0,100.0,0.08,0.08,0.08
DRO,r5-strategic-ec421d3c-a08b-4704-af7e-196e2a419188,15,95.0,100.0,100.0,95.0,100.0,100.0,0.08,0.08,0.08
DRO,r5-strategic-ec421d3c-a08b-4704-af7e-196e2a419188,16,110.0,100.0,100.0,110.0,100.0,100.0,0.08,0.08,0.08
DRO,r5-strategic-ec421d3c-a08b-4704-af7e-196e2a419188,17,130.0,100.0,100.0,130.0,100.0,100.0,0.08,0.08,0.08
DRO,r5-strategic-ec421d3c-a08b-4704-af7e-196e2a419188,18,150.0,100.0,100.0,150.0,100.0,100.0,0.08,0.08,0.08
DRO,r5-strategic-ec421d3c-a08b-4704-af7e-196e2a419188,19,150.0,100.0,100.0,150.0,100.0,100.0,0.08,0.08,0.08
DRO,r5-strategic-ec421d3c-a08b-4704-af7e-196e2a419188,20,140.0,100.0,100.0,140.0,100.0,100.0,0.08,0.08,0.08
DRO,r5-strategic-ec421d3c-a08b-4704-af7e-196e2a419188,21,120.0,100.0,100.0,120.0,100.0,100.0,0.12924567187744043,0.08,0.08
DRO,r5-strategic-ec421d3c-a08b-4704-af7e-196e2a419188,22,100.0,100.0,100.0,100.0,100.0,100.0,0.08721376127196842,0.08,0.08
DRO,r5-strategic-ec421d3c-a08b-4704-af7e-196e2a419188,23,85.0,100.0,100.0,85.0,100.0,100.0,0.11705989000971757,0.08,0.08
DRO,r5-strategic-ec421d3c-a08b-4704-af7e-196e2a419188,24,75.0,100.0,100.0,75.0,100.0,100.0,0.16011378726492803,0.08,0.08
CCP,r5-strategic-17b93155-77ea-49e5-9523-6946727556f0,1,70.0,100.0,100.0,70.0,100.0,100.0,0.08660391052617888,0.08,0.08
CCP,r5-strategic-17b93155-77ea-49e5-9523-6946727556f0,2,65.0,100.0,100.0,65.0,100.0,100.0,0.08,0.08,0.08
CCP,r5-strategic-17b93155-77ea-49e5-9523-6946727556f0,3,65.0,100.0,100.0,65.0,100.0,100.0,0.08,0.08,0.08
CCP,r5-strategic-17b93155-77ea-49e5-9523-6946727556f0,4,65.0,100.0,100.0,65.0,100.0,100.0,0.08,0.08,0.08
CCP,r5-strategic-17b93155-77ea-49e5-9523-6946727556f0,5,70.0,100.0,100.0,70.0,100.0,100.0,0.08,0.08,0.08
CCP,r5-strategic-17b93155-77ea-49e5-9523-6946727556f0,6,80.0,100.0,100.0,80.0,100.0,100.0,0.08,0.08,0.08
CCP,r5-strategic-17b93155-77ea-49e5-9523-6946727556f0,7,100.0,100.0,100.0,100.0,100.0,100.0,0.08,0.08,0.08
CCP,r5-strategic-17b93155-77ea-49e5-9523-6946727556f0,8,120.0,100.0,100.0,120.0,100.0,100.0,0.08,0.08,0.08
CCP,r5-strategic-17b93155-77ea-49e5-9523-6946727556f0,9,110.0,100.0,100.0,110.0,100.0,100.0,0.08,0.08,0.08
CCP,r5-strategic-17b93155-77ea-49e5-9523-6946727556f0,10,100.0,100.0,100.0,100.0,100.0,100.0,0.08,0.08,0.08
CCP,r5-strategic-17b93155-77ea-49e5-9523-6946727556f0,11,95.0,100.0,100.0,95.0,100.0,100.0,0.08,0.08,0.08
CCP,r5-strategic-17b93155-77ea-49e5-9523-6946727556f0,12,90.0,100.0,100.0,90.0,100.0,100.0,0.08,0.08,0.08
CCP,r5-strategic-17b93155-77ea-49e5-9523-6946727556f0,13,90.0,100.0,100.0,90.0,100.0,100.0,0.08,0.08,0.08
CCP,r5-strategic-17b93155-77ea-49e5-9523-6946727556f0,14,90.0,100.0,100.0,90.0,100.0,100.0,0.08,0.08,0.08
CCP,r5-strategic-17b93155-77ea-49e5-9523-6946727556f0,15,95.0,100.0,100.0,95.0,100.0,100.0,0.08,0.08,0.08
CCP,r5-strategic-17b93155-77ea-49e5-9523-6946727556f0,16,110.0,100.0,100.0,110.0,100.0,100.0,0.08217275997809342,0.08,0.08
CCP,r5-strategic-17b93155-77ea-49e5-9523-6946727556f0,17,130.0,100.0,100.0,130.0,100.0,100.0,0.08,0.08,0.08
CCP,r5-strategic-17b93155-77ea-49e5-9523-6946727556f0,18,150.0,100.0,100.0,150.0,100.0,100.0,0.08,0.08,0.08
CCP,r5-strategic-17b93155-77ea-49e5-9523-6946727556f0,19,150.0,100.0,100.0,150.0,100.0,100.0,0.08,0.08,0.08
CCP,r5-strategic-17b93155-77ea-49e5-9523-6946727556f0,20,140.0,100.0,100.0,140.0,100.0,100.0,0.08,0.08,0.08
CCP,r5-strategic-17b93155-77ea-49e5-9523-6946727556f0,21,120.0,100.0,100.0,120.0,100.0,100.0,0.12924567187744043,0.08,0.08
CCP,r5-strategic-17b93155-77ea-49e5-9523-6946727556f0,22,100.0,100.0,100.0,100.0,100.0,100.0,0.08721376127196842,0.08,0.08
CCP,r5-strategic-17b93155-77ea-49e5-9523-6946727556f0,23,85.0,100.0,100.0,85.0,100.0,100.0,0.11705989000971757,0.08,0.08
CCP,r5-strategic-17b93155-77ea-49e5-9523-6946727556f0,24,75.0,100.0,100.0,75.0,100.0,100.0,0.10198894280762733,0.08,0.08
DRJCC,r5-strategic-67fab578-c396-41a9-90af-77590ce3979a,1,70.0,100.0,100.0,70.0,100.0,100.0,0.08660391052617888,0.08,0.08
DRJCC,r5-strategic-67fab578-c396-41a9-90af-77590ce3979a,2,65.0,100.0,100.0,65.0,100.0,100.0,0.08,0.08,0.08
DRJCC,r5-strategic-67fab578-c396-41a9-90af-77590ce3979a,3,65.0,100.0,100.0,65.0,100.0,100.0,0.08,0.08,0.08
DRJCC,r5-strategic-67fab578-c396-41a9-90af-77590ce3979a,4,65.0,100.0,100.0,65.0,100.0,100.0,0.08,0.08,0.08
DRJCC,r5-strategic-67fab578-c396-41a9-90af-77590ce3979a,5,70.0,100.0,100.0,70.0,100.0,100.0,0.08,0.08,0.08
DRJCC,r5-strategic-67fab578-c396-41a9-90af-77590ce3979a,6,80.0,100.0,100.0,80.0,100.0,100.0,0.08,0.08,0.08
DRJCC,r5-strategic-67fab578-c396-41a9-90af-77590ce3979a,7,100.0,100.0,100.0,100.0,100.0,100.0,0.08,0.08,0.08
DRJCC,r5-strategic-67fab578-c396-41a9-90af-77590ce3979a,8,120.0,100.0,100.0,120.0,100.0,100.0,0.08,0.08,0.08
DRJCC,r5-strategic-67fab578-c396-41a9-90af-77590ce3979a,9,110.0,100.0,100.0,110.0,100.0,100.0,0.08,0.08,0.08
DRJCC,r5-strategic-67fab578-c396-41a9-90af-77590ce3979a,10,100.0,100.0,100.0,100.0,100.0,100.0,0.08,0.08,0.08
DRJCC,r5-strategic-67fab578-c396-41a9-90af-77590ce3979a,11,95.0,100.0,100.0,95.0,100.0,100.0,0.08,0.08,0.08
DRJCC,r5-strategic-67fab578-c396-41a9-90af-77590ce3979a,12,90.0,100.0,100.0,90.0,100.0,100.0,0.08,0.08,0.08
DRJCC,r5-strategic-67fab578-c396-41a9-90af-77590ce3979a,13,90.0,100.0,100.0,90.0,100.0,100.0,0.08,0.08,0.08
DRJCC,r5-strategic-67fab578-c396-41a9-90af-77590ce3979a,14,90.0,100.0,100.0,90.0,100.0,100.0,0.08,0.08,0.08
DRJCC,r5-strategic-67fab578-c396-41a9-90af-77590ce3979a,15,95.0,100.0,100.0,95.0,100.0,100.0,0.08,0.08,0.08
DRJCC,r5-strategic-67fab578-c396-41a9-90af-77590ce3979a,16,110.0,100.0,100.0,110.0,100.0,100.0,0.08,0.08,0.08
DRJCC,r5-strategic-67fab578-c396-41a9-90af-77590ce3979a,17,130.0,100.0,100.0,130.0,100.0,100.0,0.08,0.08,0.08
DRJCC,r5-strategic-67fab578-c396-41a9-90af-77590ce3979a,18,150.0,100.0,100.0,150.0,100.0,100.0,0.08,0.08,0.08
DRJCC,r5-strategic-67fab578-c396-41a9-90af-77590ce3979a,19,150.0,100.0,100.0,150.0,100.0,100.0,0.08,0.08,0.08
DRJCC,r5-strategic-67fab578-c396-41a9-90af-77590ce3979a,20,140.0,100.0,100.0,140.0,100.0,100.0,0.08,0.08,0.08
DRJCC,r5-strategic-67fab578-c396-41a9-90af-77590ce3979a,21,120.0,100.0,100.0,120.0,100.0,100.0,0.12924567187744043,0.08,0.08
DRJCC,r5-strategic-67fab578-c396-41a9-90af-77590ce3979a,22,100.0,100.0,100.0,100.0,100.0,100.0,0.08721376127196842,0.08,0.08
DRJCC,r5-strategic-67fab578-c396-41a9-90af-77590ce3979a,23,85.0,100.0,100.0,85.0,100.0,100.0,0.11705989000971757,0.08,0.08
DRJCC,r5-strategic-67fab578-c396-41a9-90af-77590ce3979a,24,75.0,100.0,100.0,75.0,100.0,100.0,0.16011378726492803,0.08,0.08
