stage,name,equation,scope,entity,t,residual,unit,tolerance,pass
2,diagnostic,3-35:36,relaxed,S1,2,7.958078640513122e-13,K,0.0001,true
2,diagnostic,mix-original,physics,S1,2,7.958078640513122e-13,K,0.0001,true
2,diagnostic,3-35:36,relaxed,S1,3,7.958078640513122e-13,K,0.0001,true
2,diagnostic,mix-original,physics,S1,3,7.958078640513122e-13,K,0.0001,true
2,diagnostic,3-35:36,relaxed,S1,4,9.094947017729282e-13,K,0.0001,true
2,diagnostic,mix-original,physics,S1,4,9.094947017729282e-13,K,0.0001,true
2,diagnostic,3-35:36,relaxed,S2,1,6.821210263296962e-13,K,0.0001,true
2,diagnostic,mix-original,physics,S2,1,6.821210263296962e-13,K,0.0001,true
2,diagnostic,3-35:36,relaxed,S2,2,5.684341886080801e-13,K,0.0001,true
2,diagnostic,mix-original,physics,S2,2,5.684341886080801e-13,K,0.0001,true
2,diagnostic,3-35:36,relaxed,S2,3,5.115907697472721e-13,K,0.0001,true
2,diagnostic,mix-original,physics,S2,3,5.115907697472721e-13,K,0.0001,true
2,diagnostic,3-35:36,relaxed,S2,4,5.684341886080801e-13,K,0.0001,true
2,diagnostic,mix-original,physics,S2,4,5.684341886080801e-13,K,0.0001,true
2,diagnostic,3-35:36,relaxed,R1,1,3.410605131648481e-13,K,0.0001,true
2,diagnostic,mix-original,physics,R1,1,3.410605131648481e-13,K,0.0001,true
2,diagnostic,3-35:36,relaxed,R1,2,4.547473508864641e-13,K,0.0001,true
2,diagnostic,mix-original,physics,R1,2,4.547473508864641e-13,K,0.0001,true
2,diagnostic,3-35:36,relaxed,R1,3,4.547473508864641e-13,K,0.0001,true
2,diagnostic,mix-original,physics,R1,3,4.547473508864641e-13,K,0.0001,true
2,diagnostic,3-35:36,relaxed,R1,4,4.547473508864641e-13,K,0.0001,true
2,diagnostic,mix-original,physics,R1,4,4.547473508864641e-13,K,0.0001,true
2,diagnostic,3-35:36,relaxed,R2,1,3.410605131648481e-13,K,0.0001,true
2,diagnostic,mix-original,physics,R2,1,3.410605131648481e-13,K,0.0001,true
2,diagnostic,3-35:36,relaxed,R2,2,3.410605131648481e-13,K,0.0001,true
2,diagnostic,mix-original,physics,R2,2,3.410605131648481e-13,K,0.0001,true
2,diagnostic,3-35:36,relaxed,R2,3,3.410605131648481e-13,K,0.0001,true
2,diagnostic,mix-original,physics,R2,3,3.410605131648481e-13,K,0.0001,true
2,diagnostic,3-35:36,relaxed,R2,4,0.0,K,0.0001,true
2,diagnostic,mix-original,physics,R2,4,0.0,K,0.0001,true
2,diagnostic,3-23,model,1,1,0.0,kg/s,2.4999999999999998e-6,true
2,diagnostic,R2-fixed-flow,model,1,1,0.0,kg/s,2.4999999999999998e-6,true
2,diagnostic,3-27,model,1,1,0.0,kg/s,2.4999999999999998e-6,true
2,diagnostic,3-30,model,1,1,0.0,kg/s,2.4999999999999998e-6,true
