record,run_id,scenario,quantity,index,time_h,value,unit
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","E_BES","2","0.0","0.2","MWh"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","E_BES","2","0.0","0.15","MWh"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","E_BES","2","1.0","0.8","MWh"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","E_BES","2","1.0","0.8","MWh"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","E_BES","2","2.0","0.8","MWh"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","E_BES","2","2.0","0.8","MWh"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","E_BES","2","3.0","0.6010000000000015","MWh"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","E_BES","2","3.0","0.3990000000000006","MWh"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","E_BES","2","4.0","0.2","MWh"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","E_BES","2","4.0","0.15","MWh"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","τ_S","1","1.0","342.197619047619","K"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","τ_S","1","1.0","342.197619047619","K"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","τ_S","1","2.0","342.197619047619","K"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","τ_S","1","2.0","334.9595238095237","K"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","1","τ_S","1","3.0","342.1499999999999","K"
"reserve_heat_limit_finite_fault_ccg_highs_n4","r7-linked-68246657-1dd9-4d9a-964e-a40ac8543254","2","τ_S","1","3.0","342.1499999999999","K"
