method,t,dt_h,P_grid_MW,grid_loss_MW,H_generation_MW,H_demand_and_charge_MW,heat_loss_MW,heat_balance_MW
equipment-fixed-central-exact,24,1.0,33.8806313961021,0.177372053020028,9.246584895211571,8.835879539361425,0.41070537732049217,-2.1470346278640307e-8
equipment-joint-central-socp,1,1.0,32.37652064986928,0.1591286559994488,8.293944327801064,7.883238950474958,0.41070537732049217,5.614286813226954e-12
equipment-joint-central-socp,2,1.0,31.021398862353855,0.1465640007053783,8.293934578797813,7.8832292014731,0.41070537732049217,4.221623051137158e-12
equipment-joint-central-socp,3,1.0,30.15225459675361,0.13897017073452053,8.799770998838596,8.389065621513884,0.41070537732049217,4.2198466942977575e-12
equipment-joint-central-socp,4,1.0,29.805175978970734,0.13568853381604518,8.799999624035625,8.389294246710923,0.41070537732049217,4.209188553261356e-12
equipment-joint-central-socp,5,1.0,30.499365856432906,0.14231131070439712,8.799999583266054,8.38929420594134,0.41070537732049217,4.221623051137158e-12
equipment-joint-central-socp,6,1.0,27.937037924060775,0.16296428960132872,9.014192011572169,8.603486634247435,0.41070537732049217,4.2411629763705605e-12
equipment-joint-central-socp,7,1.0,33.329355429753655,0.20722744903920945,9.813476047581593,9.402770670256873,0.41070537732049217,4.228728478494759e-12
equipment-joint-central-socp,8,1.0,37.98350773150287,0.2601325770709683,10.20963788645925,9.798932509134515,0.41070537732049217,4.242939333209961e-12
equipment-joint-central-socp,9,1.0,37.51970509273503,0.29232183559930447,9.68213889245674,9.271433515129251,0.41070537732049217,6.996292434280349e-12
equipment-joint-central-socp,10,1.0,36.63096242390079,0.30208070936055503,8.88783899828528,8.477133620957671,0.41070537732049217,7.117084699359566e-12
equipment-joint-central-socp,11,1.0,35.404524693379386,0.30117935718317956,8.291301537442088,7.880596160114544,0.41070537732049217,7.052247674721457e-12
equipment-joint-central-socp,12,1.0,32.691146867154394,0.2746122251040055,8.092426322644798,7.681720945317348,0.41070537732049217,6.9572125838135435e-12
equipment-joint-central-socp,13,1.0,32.756969092584896,0.2564469431374877,8.56744700327149,8.156741625946756,0.41070537732049217,4.2411629763705605e-12
equipment-joint-central-socp,14,1.0,31.939216853381524,0.24224553804113041,8.810608773955144,8.39990339663043,0.41070537732049217,4.221623051137158e-12
equipment-joint-central-socp,15,1.0,34.842957317403005,0.26484517779960903,9.010377333846384,8.59967195652167,0.41070537732049217,4.221623051137158e-12
equipment-joint-central-socp,16,1.0,39.07739740453884,0.2952187343447261,9.609748159410346,9.199042782085604,0.41070537732049217,4.250044760567562e-12
equipment-joint-central-socp,17,1.0,42.77366368143157,0.32725437092250337,10.070898628402073,9.66019325107737,0.41070537732049217,4.210964910100756e-12
equipment-joint-central-socp,18,1.0,42.95748479083983,0.3430695677048179,9.880736352069116,9.470030974741627,0.41070537732049217,6.996292434280349e-12
