run_id,parent,band,stage,node,t,mass_balance_min_kg_s,mass_balance_max_kg_s,gap_kg_s,materially_excludes_zero
open--electric--socp--reference20--free_envelope,open--electric--socp,reference20,free_envelope,1,2,-9.542271399946474,1.0299126786757151,0.0,false
open--electric--socp--reference20--free_envelope,open--electric--socp,reference20,free_envelope,2,2,-12.284600255367025,10.242204487791422,0.0,false
open--electric--socp--reference20--free_envelope,open--electric--socp,reference20,free_envelope,3,2,-5.482153339988228,10.533986018275685,0.0,false
open--electric--socp--reference20--free_envelope,open--electric--socp,reference20,free_envelope,1,3,0.007526913875598088,10.000003588516746,0.007526913875598088,true
open--electric--socp--reference20--free_envelope,open--electric--socp,reference20,free_envelope,2,3,-21.709960190778094,1.5743943054401397,0.0,false
open--electric--socp--reference20--free_envelope,open--electric--socp,reference20,free_envelope,3,3,-4.415260337437591,10.087813575881928,0.0,false
open--electric--socp--reference20--free_envelope,open--electric--socp,reference20,free_envelope,1,4,0.007526913875598088,10.000003588516746,0.007526913875598088,true
open--electric--socp--reference20--free_envelope,open--electric--socp,reference20,free_envelope,2,4,-21.31741101207044,2.375045517717919,0.0,false
open--electric--socp--reference20--free_envelope,open--electric--socp,reference20,free_envelope,3,4,-4.472954232333548,8.997620099900548,0.0,false
open--electric--exact--reference10--fixed_envelope,open--electric--exact,reference10,fixed_envelope,1,1,0.01506708181818182,2.2e-6,0.01506708181818182,true
open--electric--exact--reference10--fixed_envelope,open--electric--exact,reference10,fixed_envelope,2,1,-4.39999999990448e-6,-0.015064881818181997,0.015064881818181997,true
open--electric--exact--reference10--fixed_envelope,open--electric--exact,reference10,fixed_envelope,3,1,-3.2999999999283602e-6,3.2999999999283602e-6,0.0,false
open--electric--exact--reference10--fixed_envelope,open--electric--exact,reference10,fixed_envelope,1,2,0.021525311961722693,2.19999999995224e-6,0.021525311961722693,true
open--electric--exact--reference10--fixed_envelope,open--electric--exact,reference10,fixed_envelope,2,2,1.1282071676898173,-0.3904184343655055,1.1282071676898173,true
open--electric--exact--reference10--fixed_envelope,open--electric--exact,reference10,fixed_envelope,3,2,0.36889092240378285,3.2999999999283602e-6,0.36889092240378285,true
open--electric--exact--reference10--fixed_envelope,open--electric--exact,reference10,fixed_envelope,1,3,0.01506708181818182,2.2e-6,0.01506708181818182,true
open--electric--exact--reference10--fixed_envelope,open--electric--exact,reference10,fixed_envelope,2,3,1.2512610975046337,-0.42497708082690344,1.2512610975046337,true
open--electric--exact--reference10--fixed_envelope,open--electric--exact,reference10,fixed_envelope,3,3,0.40990889900872163,3.2999999999283602e-6,0.40990889900872163,true
open--electric--exact--reference10--fixed_envelope,open--electric--exact,reference10,fixed_envelope,1,4,0.01506708181818182,2.2e-6,0.01506708181818182,true
open--electric--exact--reference10--fixed_envelope,open--electric--exact,reference10,fixed_envelope,2,4,-4.39999999990448e-6,-0.015064881818181997,0.015064881818181997,true
open--electric--exact--reference10--fixed_envelope,open--electric--exact,reference10,fixed_envelope,3,4,-3.2999999999283602e-6,3.2999999999283602e-6,0.0,false
open--electric--exact--reference10--free_envelope,open--electric--exact,reference10,free_envelope,1,1,0.015064593301435409,7.177033492822967e-6,0.015064593301435409,true
open--electric--exact--reference10--free_envelope,open--electric--exact,reference10,free_envelope,2,1,-2.349294257628549,2.1749960899095195,0.0,false
open--electric--exact--reference10--free_envelope,open--electric--exact,reference10,free_envelope,3,1,-1.7078772840001155,1.286295223765637,0.0,false
open--electric--exact--reference10--free_envelope,open--electric--exact,reference10,free_envelope,1,2,-0.8939493596235885,0.9154768715853103,0.0,false
open--electric--exact--reference10--free_envelope,open--electric--exact,reference10,free_envelope,2,2,-1.7275804643866381,1.5016665984870852,0.0,false
open--electric--exact--reference10--free_envelope,open--electric--exact,reference10,free_envelope,3,2,-2.1516702164905874,1.6191399226445466,0.0,false
open--electric--exact--reference10--free_envelope,open--electric--exact,reference10,free_envelope,1,3,0.015064593301435409,7.177033492822967e-6,0.015064593301435409,true
open--electric--exact--reference10--free_envelope,open--electric--exact,reference10,free_envelope,2,3,-1.6419327773879309,1.4643973574256917,0.0,false
open--electric--exact--reference10--free_envelope,open--electric--exact,reference10,free_envelope,3,3,-1.7208262890779675,1.2960069775740262,0.0,false
open--electric--exact--reference10--free_envelope,open--electric--exact,reference10,free_envelope,1,4,0.015064593301435409,7.177033492822967e-6,0.015064593301435409,true
open--electric--exact--reference10--free_envelope,open--electric--exact,reference10,free_envelope,2,4,-2.3492942576285634,2.1749960899095138,0.0,false
open--electric--exact--reference10--free_envelope,open--electric--exact,reference10,free_envelope,3,4,-1.7078772840000578,1.2862952237655938,0.0,false
open--electric--exact--reference20--fixed_envelope,open--electric--exact,reference20,fixed_envelope,1,1,0.00753299090909091,2.2e-6,0.00753299090909091,true
open--electric--exact--reference20--fixed_envelope,open--electric--exact,reference20,fixed_envelope,2,1,-4.39999999990448e-6,-0.007530790909090923,0.007530790909090923,true
open--electric--exact--reference20--fixed_envelope,open--electric--exact,reference20,fixed_envelope,3,1,-3.2999999999283602e-6,3.2999999999283602e-6,0.0,false
open--electric--exact--reference20--fixed_envelope,open--electric--exact,reference20,fixed_envelope,1,2,-3.2999999999283602e-6,2.19999999995224e-6,0.0,false
open--electric--exact--reference20--fixed_envelope,open--electric--exact,reference20,fixed_envelope,2,2,-4.39999999992836e-6,-0.2766665418028371,0.2766665418028371,true
open--electric--exact--reference20--fixed_envelope,open--electric--exact,reference20,fixed_envelope,3,2,0.2766676418028371,3.2999999999283602e-6,0.2766676418028371,true
open--electric--exact--reference20--fixed_envelope,open--electric--exact,reference20,fixed_envelope,1,3,0.00753299090909091,2.2e-6,0.00753299090909091,true
open--electric--exact--reference20--fixed_envelope,open--electric--exact,reference20,fixed_envelope,2,3,-4.39999999995224e-6,-0.31496521516563214,0.31496521516563214,true
open--electric--exact--reference20--fixed_envelope,open--electric--exact,reference20,fixed_envelope,3,3,0.3074311242565413,3.2999999999283602e-6,0.3074311242565413,true
open--electric--exact--reference20--fixed_envelope,open--electric--exact,reference20,fixed_envelope,1,4,0.00753299090909091,2.2e-6,0.00753299090909091,true
open--electric--exact--reference20--fixed_envelope,open--electric--exact,reference20,fixed_envelope,2,4,-4.39999999990448e-6,-0.007530790909090923,0.007530790909090923,true
open--electric--exact--reference20--fixed_envelope,open--electric--exact,reference20,fixed_envelope,3,4,-3.2999999999283602e-6,3.2999999999283602e-6,0.0,false
open--electric--exact--reference20--free_envelope,open--electric--exact,reference20,free_envelope,1,1,0.007526913875598088,10.000003588516746,0.007526913875598088,true
open--electric--exact--reference20--free_envelope,open--electric--exact,reference20,free_envelope,2,1,-21.31740218722229,2.3750467662570625,0.0,false
open--electric--exact--reference20--free_envelope,open--electric--exact,reference20,free_envelope,3,1,-4.472969962902855,8.99762012194919,0.0,false
open--electric--exact--reference20--free_envelope,open--electric--exact,reference20,free_envelope,1,2,-9.542272329757584,1.0299105834042876,0.0,false
