run_id,parent,case,policy,electric,band,stage,status,saved,termination,independent_checked,pass,detailed_temperature_pass,parent_model_A1,parent_electric_A1,operating_cost,cost_change,max_mass_change_kg_s,max_normalized_residual,elapsed_sec,input_sha256
import--fixed--socp--reference10--free_envelope,import--fixed--socp,import,fixed,socp,reference10,free_envelope,compatible_candidate,true,OPTIMAL,true,true,false,true,true,191.79273961556558,0.0,0.4015528152090282,0.06086827769709975,0.9960000514984131,ee4ea767dcf6fff220b530565a40fdc149dd16eaf739af660873c928f514793c
import--fixed--socp--reference10--fixed_mixing,import--fixed--socp,import,fixed,socp,reference10,fixed_mixing,necessary_condition_infeasible,false,NOT_SOLVED,false,false,false,true,true,191.79273961556558,NaN,NaN,NaN,0.0,ee4ea767dcf6fff220b530565a40fdc149dd16eaf739af660873c928f514793c
import--fixed--socp--reference10--free_mixing,import--fixed--socp,import,fixed,socp,reference10,free_mixing,compatible_candidate,true,OPTIMAL,true,true,true,true,true,191.79273961556558,0.0,0.998256000614733,0.1000000266586365,2.4600000381469727,ee4ea767dcf6fff220b530565a40fdc149dd16eaf739af660873c928f514793c
import--fixed--socp--reference20--fixed_envelope,import--fixed--socp,import,fixed,socp,reference20,fixed_envelope,compatible_candidate,true,OPTIMAL,true,true,false,true,true,191.79273961556558,0.0,9.099739339986585e-7,0.08272490309078713,0.0989999771118164,ee4ea767dcf6fff220b530565a40fdc149dd16eaf739af660873c928f514793c
import--fixed--socp--reference20--free_envelope,import--fixed--socp,import,fixed,socp,reference20,free_envelope,compatible_candidate,true,OPTIMAL,true,true,false,true,true,191.79273961556558,0.0,0.3969071129892938,0.05481398462207227,0.09799981117248535,ee4ea767dcf6fff220b530565a40fdc149dd16eaf739af660873c928f514793c
import--fixed--socp--reference20--fixed_mixing,import--fixed--socp,import,fixed,socp,reference20,fixed_mixing,compatible_candidate,true,OPTIMAL,true,true,true,true,true,191.79273961556558,0.0,1.1000000000871424e-6,0.10006805041484768,0.12999987602233887,ee4ea767dcf6fff220b530565a40fdc149dd16eaf739af660873c928f514793c
import--fixed--socp--reference20--free_mixing,import--fixed--socp,import,fixed,socp,reference20,free_mixing,compatible_candidate,true,OPTIMAL,true,true,true,true,true,191.79273961556558,0.0,0.9982560006937302,0.10007257992642829,0.1530001163482666,ee4ea767dcf6fff220b530565a40fdc149dd16eaf739af660873c928f514793c
import--fixed--exact--reference10--fixed_envelope,import--fixed--exact,import,fixed,exact,reference10,fixed_envelope,solver_infeasible,true,INFEASIBLE,false,false,false,true,true,191.79273227410408,0.0,NaN,NaN,0.05500006675720215,ee4ea767dcf6fff220b530565a40fdc149dd16eaf739af660873c928f514793c
import--fixed--exact--reference10--free_envelope,import--fixed--exact,import,fixed,exact,reference10,free_envelope,compatible_candidate,true,OPTIMAL,true,true,false,true,true,191.79273227410408,0.0,0.8475536500775325,0.060868224982758366,0.09999990463256836,ee4ea767dcf6fff220b530565a40fdc149dd16eaf739af660873c928f514793c
import--fixed--exact--reference10--fixed_mixing,import--fixed--exact,import,fixed,exact,reference10,fixed_mixing,necessary_condition_infeasible,false,NOT_SOLVED,false,false,false,true,true,191.79273227410408,NaN,NaN,NaN,0.0,ee4ea767dcf6fff220b530565a40fdc149dd16eaf739af660873c928f514793c
import--fixed--exact--reference10--free_mixing,import--fixed--exact,import,fixed,exact,reference10,free_mixing,compatible_candidate,true,OPTIMAL,true,true,true,true,true,191.79273227410408,0.0,1.079788282892677,0.10000017129641048,0.19300007820129395,ee4ea767dcf6fff220b530565a40fdc149dd16eaf739af660873c928f514793c
import--fixed--exact--reference20--fixed_envelope,import--fixed--exact,import,fixed,exact,reference20,fixed_envelope,solver_infeasible,true,INFEASIBLE,false,false,false,true,true,191.79273227410408,0.0,NaN,NaN,0.05800008773803711,ee4ea767dcf6fff220b530565a40fdc149dd16eaf739af660873c928f514793c
import--fixed--exact--reference20--free_envelope,import--fixed--exact,import,fixed,exact,reference20,free_envelope,compatible_candidate,true,OPTIMAL,true,true,false,true,true,191.79273227410408,0.0,1.1472590164929857,0.05481400924446211,0.10299992561340332,ee4ea767dcf6fff220b530565a40fdc149dd16eaf739af660873c928f514793c
import--fixed--exact--reference20--fixed_mixing,import--fixed--exact,import,fixed,exact,reference20,fixed_mixing,necessary_condition_infeasible,false,NOT_SOLVED,false,false,false,true,true,191.79273227410408,NaN,NaN,NaN,0.0,ee4ea767dcf6fff220b530565a40fdc149dd16eaf739af660873c928f514793c
import--fixed--exact--reference20--free_mixing,import--fixed--exact,import,fixed,exact,reference20,free_mixing,compatible_candidate,true,OPTIMAL,true,true,true,true,true,191.79273227410408,0.0,1.079786488634303,0.10000000031595846,0.1640000343322754,ee4ea767dcf6fff220b530565a40fdc149dd16eaf739af660873c928f514793c
import--electric--socp--reference10--fixed_envelope,import--electric--socp,import,electric,socp,reference10,fixed_envelope,solver_infeasible,true,INFEASIBLE,false,false,false,true,true,191.79273401224114,0.0,NaN,NaN,0.05500006675720215,ee4ea767dcf6fff220b530565a40fdc149dd16eaf739af660873c928f514793c
import--electric--socp--reference10--free_envelope,import--electric--socp,import,electric,socp,reference10,free_envelope,compatible_candidate,true,OPTIMAL,true,true,false,true,true,191.79273401224114,0.0,0.37661844491469165,0.060868118276152176,0.09599995613098145,ee4ea767dcf6fff220b530565a40fdc149dd16eaf739af660873c928f514793c
import--electric--socp--reference10--fixed_mixing,import--electric--socp,import,electric,socp,reference10,fixed_mixing,necessary_condition_infeasible,false,NOT_SOLVED,false,false,false,true,true,191.79273401224114,NaN,NaN,NaN,0.0,ee4ea767dcf6fff220b530565a40fdc149dd16eaf739af660873c928f514793c
import--electric--socp--reference10--free_mixing,import--electric--socp,import,electric,socp,reference10,free_mixing,compatible_candidate,true,OPTIMAL,true,true,true,true,true,191.79273401224114,0.0,0.891619845028383,0.10000011898177637,0.19899988174438477,ee4ea767dcf6fff220b530565a40fdc149dd16eaf739af660873c928f514793c
import--electric--socp--reference20--fixed_envelope,import--electric--socp,import,electric,socp,reference20,fixed_envelope,compatible_candidate,true,OPTIMAL,true,true,false,true,true,191.79273401224114,0.0,8.834807604921873e-7,0.08031643277201703,0.09599995613098145,ee4ea767dcf6fff220b530565a40fdc149dd16eaf739af660873c928f514793c
import--electric--socp--reference20--free_envelope,import--electric--socp,import,electric,socp,reference20,free_envelope,compatible_candidate,true,OPTIMAL,true,true,false,true,true,191.79273401224114,0.0,0.5017977804774219,0.05481403867227136,0.09800004959106445,ee4ea767dcf6fff220b530565a40fdc149dd16eaf739af660873c928f514793c
import--electric--socp--reference20--fixed_mixing,import--electric--socp,import,electric,socp,reference20,fixed_mixing,compatible_candidate,true,OPTIMAL,true,true,true,true,true,191.79273401224114,0.0,1.09999999997612e-6,0.10007442483583873,0.12900018692016602,ee4ea767dcf6fff220b530565a40fdc149dd16eaf739af660873c928f514793c
