record_id,run_id,scenario,t,dt_h,P_actual_MW,request_MW,delivered_MW,mismatch_MW,building_1_K,heat_1_MW
no_reserve--clarabel,r5-commitment-638a5750-4636-4e3f-bfe3-12d42e3f2144,none,1,1.0,0.14199999999943472,0.0,-1.5154544286133387e-14,1.5154544286133387e-14,293.1499999999999,0.0419999999999994
no_reserve--clarabel,r5-commitment-638a5750-4636-4e3f-bfe3-12d42e3f2144,up,1,1.0,0.1419999999993814,1.0105973910715444e-14,3.8163916471489756e-14,2.8057942560774312e-14,293.1499999999999,0.041999999999999454
no_reserve--clarabel,r5-commitment-638a5750-4636-4e3f-bfe3-12d42e3f2144,down,1,1.0,0.1419999999994404,-6.035868191682839e-15,-2.0844437287337314e-14,1.4808569095654475e-14,293.1499999999999,0.04199999999999942
quarter--highs,r5-commitment-302b05a2-c002-49c7-9a0e-89e83db3e4c2,none,1,0.25,0.08,0.0,0.0,0.0,293.15,0.042000000000000454
quarter--highs,r5-commitment-302b05a2-c002-49c7-9a0e-89e83db3e4c2,up,1,0.25,-0.0,0.08,0.08,0.0,293.15,0.042000000000000454
quarter--highs,r5-commitment-302b05a2-c002-49c7-9a0e-89e83db3e4c2,down,1,0.25,0.14200000000000004,-0.06200000000000004,-0.06200000000000004,0.0,293.15,0.042000000000000454
quarter--clarabel,r5-commitment-949a7833-e1e5-4509-9108-bafbb6348f7f,none,1,0.25,0.07999999999968892,0.0,4.3021142204224816e-16,4.3021142204224816e-16,293.15,0.04200000000000071
quarter--clarabel,r5-commitment-949a7833-e1e5-4509-9108-bafbb6348f7f,up,1,0.25,1.0930509080704505e-14,0.07999999999967913,0.07999999999967841,7.216449660063518e-16,293.15,0.04200000000000077
quarter--clarabel,r5-commitment-949a7833-e1e5-4509-9108-bafbb6348f7f,down,1,0.25,0.1419999999999959,-0.06200000000030902,-0.06200000000030656,2.463307335887066e-15,293.15,0.04200000000000051
unequal_weights--highs,r5-commitment-260a1c2d-2226-42f1-8962-38b95c99f637,none,1,1.0,0.06200000000000004,0.0,0.0,0.0,293.15,0.041999999999999885
unequal_weights--highs,r5-commitment-260a1c2d-2226-42f1-8962-38b95c99f637,up,1,1.0,-0.0,0.06200000000000004,0.06200000000000004,0.0,293.15,0.041999999999999885
unequal_weights--highs,r5-commitment-260a1c2d-2226-42f1-8962-38b95c99f637,down,1,1.0,0.14200000000000004,-0.08,-0.08,0.0,293.15,0.041999999999999885
unequal_weights--clarabel,r5-commitment-29ca5398-0d0c-4d36-98cb-2034fbfab316,none,1,1.0,0.06200000000025334,0.0,1.734723475976807e-15,1.734723475976807e-15,293.1499999999999,0.04199999999999949
unequal_weights--clarabel,r5-commitment-29ca5398-0d0c-4d36-98cb-2034fbfab316,up,1,1.0,2.014101707580738e-14,0.06200000000023489,0.06200000000023493,4.163336342344337e-17,293.1499999999999,0.041999999999999295
unequal_weights--clarabel,r5-commitment-29ca5398-0d0c-4d36-98cb-2034fbfab316,down,1,1.0,0.14199999999998605,-0.07999999999973358,-0.07999999999973098,2.5951463200613034e-15,293.1499999999999,0.04199999999999939
hand--gurobi,r5-commitment-de9269fb-9669-4942-9387-b34e51d217dd,none,1,1.0,0.08,0.0,0.0,0.0,293.15,0.041999999999999885
hand--gurobi,r5-commitment-de9269fb-9669-4942-9387-b34e51d217dd,up,1,1.0,0.0,0.08,0.08,0.0,293.15,0.041999999999999885
hand--gurobi,r5-commitment-de9269fb-9669-4942-9387-b34e51d217dd,down,1,1.0,0.14200000000000004,-0.06200000000000004,-0.06200000000000004,0.0,293.15,0.041999999999999885
four_period--gurobi,r5-commitment-009a4436-8776-43a9-9e1f-59efce92baa5,none,1,1.0,0.12,0.0,0.0,0.0,293.33804135952664,0.03432495126911417
four_period--gurobi,r5-commitment-009a4436-8776-43a9-9e1f-59efce92baa5,none,2,1.0,0.09144075269415755,0.0,0.0,0.0,292.15,0.006239172809466708
four_period--gurobi,r5-commitment-009a4436-8776-43a9-9e1f-59efce92baa5,none,3,1.0,0.0,0.0,0.0,0.0,293.33292722190316,0.05420732610377286
four_period--gurobi,r5-commitment-009a4436-8776-43a9-9e1f-59efce92baa5,none,4,1.0,0.01999999999999999,0.0,0.0,0.0,293.15,0.023341455561936102
four_period--gurobi,r5-commitment-009a4436-8776-43a9-9e1f-59efce92baa5,up,1,1.0,0.12,0.0,0.0,0.0,293.33804135952664,0.03432495126911417
four_period--gurobi,r5-commitment-009a4436-8776-43a9-9e1f-59efce92baa5,up,2,1.0,0.01144075269415755,0.08,0.08,0.0,294.15,0.0522391728094658
four_period--gurobi,r5-commitment-009a4436-8776-43a9-9e1f-59efce92baa5,up,3,1.0,0.0,0.0,0.0,0.0,294.15,0.032999999999999544
four_period--gurobi,r5-commitment-009a4436-8776-43a9-9e1f-59efce92baa5,up,4,1.0,0.01999999999999999,0.0,0.0,0.0,293.15,0.0069999999999993175
four_period--gurobi,r5-commitment-009a4436-8776-43a9-9e1f-59efce92baa5,down,1,1.0,0.12,0.0,0.0,0.0,293.33804135952664,0.03432495126911417
four_period--gurobi,r5-commitment-009a4436-8776-43a9-9e1f-59efce92baa5,down,2,1.0,0.09144075269415755,0.0,0.0,0.0,292.15,0.006239172809466708
four_period--gurobi,r5-commitment-009a4436-8776-43a9-9e1f-59efce92baa5,down,3,1.0,0.0,0.0,0.0,0.0,293.3329272219031,0.0542073261037721
four_period--gurobi,r5-commitment-009a4436-8776-43a9-9e1f-59efce92baa5,down,4,1.0,0.01999999999999999,0.0,0.0,0.0,293.15,0.023341455561936755
