record_id,run_id,phase,iteration,scope,count,failures,worst_id,normalized,pass
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,8,candidate/independent_market,255,0,R5-MK_nonnegative,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,8,candidate/risk_policy,38,0,z-binary,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,8,candidate/risk_policy/scenarios/down/validation,195,0,5-20,5.684341886080801e-10,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,8,candidate/risk_policy/scenarios/none/validation,195,0,5-25-26-S,1.1368683772161603e-9,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,8,candidate/risk_policy/scenarios/up/validation,195,0,5-25-26-S,1.7053025658242404e-9,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,8,candidate/risk_policy/transport_checks/actual,6,0,budget,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,8,candidate/risk_policy/transport_checks/cost,6,0,budget,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,8,candidate/risk_policy/transport_checks/risk,6,0,budget,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,8,candidate/selected_market,254,0,R5-MK_nonnegative,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,cost,8,cost/down,1028,0,5-20/1/1,8.048055905537026e-9,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,cost,8,cost/down/physical,195,0,5-20,5.684341886080801e-10,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,cost,8,cost/none,1028,0,5-25-26-S/h12/3,1.664837146640093e-8,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,cost,8,cost/none/physical,195,0,5-25-26-S,1.1368683772161603e-9,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,cost,8,cost/up,1028,0,5-25-26-S/h12/2,2.6341563170846084e-8,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,cost,8,cost/up/physical,195,0,5-25-26-S,1.7053025658242404e-9,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,master,9,master,1,0,master/total,1.045254362164744e-9,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,master,9,master/market,24,0,P_DA_MW/1,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,master,9,master/market/selected_market,254,0,R5-MK_nonnegative,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,master,9,master/risk_master,62,0,master/objective,7.721441969794899e-10,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,9,candidate,26,0,down_bid/1,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,9,candidate/independent_market,255,0,R5-MK_nonnegative,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,9,candidate/risk_policy,38,0,z-binary,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,9,candidate/risk_policy/scenarios/down/validation,195,0,5-21,1.1368683772161603e-9,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,9,candidate/risk_policy/scenarios/none/validation,195,0,5-25-26-S,1.1368683772161603e-9,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,9,candidate/risk_policy/scenarios/up/validation,195,0,5-25-26-S,2.8421709430404007e-9,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,9,candidate/risk_policy/transport_checks/actual,6,0,budget,0.0,true
competitive_future_e030_r005--cuts,r5-strategic-benders-bda1b0b3-4f9d-44e2-990e-b182b481eff5,candidate,9,candidate/risk_policy/transport_checks/cost,6,0,budget,0.0,true
