stage,run_id,time_h,device,kind,P_MW,H_MW
normal,74e43db5-0140-48be-8aa3-645aabf7a397,6.75,GT1,GT,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,6.75,PV1,PV,0.1,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,6.75,PV2,PV,0.14999999999999988,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,6.75,PV3,PV,0.14999999999999988,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,7.0,CHP1,CHP,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,7.0,CHP2,CHP,6.0,7.2
normal,74e43db5-0140-48be-8aa3-645aabf7a397,7.0,EB1,EB,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,7.0,EB2,EB,0.7168990884707023,0.6667161522777532
normal,74e43db5-0140-48be-8aa3-645aabf7a397,7.0,GT1,GT,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,7.0,PV1,PV,0.4,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,7.0,PV2,PV,0.6,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,7.0,PV3,PV,0.6,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,7.25,CHP1,CHP,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,7.25,CHP2,CHP,6.0,7.2
normal,74e43db5-0140-48be-8aa3-645aabf7a397,7.25,EB1,EB,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,7.25,EB2,EB,0.7268789566336022,0.6759974296692501
normal,74e43db5-0140-48be-8aa3-645aabf7a397,7.25,GT1,GT,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,7.25,PV1,PV,0.4,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,7.25,PV2,PV,0.6,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,7.25,PV3,PV,0.6,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,7.5,CHP1,CHP,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,7.5,CHP2,CHP,6.0,7.2
normal,74e43db5-0140-48be-8aa3-645aabf7a397,7.5,EB1,EB,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,7.5,EB2,EB,0.7333648762569511,0.6820293349189646
normal,74e43db5-0140-48be-8aa3-645aabf7a397,7.5,GT1,GT,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,7.5,PV1,PV,0.4,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,7.5,PV2,PV,0.6,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,7.5,PV3,PV,0.6,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,7.75,CHP1,CHP,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,7.75,CHP2,CHP,6.0,7.2
normal,74e43db5-0140-48be-8aa3-645aabf7a397,7.75,EB1,EB,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,7.75,EB2,EB,0.7354833767691675,0.6839995403953258
normal,74e43db5-0140-48be-8aa3-645aabf7a397,7.75,GT1,GT,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,7.75,PV1,PV,0.4,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,7.75,PV2,PV,0.6,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,7.75,PV3,PV,0.6,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,8.0,CHP1,CHP,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,8.0,CHP2,CHP,6.0,7.2
normal,74e43db5-0140-48be-8aa3-645aabf7a397,8.0,EB1,EB,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,8.0,EB2,EB,0.7344939046685596,0.6830793313417605
normal,74e43db5-0140-48be-8aa3-645aabf7a397,8.0,GT1,GT,2.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,8.0,PV1,PV,0.8,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,8.0,PV2,PV,1.2,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,8.0,PV3,PV,1.2,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,8.25,CHP1,CHP,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,8.25,CHP2,CHP,6.0,7.2
normal,74e43db5-0140-48be-8aa3-645aabf7a397,8.25,EB1,EB,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,8.25,EB2,EB,0.7290034607556268,0.677973218502733
normal,74e43db5-0140-48be-8aa3-645aabf7a397,8.25,GT1,GT,2.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,8.25,PV1,PV,0.8,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,8.25,PV2,PV,1.2,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,8.25,PV3,PV,1.2,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,8.5,CHP1,CHP,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,8.5,CHP2,CHP,6.0,7.2
normal,74e43db5-0140-48be-8aa3-645aabf7a397,8.5,EB1,EB,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,8.5,EB2,EB,0.7219855192860365,0.671446532936014
normal,74e43db5-0140-48be-8aa3-645aabf7a397,8.5,GT1,GT,2.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,8.5,PV1,PV,0.8,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,8.5,PV2,PV,1.2,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,8.5,PV3,PV,1.2,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,8.75,CHP1,CHP,0.0,0.0
normal,74e43db5-0140-48be-8aa3-645aabf7a397,8.75,CHP2,CHP,6.0,7.2
normal,74e43db5-0140-48be-8aa3-645aabf7a397,8.75,EB1,EB,0.0,0.0
