run_id,stage,equation,scope,entity,t,residual,unit,tolerance,pass
open_flexible--penalty-100,trading,R4-T1-peer-bound,tspa,H,1,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,R4-T1-absolute-fee,tspa,H,1,2.474433651034058e-9,MW,3.0e-6,true
open_flexible--penalty-100,trading,R4-T1-contract,tspa,2H,1,7.022160630754115e-15,MW,3.0e-6,true
open_flexible--penalty-100,trading,R4-T1-contract,tspa,3H,1,1.824929096727601e-15,MW,3.0e-6,true
open_flexible--penalty-100,trading,R4-T1-peer-bound,tspa,H,2,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,R4-T1-absolute-fee,tspa,H,2,2.4744328391834713e-9,MW,3.0e-6,true
open_flexible--penalty-100,trading,R4-T1-contract,tspa,2H,2,9.298117831235686e-16,MW,3.0e-6,true
open_flexible--penalty-100,trading,R4-T1-contract,tspa,3H,2,4.7753467846689546e-14,MW,3.0e-6,true
open_flexible--penalty-100,trading,R4-T1-peer-bound,tspa,H,3,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,R4-T1-absolute-fee,tspa,H,3,2.474433810628618e-9,MW,3.0e-6,true
open_flexible--penalty-100,trading,R4-T1-contract,tspa,2H,3,4.163336342344337e-16,MW,3.0e-6,true
open_flexible--penalty-100,trading,R4-T1-contract,tspa,3H,3,2.085137618124122e-14,MW,3.0e-6,true
open_flexible--penalty-100,trading,R4-T1-peer-bound,tspa,H,4,0.0,MW,3.0e-6,true
open_flexible--penalty-100,trading,R4-T1-absolute-fee,tspa,H,4,2.4744303550594537e-9,MW,3.0e-6,true
open_flexible--penalty-100,trading,R4-T1-contract,tspa,2H,4,1.8665624601510444e-14,MW,3.0e-6,true
open_flexible--penalty-100,trading,R4-T1-contract,tspa,3H,4,5.537237335317968e-15,MW,3.0e-6,true
open_flexible--penalty-100,trading,R4-T1-objective,tspa,AG,0,1.348883813534485e-6,USD,0.0002617519244094648,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,P_CHP,1,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,P_CHP,2,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,P_CHP,3,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,P_CHP,4,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,P_PV,1,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,P_PV,2,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,P_PV,3,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,P_PV,4,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,P_HP,1,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,P_HP,2,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,P_HP,3,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,P_HP,4,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,P_EB,1,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,P_EB,2,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,P_EB,3,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,P_EB,4,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,P_ch,1,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,P_ch,2,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,P_ch,3,0.0,native,1.0e-6,true
open_flexible--penalty-100,trading,R4-T1-inactive-DSO,tspa,P_ch,4,0.0,native,1.0e-6,true
